Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/RH6TL76C3MJ60/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,MV,"5,0 su 5 stelle",Recensito in Italia il 16 luglio 2026,"Dopo aver messo alla prova questo peso massimo per parecchio tempo (2 anni), posso dire che ci troviamo davanti a un dispositivo incredibilmente concreto, anche se non è privo di spigoli. Non è uno smartphone per tutti, sia per le dimensioni importanti che per il costo, ma per chi cerca il massimo della tecnologia e della produttività offre un'esperienza davvero solida.

Ecco i punti chiave che descrivono al meglio l'esperienza d'uso:

📱 Lo schermo piatto è una scelta vincente. Abbandonare i bordi curvi non solo rende l'uso del pennino integrato molto più preciso e naturale fino ai margini del display, ma riduce drasticamente i riflessi fastidiosi, soprattutto quando ci si trova all'aperto sotto la luce diretta del sole. I colori e la nitidezza sono semplicemente impressionanti.

🛡️ La sensazione di robustezza è immediata. Il passaggio alla scocca in titanio non è solo una scelta estetica di classe nella colorazione scura, ma restituisce una sensazione di compattezza e resistenza incredibile. Si percepisce subito che è un oggetto premium, costruito per durare negli anni.

📸 Comparto fotografico da studio, ma con riserve. La risoluzione del sensore principale è mostruosa e permette ritagli pazzeschi senza perdere dettagli. Anche i video sono fluidi e le foto notturne convincono per stabilità e gestione della luce. Tuttavia, per sfruttarlo al meglio serve un minimo di pratica: l'automatismo a volte tende a elaborare troppo l'immagine e lo zoom spinto oltre certi limiti digitali perde inevitabilmente di qualità.

🧠 Funzionalità intelligenti e produttività. L'integrazione con l'intelligenza artificiale non è solo marketing. Strumenti come la traduzione durante le chiamate o la formattazione automatica degli appunti presi al volo con il pennino facilitano davvero la vita quotidiana e il lavoro d'ufficio.

🔋 Autonomia ottima per l'uso quotidiano. La batteria gestisce tranquillamente una giornata intera di utilizzo intenso, coprendo le attività professionali e personali senza l'ansia di dover cercare una presa a metà pomeriggio. Nota di merito per la presenza del caricabatterie rapido originale nella confezione, una rarità di questi tempi.

⚖️ Peso e dimensioni si fanno sentire. Non è un telefono leggero o compatto. Chi ha le mani piccole o preferisce dispositivi tascabili potrebbe trovarlo un po' scomodo o stancante da tenere in mano a lungo. Inoltre, il software è talmente ricco di funzioni che un utente meno esperto rischia di perdersi o di sfruttarlo solo al minimo delle sue potenzialità.

In conclusione, è un dispositivo straordinario, un vero e proprio computer da tasca. Il prezzo di listino è importante e richiede un investimento non indifferente, ma se cercate un prodotto senza compromessi per lavorare, scattare ottime foto e avere il massimo supporto tecnologico, è un acquisto che dà enormi soddisfazioni.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3O21DKIBCQFUY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Dania,"5,0 su 5 stelle",Recensito in Italia il 16 agosto 2026,"Cellulare perfetto, bellissimo e funzionale, fluido, belle foto.
Perfetto
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2N02RG6OB4T2G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Luigi,"5,0 su 5 stelle",Recensito in Italia il 17 gennaio 2026,"​Ho acquistato il Samsung Galaxy S24 Ultra come regalo per mia moglie e non avrei potuto fare scelta migliore.
​Ecco i punti che l'hanno colpita di più (e che hanno fatto fare a me un'ottima figura):
​Display e Design: Lo schermo è incredibile, luminosissimo e con una nitidezza pazzesca. Il nuovo design con bordi piatti lo rende molto elegante e professionale, perfetto nella colorazione Titanium.
​Fotocamera da urlo: Lei ama scattare foto e la qualità dei sensori è sbalorditiva. Lo zoom è potente e le foto notturne sembrano scattate in studio. I video sono fluidi e stabilizzati come mai visti prima.
​Intelligenza Artificiale (Galaxy AI): Le funzioni di traduzione in tempo reale e il cerchia-e-cerca sono comodissime. Gli strumenti di editing fotografico basati su AI permettono di sistemare ogni scatto in un secondo.
​S Pen: Non pensavo la usasse molto, invece la trova utilissima per prendere appunti veloci durante il lavoro o per scattare foto a distanza.
​Batteria: Finalmente un telefono che arriva a fine giornata con un uso intenso senza l'ansia di doverlo ricaricare a metà pomeriggio.
​Consegna Amazon: Come sempre impeccabile. Il pacco è arrivato puntuale, ben sigillato e protetto, fondamentale per un oggetto di questo valore.
​In sintesi: Se volete fare un regalo speciale o cercate il miglior smartphone Android sul mercato, andate sul sicuro. Costa, ma vale ogni centesimo speso. Consigliatissimo!
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2TE2S3ZONOIIJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Simone Milia,"5,0 su 5 stelle",Recensito in Italia il 5 novembre 2025,"Ho acquistato il Samsung Galaxy S24 Ultra come upgrade dal modello precedente, cercando uno smartphone completo sotto ogni aspetto: fotocamera, potenza e qualità del display. Le aspettative erano alte, e devo dire che le ha superate tutte.

La confezione include anche il caricatore, cosa ormai rara, e l’unboxing trasmette subito la sensazione di un prodotto premium. Il display QHD+ Dynamic AMOLED da 6.8"" è semplicemente spettacolare: luminoso, fluido e perfetto per video e giochi.

Le prestazioni sono fulminee grazie al processore e all’ottimizzazione software, mentre le nuove funzioni AI (come il ritaglio intelligente, il cerchio per cercare e l’assistente foto) sono davvero utili, non solo effetti di marketing. La fotocamera è tra le migliori in assoluto: scatti nitidi, zoom impressionante e colori realistici.

La batteria dura tranquillamente un’intera giornata intensa e la ricarica è rapida. Nessun surriscaldamento, nessun rallentamento.

L’ho scelto perché cercavo uno smartphone affidabile per lavoro e tempo libero, e questo unisce tutto: potenza, design e innovazione.

Lo consiglierei a chi vuole il meglio disponibile oggi in Android, senza compromessi su nulla.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3M9O0695864G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,alessandro nieddu,"5,0 su 5 stelle",Recensito in Italia il 8 agosto 2026,"É semplicemente fantastico il telefono l'unica cosa è che il corriere poteva suonare a casa al posto di lasciare il pacco incustodito nel mio giardino.
Certo se nessuno rispondeva e ovvio che poteva lasciarlo nel giardino avevo messo l'opzione che ne caso che non ci fosse nessuno a casa di lasciarlo nel giardino
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2GQFCBMEINZ8C/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Bender78,"4,0 su 5 stelle",Recensito in Italia il 22 marzo 2024,"Ho presto questo telefono in sostituzione del mio vecchio iphone 11 pro max, inizialmente ero abbastanza soddisfatto, ma usandolo ho notato alcuni problemi che me lo stanno facendo odiare; ad esempio la barra inferiore stile iphone che dovrebbe servire per passare da un app all altra la maggior parte delle volte non funziona, lo sblocco con il viso e basilare quindi bisogna ricorrere allo sbocco con l impronta che Il più delle volte con il vetro temprato non funziona, fotocamera nella media, gestire galleria immagini scarna, sistema operativo caotico ( questo potrebbe dipendere da come ero abituato in precedenza con ios), le notifiche sul mio orologio garmin non c è verso che arrivino, intelligenza artificiale da perfezionare, gestione wallet e password macchinosa, ecc.
Cosa mi piace: lo schermo e uno spettacolo, il telefono nonostante le dimensioni e abbastanza comodo da tenere in mano, android ha alcune funzioni molto utili che su IOS mancano ma nonostante questo non credevo di acquistare un top di gamma non ancora perfezionato, ci tengo a precisare che non sono uno smanettone e quindi utilizzo il telefno in maniera basic, non cerco chissa quali funzioni, ma almeno quelle presenti devono essere impeccabili visto quello che costa. Lo proverò qualche altro giorno ma penso che farò il reso a meno che non avvenga un miracolo.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RW220UXVPWQOE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Claudio,"5,0 su 5 stelle",Recensito in Italia il 19 settembre 2024,"Se James Bond avesse bisogno di uno smartphone, sceglierebbe sicuramente il Samsung Galaxy S24 Ultra! Questo dispositivo è il gadget definitivo, pronto a stupirti con le sue incredibili caratteristiche.

Display 6.8’’ QHD+ Dynamic AMOLED 2X: Guardare video su questo schermo è come avere un cinema in tasca. I colori sono così vividi che potresti quasi toccarli. È come avere una finestra sul futuro.

Fotocamera 200MP: Con una fotocamera così potente, potresti scattare foto della luna e vedere i dettagli dei crateri! Ogni scatto è un capolavoro, e i tuoi amici penseranno che tu sia un fotografo professionista.

RAM 12GB e 256GB di memoria: Multitasking? Nessun problema! Questo telefono può gestire tutto senza battere ciglio. È come avere un supercomputer nel palmo della mano.

Batteria da 5.000 mAh: Con una batteria così potente, puoi dimenticarti del caricatore per un po’. E quando hai bisogno di ricaricare, il caricatore incluso ti riporterà al 100% in un lampo.

Design Titanium Black: Elegante e sofisticato, questo telefono è un vero e proprio pezzo di design. È come avere un’opera d’arte tecnologica sempre con te.

In sintesi, il Samsung Galaxy S24 Ultra è il compagno perfetto per chi cerca il massimo in termini di prestazioni e stile. Non è solo uno smartphone, è un’esperienza! Non lasciartelo scappare.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R33KEVDTZ61Z27/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Luca,"1,0 su 5 stelle",Recensito in Italia il 5 agosto 2026,"Il telefono ha sempre dato problemi di ricezione segnale GSM. Per uno smartphone di alta gamma non è accettabile.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2QZOL1WC66ZCP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Executor,"2,0 su 5 stelle",Recensito in Italia il 28 luglio 2025,"Prezzo di vendita €1200, poi qualche sconticino, comunque mai speso così tanto per un telefono, vediamo cosa fa il Mostro!!! Mostro sveglia!!! Ebbene, mi ha deluso...dico deluso considerando il suo prezzo, fosse costato €600 gridavo al miracolo beninteso. Ma andiamo per gradi:
PACKAGING 1/5: Come si fa a mettere uno smartphone di questo valore in un'orenda scatoletta di cartone leggero nera con dotazione inesistente ed un carica batterie standard nemmeno veloce, nemmeno una cover di silicone trasperente tanto per proteggerlo all'inizio, ne schermi di protezione...insomma, uno schifo di confezionamento da parte di Samsung. Vergogna!!
ESTETICA 1/5: Brutto, anonimo, senza bordi arrotondati, minimalista....a me non piace...poi il reparto fotocamere tutte sporgenti obbligano a comprare una cover (eh si, perchè alla samsung nemmeno quella basica da 20 cent ti danno).....brutti i tasti laterali, brutto tutto...ma c'è il pennino ...che figo....mai usato
SOFTWARE 4/5: si sapeva, non hanno dimenticato nulla, c'è materiale pure x gli smanettoni...io avrei dato qualcosa in più al supporto fotografico ma c'è la base che comunque va bene
PRESTAZIONI: 5/5: vabbè è una scheggia, non ci si apettava di meno, si accende velocemente ed in pochi secondi è operativo, però scalda tanto e non mi piace
SCHERMO 3/5: bellino si, ma la super osannata risoluzione contro cole non la vedo proprio, ne + ne meno che un buon cellulare....mi apettavo molto di più
FOTOCAMERE 3/5: E quì ti volevo perchè se io pago queste cifre pretendo una reflex (o quasi) nella mia mano e poi mi trovo a fare il 95% delle foto a 12mpx....perchè? perchè se zummo mi cambia fotocamere, se allargo il campo me la cambia....insomma, sempre su quella a 12mpx vado a parare che x carità, fa ottime foto, ma quella bestia da 200mpx che ci faccio? e pure quella a 50? bah...niente di che. Foto notturne buone ma ho visto di meglio, buona la fotocamera invece dei selfie....molto buona...ma non sono una tiktoker che mi piace mostrarmi al top nelle foto...abbastanza inutile per me- Lo Xiaomi di punta, stesso prezzo invece ha 4 ottiche tutte a 50mpx...così si ragiona. La I.A. lavora bene, aiuta, la luna la fa benissimo ma alle volte trasforma un po' troppo. La modalità ritratto è sempre carina, ma non apporta modifiche rispetto allo standard, La notturna è decente ma presenta troppa grana x i miei gusti. La modalità pro ha tutto ma ovviamente non è per tutti, tuttavia ha sempre l’odioso limite del tempo di esposizione, limite che una reflex non ha…ovviamente. Insomma la tanto decantata 200mpx credetemi, non la userete mai perché ha troppi limiti. Il grandangolo e buono e non deforma troppo ma avrei preferito un po' + di apertura invece lo zoom è interessante anche se il digitale sgrana vergognosamente ai livelli massimi e non ho mai capito a cosa serve metterlo così
BATTERIA 2/5: Fin qui potevo dare anche un 3 stelle pieno ma la batteria è penosa!!! Vero, dicono che dura tranquillamente 24 ore di utilizzo normale…normale, se fate foto e chiamate e non dico eccessive, il rendimento cala vertiginosamente….no no no…non va bene, scalda troppo, la ricarica veloce, veloce non è (il mio vecchio xiaomi, mod di punta anch’esso a suo tempo durava 48 ore, non scaldava e giuro che in 15 minuti era carico al 100%)…se poi si va alla ricarica magnetica lasciatelo in carica tutta la notte, inoltre tale modalità è assolutamente incompatibile con il 95% dei charger magnetici…lo so perché ne ho dovuti comprare un mucchio selvaggio prima di azzeccare quello giusto…ho comprato pure il top degli smartwatch da abbinare…pure quello ha la batteria che dura 24 ore…..non c’è nulla da fare, evidentemente samsung monta batterie poco performanti
CONCLUSIONI: per quello che ho pagato io, ossia €900 usufruendo dello sconto speciale che samsung faceva siamo al limite dell’accettabile e l’ho tenuto, ho pregato fino all’ultimo di vedere lo stesso sconto sullo xiaomi ma nulla e questo mi ha fatto decidere. A prezzo pieno non conviene assolutamente, al prezzo che vedo oggi ci si può fare un pensierino ma a mio avviso è sempre troppo x quello che offre. E’ pur vero che il pennino non lo uso perlopiù perché aprendo le tabelle excell non ci leggo mica, la i.a. non la sfrutto appieno, tante amenità che ha nemmeno le capisco, ma stiamo parlando di un utilizzatore, quale sono, semi professionale di tecnologia. I telefoni io li uso al 85/90% delle loro funzionalità che vi assicuro è tantissimo (posta, giochi, social, lavoro, domotica, sicurezza domestica, pagamenti elettronici, compatibilità bt con tutto ciò che è collegabile,nfc, router wif, reti, stampa….insomma di tutto)…questo lo userò al 75% perché può moltissimo ma x quello che serve a me è troppo mentre le cose che servono a me sono sviluppate male. Per un utilizzatore standard che userà questo piccolo computer se va bene al 30% delle sue funzioni, pagare quasi mille euro è, x come la vedo io, buttare soldi. Spero di essere stato d’aiuto
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2LHERIQCYGP7P/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Cliente Amazon,"5,0 su 5 stelle",Recensito in Italia il 17 agosto 2026,"Penso che sia un dispositivo abbastanza conosciuto, però per me è un ottimo prodotto lo consiglio
"
