Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/R1TATS5R9PYX56/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Gc,"5,0 su 5 stelle",Recensito in Italia il 18 novembre 2024,"Provengo da iPhone ed ero in procinto di acquistare ancora in casa Apple,ma questo pixel mi ha fatto cambiare completamente idea. È un prodotto meraviglioso: esteticamente sublime (innegabile il richiamo ai prodotti della Mela, ma lo fanno anche altri produttori), il sistema operativo è pulito, veloce, fluido; dimensioni corrette; schermo di ottima qualità;ottima la ricezione. Il processore tensor g4 è stato secondo me troppo criticato: certo, non è ai livelli di uno snapdragon o di un chip Apple, ma le operazioni che gli si richiedono vengono svolte in modo comunque veloce e fluido. Solo i patiti di scheda tecnica badano ai benchmark: credo che l'utente medio sia più che soddisfatto da prestazioni di questo calibro.
Ho acquistato la taglia da 128gb; mentre saranno 100gb quelli disponibili dopo che si sono installate tutte le principali applicazioni che ognuno di noi utilizza nel quotidiano: anche qui è stata criticata Google per il taglio minimo di 128gb, ma credo che anche questo aspetto sia marginale per chi, come me, sullo smartphone ha solo app e dati essenziali, con poche foto e video. Unico neo sono le memorie, oggettivamente più lente dei competitor in ambito Android, che per la fascia di prezzo (da vero top di gamma) stridono non poco con la qualità globale del prodotto. Peccato che dalla confezione non esca un alimentatore ma il solo cavo USB c per la ricarica, ma ormai è una prassi che molti produttori hanno applicato ai loro prodotti.
Nel complesso, valuto il prodotto come eccezionale, seppur con qualche difetto con il quale scendere a compromessi.
Consegna da Amazon impeccabile come al solito.

1° aggiornamento: ho il telefono da circa un mese e le impressioni sono ottime in merito alla fluidità e alla comodità d'uso. Circa la memoria di archiviazione volevo fare un appunto: col tempo e con gli aggiornamenti capiterà senz'altro di vedere la memoria diminuire di qualche giga. Ciò è dovuto ai file temporanei delle applicazioni che usiamo ogni giorno. Il consiglio è di verificare, di tanto in tanto, nella sezione memoria e nella sottocategoria delle app quali siano quelle con il maggior quantitativo di cache. Eliminare quei file non compromette l'uso della stessa applicazione, la renderà solo( impercettibilmente) meno veloce, in quanto dovrà ricaricare tutti i dati. Esempio YouTube e Chrome sono solite inglobare molti dati e possono pesare anche fino ad 1gb. In conclusione di questo primo aggiornamento, rilevo che sia doverosa un po' di attenzione su questo aspetto della memoria e dei file temporanei. Ciò non comporta che il telefono funzioni male o che non ci sia spazio di archiviazione. Vuole solo essere un rilevamento empirico dell' uso quotidiano dello smartphone.

2° aggiornamento: dopo un bel po' di ore di utilizzo confermo grossomodo quanto detto nel primo aggiornamento. Devo però registrare alcune piccole mancanze, soprattutto lato processore. Mi spiego: il telefono non si blocca improvvisamente o non risulta fluido nel navigare nell'interfaccia, ma riscontro che per esempio nell'app Amazon quando si va nella sezione recensioni ( spesso con immagini) lo scorrimento non raggiunge nemmeno i 60hz probabilmente ( io ho fissa l'impostazione display fluido) e semmai disattivassi take impostazione, il refresh rate mi pare quello di un cellulare di altri tempi e con qualità discutibile, ergo consiglio di tenere il display alla massima frequenza di aggiornamento;
altra ipotesi si verifica quando si è in videochiamata, dove in generale tutto il sistema subisce un downgrade di frequenza di aggiornamento del display che onestamente poco capisco e non accetto su un telefono che è top di gamma. Discorso simile quando si usa la fotocamera. Forse questa riduzione è dovuta ad un risparmio batteria o altro, ma onestamente non gradisco tale limitazione: spero ci saranno aggiornamenti di sistema che possano migliorare la situazione perché sono davvero soddisfatto in generale di come rende il telefono, anche lato fotocamera,che ho avuto modo di testare a lungo.

3° aggiornamento: confermo quanto detto nel precedente. Ci sono alcune applicazioni che non capisco come mai non risultino ben ottimizzate, rallentando drasticamente il refresh rate, mentre con altre il telefono rimane super fluido e scattante. Quando si usa la fotocamera e si fanno videochiamate il discorso è il medesimo: calo di refresh rate. Non so se sia un problema solo del mio dispositivo ma sicuramente andrò più a fondo. In generale l'affidabilità del cellulare mi soddisfa, fa belle foto, veloce in tutte le situazioni (tranne quelle prima menzionate). Insomma, dalle recensioni che si trovano online di grandi recensori non si accenna a tali problematiche, il che un po' fa cadere l'acquirente in un ""errore"" di considerazione quando acquista il prodotto. Perché sapendo di queste cose, beh un ragionamento approfondito lo si fa. Non restituirei il prodotto perché comunque mi ci trovo bene. Ho anche fatto una prova con un Motorola che ha android 14 stock come i pixel e la situazione è pressoché la medesima: fluidità ottima ma con le videochiamate rallenta tutto.
Quanto detto mi porta a confermare che tali lacune siano dovute forse ad una volontaria
e restrittiva gestione del processore, tale da non incidere (almeno questo è ciò che credo) sulla batteria.

4° aggiornamento: ho fatto dei test anche con altri cellulari e per esempio nell'app di Amazon riscontro lo stesso problema che ho prima esposto. Questo mi fa pensare che sia in sé l'applicazione stessa e non tanto il cellulare; ma a questo punto mi sorge il dubbio se sia android ad avere qualche piccola mancanza di ottimizzazione, che compromette un po' l'esperienza d'uso, combinata magari con quella limitazione a livello di processore che ho ipotizzato.
Il cellulare va comunque benissimo e rimane sempre ben reattivo, spero che con android 16 migliori un po'. Ora il cellulare è in forte sconto (650€) ed è assolutamente ottimo a questo prezzo, io ho speso 100€ in più ma mi ritengo abbastanza soddisfatto nonostante tutto, visto che l'ho comprato a novembre. Non lo avrei mai consigliato a prezzo pieno.

5° aggiornamento: sono stati risolti alcuni bug che ho segnalato, i quali erano dovuti alle applicazioni (es:Amazon) e non tanto al pixel 9. Esso si comporta sempre bene in ogni occasione, sempre affidabile. Sono comunque soddisfatto dell'esperienza nonostante qualche piccolo difetto come ho citato in altri aggiornamenti. Aspetto android 16 con molto interesse. PS: sono riuscito finalmente a contestualizzare le considerazioni sullo schermo e sul refresh rate: infatti, anche sul pixel 8a di mia sorella ho notato lo stesso comportamento ed è ""naturale"", soprattutto se ci si abitua ai 120hz passare poi ai 60 sembra utopia. Quindi rivaluto le mie perplessità su questo aspetto, sperando in android 16 che promette anche delle animazioni migliorate da quanto ho avuto modo di capire. Consiglio il cellulare vivamente perché l'esperienza d'uso è semplicemente magnifica.
Vi saranno altri aggiornamenti.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R37ELRVCG5KA51/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Matteo,"5,0 su 5 stelle",Recensito in Italia il 6 dicembre 2025,"Dei pixel c'è ben poco da raccontare che non si sa gia, solido, veloce ma soprattutto stabile e sicuro.

Sono stato utente sia android che ios prpvando (chiaramente in ambito android) diversi brand, tra cui Xiaomi (per inciso prima di questo pixel avevo un 14T Pro), Oppo, Samsung.

La prima esperienza con un pixel è stata con il 6a, reso dopo poche settimane, processore immatudp, drain batteria formidabile e temperature troppo elevate, ma l'esperienza pixel e le fotocamere mi avevano lasciato comunque una buonissima impressione.

Passando a questo 9, tutta un altra storia, eccezionale sotto quasi ogni punto di vista:

- display ottimo, luminoso e brillante, ma soprattutto rispetto alla serie 6 e 7 non si rischiano piu aloni verdi e/o rossi data dalla scarsa qualità del pannello Amoled.

- ottima qualità costruttiva, è un telefono piacevolissimo da tenere in mano, un mattoncino che restituisce una vera sensazione di premium.

- Pixel Experience, nelle versioni precedenti di android la trovavo sempre un po spoglia in confronto ai suoi competitor (esempio la Color Os, davvero ottima) per quanto scarna però la fluidità era imbattibile, ora con android 16 siamo su un buonissimo livello sia di funzioni che di personalizzazione.

- prestazioni, Tensore G4, processore ben rodato, con i diversi aggiornamenti ricevuti è maturato parecchio ma soprattutto l'ottimizzazione fatta da Google si sente, al pari delle ottimizzazioni fatte dalla controparte Apple, ma che sia assolutamente chiaro, non è un mostro di potenza anzi, se si cercano prestazioni pure rivolgetevi ai top di gamma di casa Mediatek (tipo il D9400+) oppure Snapdragon (tipo Snap 8 Élite), insomma il chipset google affiancato dai 12 GB di RAM fanno tutto piuttosto bene, dall'utilizzo giornaliero basic fino a qualche editing foto e video (edito prettamente le foto in raw con lightroom) ma appunto per gaming e prestazioni estreme puntate ad altro, nonostante qualche gioco lo regga serenamente

- comparto foto e video, monta due sensori uno grandangolare ed uno ultragrandangolare rispettivamente da 50 mpx e un 48 mpx, non mi dilungò molto con i dettagli della fotocamera vi basti sapere che per il punta e scatta qui nessuno lo batte, trovo veramente difficile che altri smartphone si avvicinino alla combo ottimizzazione hardaware e software fatta in questi pixel, si rinuncia alla fotocamera tele, l'unico motivo per cui mi ero inizialmente indirizzato verso il 14T pro, ma onestamente, per quanto si a livello teorico non siano la stessa foto, il drop fatto dalla fotocamera principale molto spesso tirava risultati migliori.

- concludo con la batteria, rispetto agli altri pixel fa una giornata con serenita, con il bundle che si può acquistare qui su amazon ci arriva anche il caricabatteria a 45 W che in una ventina di minuti vi ridà circa 40% di ricarica, quindi in genere potete state sereni.

Per concludere, è veramente un ottimo telefono, veloce, scattante ed affidavike, di cui si è parlato moltissimo in giro e sicuramente ci sono recensioni piu lunghe e dettagliate di questa (che vi consiglio di vedere in modo da farvi un idea migliore sul telefono) ma per quanto mi riguarda anche con l'uscita sul mercato della serie 10, sui 450/500€ secondo me questo 9 rimane un alternativa validissima e soprattutto più accessibile.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2SGL2QXBGZE3G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Zakaria,"5,0 su 5 stelle",Recensito in Italia il 7 luglio 2025,"Ho preso il Google Pixel 9 da 256 GB grazie alla promozione Pixel + Acer, portandolo a casa per 650€ invece dei 1000€ di listino. E sinceramente? A quel prezzo, è un colpaccio.

Il telefono è un piacere da usare: fluido, reattivo, con un'interfaccia pulita e senza fronzoli. Le foto? Come sempre da Pixel: dettagliate, naturali, e con quella magia che Google riesce a tirare fuori anche in condizioni di luce discutibili. Anche il display è super fluido, e la batteria mi porta sempre a fine giornata senza ansia.

Il doppio dello spazio con i 256 GB è la ciliegina sulla torta: zero pensieri per foto, video, app e roba offline.

Ora, avrei speso 1000€ per prenderlo? Probabilmente no, lì entra in gioco il gusto personale e il budget. Ma a 650€, è stato assolutamente worth. Una scelta che rifarei.

In sintesi:
✔️ Prestazioni top, fotocamera eccellente, memoria abbondante
✔️ Promo pazzesca: 650€ per un flagship completo
❓ A prezzo pieno? Solo se siete veri fan Pixel
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1JT0PT8D75BZ1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Marco,"5,0 su 5 stelle",Recensito in Italia il 24 dicembre 2025,"Ho acquistato il Google Pixel 9 nella versione Nero Ossidiana da 128 GB con caricatore USB-C da 45 W e l’impressione generale è quella di un dispositivo equilibrato, affidabile e progettato con criterio, senza inseguire mode passeggere.

Il display Actua da 6,3"" è luminoso, ben leggibile e dalle dimensioni giuste: comodo da usare ogni giorno senza risultare ingombrante. La fluidità generale è ottima e l’esperienza Android è pulita, ordinata e coerente, come ci si aspetta da un Pixel.

La fotocamera è uno dei punti forti: scatta immagini di qualità elevata, naturali e ben bilanciate, sia di giorno sia in condizioni di luce più difficili. Non serve essere esperti per ottenere buoni risultati, segno di un software maturo e ben ottimizzato.

La batteria copre tranquillamente l’intera giornata (circa 24 ore reali con uso normale) e il caricatore da 45 W incluso è un valore aggiunto concreto, che permette ricariche rapide senza dover acquistare accessori a parte.

L’integrazione con Gemini aggiunge funzioni intelligenti utili, ma senza stravolgere l’uso tradizionale dello smartphone: resta uno strumento al servizio dell’utente, non il contrario.

In conclusione, un telefono sobrio, potente e affidabile, pensato per durare nel tempo e per chi preferisce dispositivi ben fatti, chiari e senza inutili complicazioni. Ottimo rapporto qualità/prezzo. Consigliato a chi cerca uno smartphone “come si deve”.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1TFY918BR0M5U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Gabriele,"4,0 su 5 stelle",Recensito in Italia il 25 novembre 2025,"Per carità, sono soddisfatto, considerando che l'ho preso ad un prezzo che ad oggi è il più basso visto su Amazon credo (550 euro)...ma onestamente mi aspettavo un po' di più. Premetto, vengo da Pixel 6a e Pixel 8a. Il pixel 9 è più rifinito, non in plastica come i 2 modelli di cui sopra ma frame in metallo e retro in vetro. E qui la prima domanda,che vale per Google come per tutti gli altri produttori: perché fare i telefoni in vetro? Impossibili da tenere senza cover e più pesanti delle controparti in plastica.
Infatti il pixel 9 è PESANTE. Da questo punto di vista era a mio avviso molto meglio l'8a.
Poi ok, schermo migliore, più giga di RAM ecc, ma alla fine non trovo differenze rilevanti con il mio vecchio telefono. Almeno tra 8a e 6a si notava una grande differenza nella qualità dello schermo, qui non è così evidente.
Ma soprattutto, avranno pure cambiato il modem, ma la ricezione rimane il suo punto debole. Non che non prenda, sia chiaro, e anzi, l'audio in chiamata è ottimo, ma in scantinati o ambienti particolarmente critici, non c'è una volta che prenda segnale, con i più il difetto di non riagganciare la linea rapidamente quando si torna in zone ""normali"". Spero che almeno questo 9 liscio, a differenza dei due A che ho avuto, non manifesti nel tempo i problemi alla porta USB che non consentivano una corretta ricarica.
Quindi direi buono, ma non ottimo. È sicuramente a non più del prezzo da me pagato.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1MY96BZSTWCIB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Andrea,"5,0 su 5 stelle",Recensito in Italia il 6 giugno 2026,"Google si è superata con questo telefono! Sono stato da sempre un fruitore Samsung e volevo provare qualcosa di diverso ma comunque vicino a quella esperienza, Pixel 9 è semplicemente fantastico. Comparto fotografico al top, schermo molto bello e luminoso, batteria, che con un uso normale, arriva a 2 giorni tranquillamente, intelligenza artificiale ben inserita in tutti i contesti e soprattutto utile nella quotidianità. Al momento, dopo un anno di utilizzo, non ho ancora trovato difetti veri e propri.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2XHPSBDCUI5MG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Giuseppe Angelone,"5,0 su 5 stelle",Recensito in Italia il 25 agosto 2026,"Un telefono eccellente....mi trovo a meraviglia.
Foto fantastiche, aggiornamenti in tempo reale, tutte le features di android a disposizione
"
https://www.amazon.it/portal/customer-reviews/srp/-/R36KFSPHK1OL19/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Roberto,"5,0 su 5 stelle",Recensito in Italia il 5 giugno 2025,"Smartphone di casa Google, offre ottime prstazioni ad un prezzo ragionevole. La batteria, pur non grandissima, è ottimizzata sulla componentistica montata e ha una buona durata: con utilizzo intenso si arriva tranquillamente a fine giornata, con un utilizzo medio si fanno anche 2 giorni. Anche il processore (Tensor G4) è ottimizzato per l'hardware e non si verificano impuntamenti o lag. Il software è uno dei punti di forza: Android pulito, personalizzabile, veloce e senza inutili fronzoli presenti in altre marche (Xiaomi e Samsung in testa). Sotto questo punto di vista, gli unici device che si avvicinano sono i Motorola, ma qui abbiamo il plus degli aggiornamenti puntuali e in tempi rapidissimi dopo l'uscita, oltre che garantiti per 7 anni. Resa delle fotocamere davvero ottima, a livello software la Gcam è semplicemente divina. Inutile paragonarla a device come Xiaomi 15 Ultra o S25, si parla di caratteristiche tecniche decisamente superiori al costo di diverse centinaia di € in più. Per il prezzo attuale (diciamo intorno ai 650-700€) abbiamo uno degli migliori smartphone come rapporto Q/P che ci siano in commercio.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2T33SKMM6LZZF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Andrea Bandini,"4,0 su 5 stelle",Recensito in Italia il 29 aprile 2026,"Il dispositivo perfetto per il pragmatico che cerca un’autonomia da record e foto realistiche, a patto di accettare una gestione termica non sempre impeccabile.

​Pro:
​- Autonomia Reale: Copre due giorni di utilizzo standard senza ansie, un risultato raro nell'elettronica moderna.
​- Qualità Materica: L'uso di alluminio e vetro di alta qualità garantisce una rigidità strutturale che previene flessioni interne nel tempo.
- ​Resa Fotografica Organica: L'intelligenza artificiale non stravolge i colori, mantenendo un bilanciamento del bianco naturale e fedele.
- ​Pannello Actua: Latenza del tocco praticamente nulla e visibilità perfetta anche sotto la luce diretta del sole.

​Contro:
​- Dissipazione Termica: Sotto stress (Android Auto wireless), il calore percepito sulla scocca è evidente, segno di una gestione termica che potrebbe essere più efficiente.
​- Post-Processing Ritratti: Lo sfocato software, seppur preciso, manca della progressività tipica delle lenti ottiche, risultando a volte troppo ""staccato"".
- ​Anacronismo 128GB: Un taglio di memoria base così ridotto è una scelta commerciale discutibile per un top di gamma del 2026.

Allora ragazzi, andiamo dritti al punto: questo Pixel 9 è un pezzo di hardware che trasmette una sensazione di ""densità"" e robustezza immediata. Non è il solito policarbonato leggerino; qui parliamo di materiali che resistono ai piccoli urti quotidiani senza mostrare segni di fatica strutturale. Il software è cucito addosso al processore: la fluidità è totale e non ho riscontrato incertezze nemmeno nel multitasking più spinto, segno di un'ottimizzazione elettronica profonda.
​Il vero ""effetto wow"" però è la batteria. In un mondo di smartphone che gridano al miracolo se arrivano a cena, questo Pixel ti porta a metà del secondo giorno con un uso misto Wi-Fi/4G. Lato camera, Google continua a preferire la verità al filtro bellezza: le foto sono eccellenti per dettaglio e gamma dinamica. Tuttavia, per essere credibili, bisogna dire che l'IA nello sfocato dei ritratti è un po' troppo ""chirurgica"": pulitissima sui bordi, ma manca quella morbidezza che rende uno scatto davvero professionale. È un piccolo compromesso che si accetta volentieri data la qualità generale.
​C'è però un aspetto tecnico da monitorare: il surriscaldamento. Quando il modulo GPS e il Wi-Fi lavorano insieme per Android Auto, il device scalda. Non va in protezione, ma la temperatura sale e questo, alla lunga, è il nemico numero uno della salute della batteria. Inoltre, vendere oggi un telefono da 128GB è quasi una provocazione: vi costringe a un abbonamento cloud entro i primi tre mesi se scattate molte foto. È un ottimo acquisto, ma è un acquisto che va fatto con consapevolezza.

Suggerimento extra: Prima di acquistare, aprite le impostazioni del vostro vecchio smartphone e controllate lo spazio occupato: se superate già la soglia degli 80-90 GB, mettete in conto un abbonamento cloud o puntate direttamente alla versione più capiente per non avere problemi dopo pochi mesi.

Valutazione di dettaglio:
​Qualità Costruttiva (5/5): Assemblaggio impeccabile e materiali che promettono di durare anni.
​Facilità d'uso (5/5): L'esperienza software più pulita e intuitiva sul mercato.
​Gestione Calore (3/5): Il surriscaldamento con Android Auto wireless è un punto di miglioramento necessario.
​Rapporto Qualità-Prezzo (4/5): Ottimo hardware, penalizzato solo dalla scelta dello storage base ridotto.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RLKPLOKQZRAKA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Andrea,"5,0 su 5 stelle",Recensito in Italia il 12 aprile 2026,"Smartphone molto equilibrato: veloce, compatto il giusto e con una fotocamera davvero affidabile.
L’esperienza software è uno dei suoi punti forti, l'esperienza pixel è una delle migliori in assoluto.

Non è il più potente lato gaming (serve altro, che abbia uno snapdragon di ultima generazione o simili), ma nell’uso quotidiano è difficile trovargli veri difetti. non è da gamer alla fine... ma io non installo giochini da almeno 10 anni

Utilizzato quotidianamente per foto, social, navigazione, video e app di gestione.
Usato con cover e vetro temperato Spigen e mai avuto problemi con l'impronta anche se con vetrino.

Una delle cose migliori è il formato: comodo da usare con una mano, compatto ma non ""mini""
sensazione premium in mano sempre, anche grazie al suo form factor

Le finiture sono curate e il nuovo design della camera bar lo rende subito riconoscibile, rava google, mi piace un sacco!

Display molto bello e luminoso anche se non al top per i pwm dimming (limitato):

luminoso anche all’esterno
colori ben calibrati
fluidità ottima grazie ai 120 Hz

Per uso quotidiano è davvero piacevole e non teme anche i grandi smartphone della concorrenza!

Fotocamere
Qui Google continua a fare la differenza: foto molto naturali, HDR ottimo, scatti affidabili anche punta e scatta. insomma qualsiasi foto facciate, difficilmente sbaglierete! un po meno di notte, ma per me non è stato un problema

L’esperienza generale è molto fluida e coerente. Google garantisce anche aggiornamenti estesi nel tempo. ()

Buona autonomia generale: arrivo a fine giornata senza problemi con utilizzo normale.
La ricarica però non è tra le più veloci rispetto ad alcuni concorrenti.

La sensazione generale è quella di uno smartphone molto “centrato”: non punta solo ai numeri, ma all’esperienza quotidiana.
È uno di quei telefoni che usi senza doverci pensare troppo.

Pro
Fotocamere molto affidabili
Android pulito e veloce
Ottimo formato e comodità d’uso
Display luminoso e fluido

Contro
Ricarica non velocissima
Gaming pesante non al livello dei top Snapdragon
Alcune funzioni AI non disponibili in Italia purtroppo!

Consigliato a chi vuole uno smartphone equilibrato, intelligente e piacevole da usare ogni giorno.
Meno indicato se cerchi massima potenza gaming
"
