Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/R2XKCE1U6JJETY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Claudio,"5,0 su 5 stelle",Recensito in Italia il 25 agosto 2025,"Dovevo cambiare il mio Sony che possedevo già da 8 anni, nella ricerca di quelli papabili la cerchia si era stretta tra Pixel (da 8 Pro a 9) e Motorola Edge 50 Ultra. Viste le caratteristiche ho optato per quest'ultimo anche perché pagandolo 580 ho risparmiato dei soldini avendo un prodotto come caratteristiche migliore. 16 Gb di ram e 1 Tb non è cosa da poco, velocissimo non avendo oltretutto il processore più performante, ma questo non toglie che è una scheggia. Os stock Android 15 con nessuna menata stile Cina. Bellissime foto, audio potentissimo e ricarica velocissima. Ci si deve abituare al display curvo, ma bastano poche ore e non ci si fa più caso. Consigliatissimo, io l'ho preso Wood ma il prezzo adesso è veramente alto, se piace il colore Forest green è da prendere senza esistare.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RCY3UR8AI72UC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Symumay,"5,0 su 5 stelle",Recensito in Italia il 6 agosto 2024,"Ottimo telefono!
Cercavo un Cell con una batteria durevole, ricarica veloce e una memoria molto ampia; considerando che possiede una RAM di 16 GB e una SD interna di 1 TB posso ritenermi super soddisfatta. Il rapporto qualità prezzo è secondo imbattibile . Un top di gamma a meno di 1000 euro. Le foto e i video sono bellissimi anche se la fotocamera non è il suo punto di forza.
L'unica piccolissima pecca che rilevo ma a cui sono certa mi abituerò, sono i bordi arrotondati che a volte sono fastidiosi col touch in quanto non lo rendono fluido e sempre preciso sui lati/angoli. Tuttavia il touch è in generale super reattivo e non presenta problemi.
Mi sono piaciute molto due cose: la possibilità di scansionare i documenti senza dover scaricare app, in quanto la funzione si trova nella fotocamera stessa. Ed il top è collegamento al PC, in quanto il cellulare diventa praticamente un secondo desktop sul PC stesso. Lo consiglio senz'altro.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1NHUS575Z0C2H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Vincenzo,"5,0 su 5 stelle",Recensito in Italia il 11 luglio 2026,"A questo smartphone non manca assolutamente nulla e lo consiglio a tutti.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2Y6EZV3A1F1AF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Demis Golinelli,"4,0 su 5 stelle",Recensito in Italia il 27 agosto 2025,"Ho acquistato il telefono circa un anno fa, era uscito da qualche mese ed era già in forte sconto rispetto al prezzo di listino all'uscita che reputavo troppo esagerato.

Il telefono è un top di gamma, 1Tb di storage e 16Gb di memoria sono più che sufficienti per ugni tipologia di utilizzo, non monta il processore più potente dell'anno scorso, cioè lo Snapdragon 8 Gen 3 ma la versione 8s Gen 3, leggermente meno performante ma comunque con prestazioni più che ottime anche per l'utilizzo gaming.

Quello che mi è sempre piaciuto della serie Edge di Motorola è il display curvo, questo consente di avere uno smartphone leggermente più stretto e quindi più maneggevole e meno vistoso quando lo si tiene in tasca, lo schermo è fantastico anche sotto la luce del sole e anche la fotocamera regala foto e video di qualità da top di gamma.

Motorola aggiorna con le patch di sicurezza circa ogni 2 o 3 mesi, per questo modello sono previsti 3 major update, per cui verrà aggiornato con le ultime versioni di Android fino alla versione 17, probabilmente le patch di sicurezza verranno rilasciate anche successivamente.

L'unica disavventura che ho avuto è un problema che ha iniziato a manifestarsi qualche mese fa, il telefono ha iniziato a dare continuamente durante la giornata un messaggio di errore ""android system intelligence ha smesso di funzionare"", ho provato a fare il reset di fabbrica e il wipe e ripristino totale con l'utility di Motorola, atteso aggiornamenti correttivi, ma il problema è rimasto presente per un bel pò, continuamente mi trovavo a dover confermare l'errore che usciva mentre lo si utilizzava.
Poi ad un certo punto ha iniziato anche a riavviarsi da solo durante l'utilizzo, per cui ho richiesto l'assistenza di Motorola tramite il servizio di Amazon, prontamente me l'hanno fatto spedire al centro di assistenza e dopo una decina di giorni ho riavuto il telefono.
A livello hardware non hanno sostituito niente, ma hanno eseguito una qualche procedura a livello software, il telefono rientrato adesso funziona perfettamente e sembra anche che la batterie duri un pò di più, l'autonomia in ogni caso è sempre stata ottima e dopo una giornata di utilizzo intenso sono sempre arrivato a sera con un 30-40% di batteria almeno.

Quindi nonostante la disavventura alla quale comunque è stato posto rimedio sono in generale soddisfatto di questo telefono, probabilmente ricomprerò ancora un device Motorola in futuro.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3IAER2XTBHYWK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Alice,"5,0 su 5 stelle",Recensito in Italia il 4 luglio 2026,"Arrivato perfetto
Lo uso da tempo e devo dire che mi ci trovo benissimo
Ottimo rapporto qualità prezzo
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1Z6IY5G64A65H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Paolo,"3,0 su 5 stelle",Recensito in Italia il 14 dicembre 2024,"Ho acquistato questo telefono il 18 di novembre e ad ora lo trovo discreto perchè ha un unico taglio di memoria da 1tb che mi serviva. Ero possessore di un galaxy note 20 ultra 5g, e c'è un abbisso perchè sono due ecosistemi diversi. Difetto pauroso sono i microfoni nei video che sembrano di un telefono del 2009 alla quale sto cercando disperatamente di capire come risolvere e ho cercato di tutto su internet fino a utilizzare altre app per fare video ma nulla. La hello ui è esattamente una fiera del levante dei bug. Android stock è per gli smanettoni, per chi li sa usare. Molte cose non son riuscito a passare col samsung switch, ossia non ha funzionato, e nonostante abbia fatto il passaggio delle foto con google foto, manca tutta la memoria esterna alla quale non c'è nulla ancora su questo telefono. Non riesco a fare le tanto fatidiche foto alla luna che riuscivo a fare con il mio note 20 ultra 5g di 4 anni fa col 50x mentre questo è un 100x di zoom mi aspettavo davvero tanto, invece una bella delusione. Tanta inteligenza artificiale e poi non mi riconosce una foto fatta alla luna, deprimente, non ho comprato un iphone apposta. Le foto notturne sono belle e di giorno sono un po prive di colori, le trovo un po scure, fatte con un ottimo HDR. Mi ero innamorato dal punto di vista estetico e costruttivo, non curante del fatto che dopo poco il feedback dei tasti del volume dopo un po vanno scemando. E il supporto di motorola con i suoi clienti è a dir poco inesistente dato il grave problema con i microfoni nei video, si sentono questi fruscii e cancella il suono, gia provato a disattivare il crystalltak ma non serve a nulla. Ovviamente 690 euro non sono 1700 del samsung s 24 ultra da 1tb e quindi chi risparmia se la prende a quel servizio ma non pensavo fino a questo punto. Lato gaming nulla da dire, è un semitop uno scalino in meno allo snapdragon 8 gen 3 mentre questo è un 8s gen 3, infatti è una questione di clock leggermente minore. Mi manca la tastiera di samsung e tutto il suo ecosistema che pensavo si potesse usare anche qui per adattarmi. Mi sento limitato, e per chi spende anche 700 euro sono soldi. Mi aspettavo molto di più. Motorola per questo dispositivo dà solo 3 anni di aggiornamenti e non 5 come gli altri. Ho provato a dare fiducia ad un marchio che non vedevo dalla mia prima comunione e ad ora sono poco convinto del prodotto che han partorito. Tanto spendi tanto dura, poco spendi e poco ti dura. Per il resto, probabilmente questo telefono va bene per persone che astento fanno video e che sono poco pretenziosi che non badano alla precisione ma probabilmente alla sostanza in se per se, batteria da 125w che dal 20% al 100% si ricarica il 14 minuti e mezzo. La qualità delle telefonate sono finalmente il top le persone mi sentono veramente bene e le altre le sento come se fossero accanto a me. Spero solo che motorola riesca a fare un aggiornamento per sistemare la porcheria dei microfoni nei video.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2LVUEDH4AAIJ1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Frank,"1,0 su 5 stelle",Recensito in Italia il 6 giugno 2025,"Arrivato oggi. Lo porto al negozio di telefonia per trasferimento dati. Il tecnico mi dice che senza SIM non prende wi fi. E quindi di fare il reso. Caratteristica o problema del Cell? Se qualcuno sa illuminarmi ? Grazie a tutti.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R29N1BPUD97G0U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,UGO,"5,0 su 5 stelle",Recensito in Italia il 16 gennaio 2025,"Aspetto gradevole sia visivo che al tatto, si tiene bene in mano, ho preferito aggiungere una cover per sicurezza. La batteria dura abbastanza pur limitando la ricarica all'80% per migliorarne la vita, la ricarica è comunque veramente molto veloce. La ricarica wireless non proprietaria funziona bene anche in auto. Valide, performanti e molto flessibili le varie ottiche fotografiche che si integrano in modo fluido tra di loro. Funzionamento molto reattivo, notevole la memoria interna di 1 Tb. Consegna in anticipo in 2 gg lavorativi invece dei 5 previsti. Prodotto valido consigliato.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R339UWVOJ0NBXW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Olgomar,"4,0 su 5 stelle",Recensito in Italia il 2 marzo 2025,"Great handling phone with flicker reduction options, capable cameras and fast charging.

Positives: Lightweight and well balanced in the hand, its ergonomics provide ease of use.
Display easy on my eyes (with flicker reduction on) - particularly compared to Samsung and Google OLED screens.
Cameras take clear photos and provide good range from ultra wide to telephoto, selfie camera has autofocus which is a bonus.
Speaker is sufficiently loud without distortion.
Updates (eventually, after about 6 iterations) to Android 15.
With the flicker reduction option on, I find it comfortable to use consistently in a variety of lighting conditions.
Generous 1TB of fast storage helps in a phone without SDcard expansion.
16GB of RAM and snappy processor provide a very responsive system.
Ready For Mobile desktop mode (like Samsung DeX) works surprisingly well so far (only tried it a few times).
Wireless charging is always appreciated.
Fast charging is exceptional.
Scanning of documents in camera is a handy feature.
Gestures to turn on the torch and camera are useful.

Negatives: There is some shutter lag at times (particularly when using the flash).
The curved screen looks fragile, and can be tricky sometimes due to (unwanted) touches registering on the edge while holding the phone (this is fixed with a screen protector and case anyhow).

Workarounds
I am using the phone with a hydrogel screen protector together with an amazingly lightweight and strong aramid fibre/carbon fibre case which was purchased elsewhere.
The camera takes great photos but shutter lag and camera shake at times (for me, occasionally when using the volume button to capture can introduce shake at capture time) give unintended consequences. In these situations sometimes it is better to retake the picture or consider using the timer to allow a more stable capture.
The battery seems to be run down a bit more than I expect by the end of the day, but it charges so quickly it is generally no problem.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1GN84TMIE3YCH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Gabriele,"3,0 su 5 stelle",Recensito in Italia il 15 marzo 2025,"Il telefono di per sé ha caratteristiche ottime: fotocamera super, 1tb di memoria che sono veramente tantissimi, sensori reattivi (sia lo sblocco con il volto che il sensore d'impronte dei razzi), il processore ottimo e soprattutto una batteria a lunga durata con ricarica non rapida, di più. Inoltre le funzioni proprietarie di Motorola devo dire sono comodissime.
Ora però veniamo ai lati negativi:
-il telefono non viene riconosciuto da Google come sicuro, tant'è che ad esempio non è possibile utilizzare i documenti sull'app ministeriale ""IO""; non è un problema della app ma proprio del telefono perché facendo altri test in effetti non risponde ai requisiti di sicurezza, non chiedetemi il motivo perché proprio non riesco a capirlo.
-volume bluetooth: il volume in uscita è basso, subito credevo fosse un problema dei miei auricolari che si fossero improvvisamente rotti, ma provando a collegarli ad un altro dispositivo ho visto che invece funzionavano benissimo, è proprio questo Motorola che abbassa forzatamente il volume
-il telefono è stato evidentemente progettato male (tant'è che la serie successiva, 60, è stata totalmente modificata in questo) ed ha il vetro che circonda le fotocamere non fragile, di più. Assurdo.

Peccato per questi difetti, veramente, ma lo rendono un telefono per me inutilizzabile.
"
