Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/R14R7RDKBB7EKV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,🥰Mary🥰,"5,0 su 5 stelle",Recensito in Italia il 15 marzo 2024,"Davvero un prodotto super top! Paragonabile tranquillamente ai top do gamma da 1500 euro ma alla metà del prezzo! Fotocamera non stratosferica ma fa il suo dovere perfettamente! Velocissimo anche sotto sforzo. Ricarica super rapida da 100w (da 0 a 100 in 28 minuti e anche meno). E cosa ancora più bella,IL CARICATORE È INCLUSOOOOO! La qualità è a mio parere molto superiore al prezzo! Consiglio!!!!
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1DKIEUTAG7RNR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Mirko,"5,0 su 5 stelle",Recensito in Italia il 27 settembre 2024,"Le prestazioni sono eccezionali, con una velocità e fluidità che rendono ogni operazione un piacere. La fotocamera scatta foto di alta qualità e la batteria dura tutto il giorno, anche con un uso intenso. Inoltre, il design elegante e moderno lo rende un vero gioiello tecnologico. Un acquisto che consiglio vivamente a chi cerca uno smartphone potente e affidabile.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2YNC9KTL6QJR9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Simona Bernardi,"5,0 su 5 stelle",Recensito in Italia il 8 agosto 2024,"Premetto che arrivo da un One plus 6T acquistato nel 2019 e ancora perfettamente funzionante. Ho voluto solo cambiarlo per un discorso di durata di batteria. Ero indecisa se cadere nell'acquisto iPhone, ma poi dopo diverse recensioni di video a confronto con i due modelli, ho deciso di rimanere con oneplus. È sempre una garanzia. Intuitivo, sistema operativo scattante e foto spettacolari. Direi che per quello che serve a me, il One plus 12R è un ottimo telefono di alta gamma con un buon compromesso qualità prezzo senza addosarsi la schiavitù del marchio Apple (che se non hai l'iPhone, non sei un figo aggiungerei! 😅). Quindi mi sento di consigliarlo!
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2VGXEV3ZCI76D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Claudio,"5,0 su 5 stelle",Recensito in Italia il 9 aprile 2026,"Fantastico
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3KDPT779KRMUE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Marco,"3,0 su 5 stelle",Recensito in Italia il 20 giugno 2026,"Buon cellulare, solo che a volte presenta dei bug
"
https://www.amazon.it/portal/customer-reviews/srp/-/R36NH1GH5DPGM0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,salvatore,"5,0 su 5 stelle",Recensito in Italia il 2 ottobre 2025,"Ottimo prodotto, super veloce non si blocca mai batterie super e non parliamo del caricabatterie velocissimo
"
https://www.amazon.it/portal/customer-reviews/srp/-/R37CXPUKTAXIIK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Lunas,"4,0 su 5 stelle",Recensito in Italia il 3 ottobre 2024,"Come già sottolineato da altri, il comparto fotografico è mediocre, ma se non è un punto di interesse allora consiglio pienamente il telefono che è velocissimo, bello, completo e si ricarica in neanche mezz'ora. Gli aggiornamenti sono costanti e non ha mai dato il minimo problema.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R8Z8NC5TI4AJP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Cliente Amazon,"5,0 su 5 stelle",Recensito in Italia il 27 settembre 2025,"A più di un anno dall'acquisto mi ritengo soddisfatto. Il telefono è efficiente e robusto. Qualità delle foto buona. Buona velocità di sistema. Soddisfatto considerando il rapporto qualità prezzo!
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3FEUP07G6SXQE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Maui,"3,0 su 5 stelle",Recensito in Italia il 8 agosto 2024,"Arrivato in anticipo di 2 giorni... spedizione top! Impossibile danneggiarlo.
Bel telefono... maneggiabile.
Reattivo e bello pronto ai comandi...in 1 mese di utilizzo non si è mai impuntato. Scrivo questa recensione sotto il sole diretto di Agosto... credetemi si vede benissimo. E si regola automaticamente la luminosità in maniera talmente veloce da renderla impercettibile come operazione.
Il motivo delle tre stelle è perché se utilizzate la batteria in modalità 100% ( esiste la modalità 80% max per preservarne la durata nel tempo) non arrivate a fine giornata. Indipendentemente dalla visione o meno di video. Io non lo utilizzo per giochi o visione di film... Traete quindi le vostre conclusioni.
Sto valutando se renderlo...avendo ancora 2 giorni di tempo per decidere.
Per il resto...bella grafica.
Carica velocissima.
Apertura app. Pesanti attesa max 3 sec.
Con il precedente device di 2nanni di vita ( già processore stessa serie ma versione 1) ci volevano 7/9 secondi...
Android auto funziona benissimo perfettamente.
Sistema di sblocco telefono con impronta...preciso al 90%... raramente non funziona...
Le foto sono molto buone...ma nulla di eccezionale.
Video ottimi.

Lo consiglierei?
Se siete smanettoni...non sareste soddisfatti. Quindi no...
Utilizzatori medi si...non oltre 500 euro di spesa ... O si trova di meglio...
Spero di esservi stato utile.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2Z9UYUOG6ZJQQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Cliente Amazon,"2,0 su 5 stelle",Recensito in Italia il 24 aprile 2026,"Comprato perchè mi era stato descritto e consigliato come ottimo prodotto, e fino a qualche giorno fa ne ero convinto fino a che non ho riscontrato problemi con lo schermo diventa multicolor fluorescenti sono costretto a spegnere e riaccenderlo purtroppo non ho foto
"
