Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/R39J0MNQ5B2UHU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Francesco V.,"5,0 su 5 stelle",Recensito in Italia il 23 aprile 2026,"Ho regalato questo smartphone alla mia fidanzata e siamo rimasti entrambi molto soddisfatti. Esteticamente è davvero bello e il comparto grafico è buono, con uno schermo piacevole da usare tutti i giorni.

La qualità generale è ottima e si percepisce subito nell’utilizzo quotidiano. Anche la fotocamera fa un buon lavoro, soprattutto per foto casual e social.

Conoscevo già Realme e devo dire che si conferma una garanzia: batteria affidabile, buona autonomia e ricarica molto veloce, aspetti che fanno davvero la differenza.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1PC58NXXR1XYT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,FlorianoL,"5,0 su 5 stelle",Recensito in Italia il 25 settembre 2025,"Da affezionato Samsung Galaxy, li ho avuti tutti… fino a quando, per necessità, ho acquistato questo Realme 12 Pro+ 5G. Non gli davo due lire, e invece mi ha stupito sotto ogni aspetto. È uno smartphone che vale ogni centesimo, soprattutto nella versione 8+256GB.

📸 Fotocamera e prestazioni:
• La Sony IMX890 con OIS e zoom ottico 3X è una bomba: foto nitide, dettagliate, e uno zoom che non impasta.
• Nei video al chiuso pecca leggermente, ma per il prezzo che ha… di cosa stiamo parlando?
• Il software è fluido, ben ottimizzato e piacevole da usare.

🔋 Batteria e ricarica:
• Autonomia eccellente, dura tutto il giorno anche con uso intenso.
• La ricarica è super veloce, perfetta per chi è sempre in movimento.

📦 Dotazione e qualità costruttiva:
• Include una cover in TPU trasparente: niente di speciale, ma fa il suo dovere.
• Design elegante, materiali solidi, non sembra affatto un “secondo marchio”.

👍 Pro:
• Ottimo rapporto qualità/prezzo.
• Fotocamera Sony di livello.
• Ricarica rapida e batteria duratura.
• Software fluido e piacevole.

👎 Contro:
• Video al chiuso migliorabili.
• La cover inclusa è basica.

💡 Consiglio:
Lo consiglio senza riserve. Da quando l’ho provato, lo suggerisco a tutti, e molto probabilmente lo ricomprerò quando sarà il momento di cambiare. Un vero affare.

Conclusione:
Il Realme 12 Pro+ 5G è una sorpresa positiva: potente, elegante, e con una fotocamera che fa la differenza. Se cercate qualità senza spendere una fortuna, questo è il telefono giusto.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3547HMD3EQZAY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Terminator,"5,0 su 5 stelle",Recensito in Italia il 20 agosto 2025,"Ho recentemente acquistato il Realme 12 Pro+ e sono estremamente soddisfatto della mia scelta. Ecco alcuni aspetti che mi hanno colpito positivamente:

**Design e Costruzione:**
Il telefono presenta un design elegante con una back cover in materiale simile alla pelle, che offre un'ottima presa e una sensazione premium al tatto. Nonostante le dimensioni generose, risulta comodo da maneggiare grazie al peso ben bilanciato. citeturn0search3

**Display:**
Il display AMOLED da 6,7 pollici con risoluzione 1080 x 2412 pixel è semplicemente stupendo. I colori sono vividi e la luminosità è adeguata anche sotto la luce diretta del sole. Il refresh rate a 120Hz rende l'esperienza utente fluida e piacevole. citeturn0search3

**Prestazioni:**
Equipaggiato con il processore Snapdragon 7s Gen 2 e 12GB di RAM, il Realme 12 Pro+ gestisce senza problemi le applicazioni più esigenti e il multitasking. Durante l'uso quotidiano, non ho riscontrato rallentamenti o impuntamenti. citeturn0search3

**Fotocamera:**
Il comparto fotografico è il vero punto di forza di questo smartphone. La fotocamera principale da 50MP con sensore Sony IMX890 scatta foto di alta qualità anche in condizioni di scarsa illuminazione. La presenza di una lente periscopica con zoom ottico 3x è una rarità in questa fascia di prezzo e permette di ottenere scatti dettagliati a diverse distanze. citeturn0search3

**Batteria:**
La batteria da 5000mAh offre un'ottima autonomia, permettendomi di arrivare a fine giornata con un uso intenso. La ricarica rapida a 67W è estremamente comoda, consentendo di ricaricare il telefono al 50% in circa 18 minuti. citeturn0search6

**Conclusione:**
Il Realme 12 Pro+ offre un rapporto qualità-prezzo eccezionale. Con un design raffinato, prestazioni solide e un comparto fotografico di alto livello, è difficile trovare di meglio in questa fascia di prezzo. Lo consiglio vivamente a chi cerca uno smartphone completo senza spendere una fortuna.

Consigliato !!! E perfetto
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3IKUWQP7XLJO5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,salvatore,"5,0 su 5 stelle",Recensito in Italia il 13 settembre 2024,"Dopo aver utilizzato il Realme 12 Pro Plus (configurazione con 8GB di RAM e 256GB di storage), posso affermare che questo smartphone offre un'esperienza eccellente sotto diversi aspetti, soprattutto per chi cerca un dispositivo dalle prestazioni solide e con un ampio spazio di archiviazione.

La prima cosa che colpisce del Realme 12 Pro Plus è il design. Il telefono ha un aspetto elegante, con una finitura posteriore lucida e un modulo fotocamera ben integrato. È comodo da tenere in mano, anche se la scocca lucida tende a trattenere le impronte digitali. Tuttavia, con una cover protettiva, questo problema si risolve facilmente. Il peso è ben distribuito e, pur essendo uno smartphone di grandi dimensioni, non è scomodo da usare per lunghi periodi.

Lo schermo AMOLED da 6,7 pollici è davvero uno spettacolo. La risoluzione Full HD+ con il refresh rate a 120Hz garantisce un'esperienza visiva fluida e piacevole, sia durante la visione di video, sia quando si gioca. I colori sono vibranti e i neri profondi, tipici degli schermi AMOLED. Guardare film o serie TV è davvero coinvolgente, e grazie alla buona luminosità dello schermo, è possibile usarlo senza problemi anche all'aperto sotto la luce diretta del sole.

Il Qualcomm Snapdragon 7s Gen 2 5G insieme agli 8GB di RAM è una combinazione più che adeguata per la maggior parte degli utilizzi quotidiani. Ho testato diverse app contemporaneamente, inclusi giochi pesanti, e il telefono ha gestito tutto senza mai rallentare. Anche durante lunghe sessioni di gaming o streaming video, il Realme 12 Pro Plus non ha mostrato segni di surriscaldamento o cali di prestazioni. La RAM di 8GB è più che sufficiente per la gestione del multitasking.

Lo spazio di archiviazione da 256GB è uno dei punti forti di questa versione. Per chi, come me, scatta molte foto e registra video ad alta risoluzione, questo ampio spazio permette di non preoccuparsi di esaurire la memoria a breve. Inoltre, è ideale per chi installa molte app o giochi pesanti.

Il comparto fotografico è molto valido. La fotocamera principale da 200 MP è in grado di catturare immagini molto dettagliate in diverse condizioni di luce. Le foto in modalità notturna sono impressionanti, con una buona gestione delle ombre e ridotto rumore. Anche le foto scattate con la fotocamera grandangolare sono di qualità accettabile, anche se, come spesso accade, non possono competere con il sensore principale. La fotocamera frontale da 32 MP è perfetta per i selfie e le videochiamate, con una buona nitidezza e riproduzione cromatica.

La batteria da 5000 mAh offre una durata eccellente. Con un uso normale, che include navigazione su internet, social media, qualche foto e video, e un po' di gaming, sono riuscito ad arrivare tranquillamente a fine giornata con ancora una buona percentuale di carica. La ricarica rapida è un vero punto di svolta: in meno di 30 minuti il telefono è carico al 100%, il che è davvero comodo quando si ha poco tempo a disposizione.

Software e Funzionalità
L'interfaccia Realme UI 4.0 basata su Android 14 è ben ottimizzata, con un’interfaccia intuitiva e fluida. C’è un po' di bloatware preinstallato, ma la maggior parte di queste app può essere facilmente rimossa. La personalizzazione è ottima, permettendo di adattare il telefono alle proprie esigenze. Le funzionalità smart, come la modalità scura automatica e i gesti per la navigazione, rendono l'esperienza d'uso ancora più comoda.

Considerazioni Finali
Il Realme 12 Pro Plus (8GB RAM, 256GB) è un'ottima scelta per chi cerca un dispositivo potente e versatile. Si comporta egregiamente sia nelle attività quotidiane che in quelle più intensive, come il gaming. L'ampio storage, il display di qualità e il comparto fotografico competitivo lo rendono un telefono molto valido per il prezzo a cui viene offerto. La batteria con ricarica rapida e il buon supporto software lo rendono anche un dispositivo molto pratico da usare quotidianamente.

Pro:
Schermo AMOLED fluido e di alta qualità
Prestazioni solide con multitasking e gaming
Fotocamera periscopica per ritratto davvero eccellente
Ampia memoria interna da 256GB
Ricarica rapida super efficiente

Contro:
Bloatware preinstallato da eliminare
La finitura lucida trattiene le impronte
Nel complesso, un telefono davvero ottimo per chi cerca una soluzione completa!
"
https://www.amazon.it/portal/customer-reviews/srp/-/RSQ2GLBX4QMXI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Lorenzo,"3,0 su 5 stelle",Recensito in Italia il 1 maggio 2026,"Ho acquistato questo smartphone con aspettative piuttosto alte, soprattutto per il comparto fotografico e l’hardware, e devo dire che sotto questi aspetti non delude. Le fotocamere sono davvero il punto forte: scattano foto dettagliate, con buoni colori e una resa generale sopra la media per questa fascia. Anche a livello di prestazioni il dispositivo è fluido e reattivo, adatto sia all’uso quotidiano che a qualche attività più pesante.
Purtroppo però non è tutto positivo. La batteria è decisamente il punto debole: la durata è sotto le aspettative e spesso si fa fatica ad arrivare a fine giornata con un utilizzo normale. Inoltre, ho riscontrato diversi piccoli bug software che rendono l’esperienza meno piacevole, e gli aggiornamenti di sistema sembrano piuttosto limitati, cosa che nel lungo periodo pesa.
Un’altra grande delusione riguarda le condizioni in cui mi è arrivato. L’ho acquistato tramite Amazon (probabilmente dalla sezione “Amazon Warehouse”, quindi prodotti usati o ricondizionati), ma non mi aspettavo certi difetti. Lo schermo presentava un alone visibile, come se ci fossero dei cristalli liquidi “bruciati” o comunque una zona con colore diverso rispetto al resto del display. Inoltre, la scocca aveva diversi segni di usura abbastanza evidenti.
In sintesi: ottimo lato fotocamera e hardware, ma tra batteria scarsa, software migliorabile e condizioni del prodotto ricevuto, l’esperienza complessiva è stata altalenante. Potrebbe essere un buon acquisto solo se preso nuovo e a un buon prezzo, ma così lascia parecchi dubbi.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2JE4T3GA5W90A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,F.V.,"4,0 su 5 stelle",Recensito in Italia il 26 maggio 2024,"DOTAZIONE 5/5
Ragazzi, ormai nelle confezioni non includono quasi più neanche lo smartphone :D
In questo caso, oltre a meravigliarsi del cellulare non appena lo prenderete in mano, vi sorprenderete della presenza di un caricabatteria velocissimo ed addirittura di una cover trasparente di discreta qualità.
Top!

ESTETICA e DIMENSIONI 4/5
C'è sempre da contemplare sia la componente oggettiva (qualità percepita/accostamento di materiali/form factor ecc) ed una parte prettamente soggettiva che dipende dall'utilizzatore.
Per la seconda ho dei dubbi riguardo l'accostamento di colori, forse l'oro accostato al blu risulta un pò kitsch, ma per quanto riguarda il resto direi davvero perfetto: Materiali premium (menzione speciale per la retrocover in pelle vegana), cura dei dettagli massima (vedere ghiera fotografica a richiamare quella di un rolver datejust) eccellente il form factor che permette, finalmente, di avere un prodotto di fascia medio/alta realmente tascabile e non il solito padellone.
Direi ottimo. Voto 4 su 5.

PERFORMANCES e SOFTWARE 4/5
Anche in questo ambito 4/5. La perfezione è vicina. Il processore è perfetto, rapido in ogni occasione, anche coadiuvato dalla buona quantità di ram nel modello da me scelto.
La mancanza di una stella deriva dai rarissimi, ma presenti, bug di sistema: ne saranno capitati 3 o 4 in 3 mesi intensissimi di utilizzo, ma mai hanno reso inutilizzabile il cel per più di 10 secondi.
Eccellenti performances. Ottimo ma migliorabile il software.

BATTERIA 5/5
Il massimo dei voti per il comparto batteria. Dura una giornata intera senza alcun problema.
Utilizzo tantissimo lo smartphone (chiamate, mail, tantissime foto, social e schermo perennemente acceso) e non mi è praticamente quasi mai capitato di arrivare a sera con la sensazione di non farcela.
Utilizzato anche in vacanza come sostituto della mia amata reflex e non è stato necessario, a meno di un paio di gorni, utilizzare il powerbank. Promosso!

FOTO 4,5/5
Il vero motivo per cui ho acquistato lo smartphone.
Fotograficamente, in virtù del prezzo, è insuperabile! Foto quasi sempre all'altezza, su tutte le focali tranne per la ultragrandangolare che ha meno dettaglio rispetto alle altre.
Lo zoom 3x è quanto di più magico abbia provato fotograficamente su uno smartphone: nei ritratti non fà rimpiangere la mia reflex in condizioni di buona luce e con la giusta concentrazione di scatto. Davvero non speravo in tanto.
Il motivo del mezzo punto in meno? La mancanza, ai nostri tempi ingiustificabile, di una vera palette AI come nel pixel di google, che consenta di modificare in maniera perfetta le foto (eliminazioni di oggetti/persone) senza doverlo fare con strumenti old style tipo gommino, che lasciano il tempo che trovano.
In definitiva: foto perfette in relazione al prezzo pagato.

QUALITA/PREZZO 5/5
Dovessi tornare indietro, per 399€, lo ricomprerei altre mille volte.
Integra una comparto fotocamere da segmento altissimo, le performances sono da livello medio/alto, la qualità percepita è da top di gamma e la resa generale è davvero soddisfacente.
E' uno smartphone premium a prezzo da medio gamma, cosa volere di piu? PROMOSSO QUASI A PIENI VOTI!
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2PUC708PQ9932/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Marilena S.,"5,0 su 5 stelle",Recensito in Italia il 16 marzo 2026,"Ottimo telefono veloce carica veloce le foto nn male ... A volte paragonabile a certi tipi di cell un top di gamma...in mano si tiene in maniera eccellente ed è anche piacevole
"
https://www.amazon.it/portal/customer-reviews/srp/-/RUB3TQL7F8LK3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Martino ,"5,0 su 5 stelle",Recensito in Italia il 21 agosto 2024,"Dopo due giorni tiro le prime somme di questo telefono.
Comprato dopo un'attenta valutazione dei vari competitor nella sua fascia di prezzo, l'unico punto che mi lasciava un amaro in bocca era il display, perché descritto dalle variebl recensioni online come poco luminoso e perché non amo personalmente i display curvi, aspetti per cui invece non mi son dovuto lamentare in quanto la luminosità è molto più che sufficiente anche in sotto il sole, e stiamo parlando di quello della Sardegna in pieno Agosto e l'usabilità con il display curvo è veramente un piacere. Ora che altro dire, batteria pressoché infinita, finisco oggi una giornata tipo con il 58% di batteria, telefono sempre prestante, mai un lag o altro, android 14 gia installato, bellissimo da vedere sotto ogni angolazione, IP65, e reparto fotografico che se pensiamo al prezzo di vendita lascia a bocca aperta. Questa foto della luna calante di oggi l'ho fatta senza filtri, modifiche o cavalletto, sono semplicente uscito nella veranda di casa ed ho scattato ingrandendo a 90X, contando che si può arrivare anche a 120X.
Quindi che dire se non che per adesso lo trovo il miglior smartphone per questa fascia di prezzo.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3CDQ9XKB4BIG1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Maurizio,"4,0 su 5 stelle",Recensito in Italia il 23 aprile 2025,"Preso perché avevo letto ottime recensioni ed al momento non avevo il budget per un top di gamma. Inizio dalle cose che non mi hanno fatto dare 5 stelle, ma le meriterebbe. Non ha la ricarica wireless a cui mi ero abituato con il precedente telefono ed ha lo speaker con cui ascoltare le telefonate troppo esterno che costringe ad avere la fine del cellulare a metà orecchio, mentre prima ero abituato ad appoggiarlo coprendo l'intero padiglione dell'orecchio. Per il resto lo trovo perfetto. Ottima gestione della batteria specie dopo il 60% che non mi fa sentire la mancanza della ricarica wireless. Ottima anche la gestione della ricarica. Ottime e complete le funzionalità. Gli aggiornamenti giungono molto prima di marchi più blasonati. Già appena preso era disponibile l'aggiornamento all'ultima versione di Android. Lo zoom è fantastico e non sfigura rispetto all'iphone di mia moglie. L'estetica è piaciuta a tutti i miei conoscenti. Io inoltre l'ho preso usato su Amazon e devo dire che ancora oggi faccio fatica a capire da cosa differisce da un nuovo. Complimenti Realme che non conoscevo, hai realizzato un prodotto dall'elevato rapporto qualità prezzo. Ottima qualità delle chiamate e recezione del segnale anche di quello GPS. Anche gli aggiornamenti di sicurezza arrivano prima di molti altri top di gamma. Lo consiglio veramente a chi come me non ha il budget per un top di gamma, da cui si discosta davvero su poche funzionalità particolari che non per tutti ne giustificano la differenza di spesa di 4 volte superiore.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RO3NP88JF2AEV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,HENRY ALESSANDRO OLIVERIO,"4,0 su 5 stelle",Recensito in Italia il 17 agosto 2025,"REALME 12 PRO PLUS è un telefono ben ottimizzato, vocato alla fotografia ( non ai video per i quali è ok ma non brilla). Ottima ergonomia, e prestazioni più che soddisfacenti per l'uso quotidiano ma non per operazioni impegnative come giochi pesanti o editing video.
Attenzione a non tenerlo troppo al sole altrimenti lo schermo va in protezione e abbassa la luminosità che di picco non è particolarmente alta.
Per il prezzo offerto il realme 12 pro plus è stra consigliato a chi ama la fotografia, senza dover spendere un capitale..REALME sta facendo ottimi dispositivi ben assemblati, ottimizzati e con aggiornamenti costanti. Allo stato sto usando il Realme 13 pro plus ( non previsto in Italia ma che funziona benissimo anche qui) che rappresenta a mio personale giudizio la perfetta evoluIone del 12 soprattutto in ambito foto. C'è anche il 14 pro plus che se non migliora a mio avviso sulle fotocamere, pesa un poco di più ed è leggermente più grande ma aggiunge un processore più performante e una resistenza ad acqua e polvere maggiore.
"
