Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/R1XTPIMY76L1NJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Tarjetta,"5,0 su 5 stelle",Recensito in Italia il 13 maggio 2026,"Se cercate uno smartphone che non sembri un ""padellone"" ma che abbia la potenza di un vero top di gamma, lo Xiaomi 15 è la risposta definitiva. Dopo qualche giorno di utilizzo, sono rimasto letteralmente sbalordito.

Ecco perché lo consiglio a occhi chiusi:

Feeling e Materiali: La prima cosa che colpisce è il tatto. I materiali sono premium e la costruzione è solida; la colorazione Verde è elegante e originale. Si sente subito che tra le mani si ha un oggetto di lusso.

Dimensioni ""Human-Sized"": Finalmente un telefono potente che entra comodamente in tasca! L'ergonomia è fantastica, si usa perfettamente con una mano senza rinunciare a un display di altissima qualità.

Fotocamera Leica Summilux: Le lenti Leica fanno un lavoro mostruoso. Le foto hanno una gestione delle luci e dei colori che definirei ""artistica"". La nitidezza è impressionante in ogni condizione, sembra quasi di scattare con una macchina professionale.

Batteria e Performance: Nonostante le dimensioni compatte, la batteria mi accompagna a sera senza problemi. I 12GB di RAM lo rendono una scheggia: mai un rallentamento, fluido in ogni operazione.

In breve: È lo smartphone totale. Compatto, stiloso e con una fotocamera che fa sognare. Xiaomi quest'anno ha davvero fatto centro!
"
https://www.amazon.it/portal/customer-reviews/srp/-/RYCPEEINZAQ6I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Damian Wayne,"5,0 su 5 stelle",Recensito in Italia il 19 marzo 2025,"Xiaomi eccezionale!!!
Uno smartphone spettacolare... dimensioni compatte, display 120hz LTPO luminosissimo, una durata della batteria solidissima...mai un lag mai un impuntamento con lo snapdragon 8 Elite e per finire delle foto spettacolari e video in 4k Dolby vision.
Aggiungo che con sconti vari si porta a casa con 700€ scarsi..con Watch S4 in omaggio!. Sinceramente dovessi descrivere un difetto non saprei cosa dire....
Forse il software di Xiaomi che può piacere oppure no ma li è una questione soggettiva.
Io lo trovo leggero ultra personalizzabile e privo di bug...
Per me stra consigliato a chi vuole un vero top di gamma dalle dimensioni perfette senza rinunce.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1OKL41XY65J3X/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Alessandro,"3,0 su 5 stelle",Recensito in Italia il 29 marzo 2025,"Questo telefono, con un software fatto bene, sarebbe imbattibile. L'hardware c'è quasi tutto, davvero top, ma se non usato correttamente diventa inutile e dannoso.
I problemi sono davvero tanti, io ho provato ben 3 Xiaomi 15 differenti e tutti avevano difetti simili, ma anche diversi. Il dispositivo è pieno di bag e di difetti di incompatibilità delle applicazioni.
Parto con ordine sui vari piani.
Fotocamera: suono scatto non disattivabile; lente principale ha bisogno di avere una correzione sull'esposizione (da ridurre, foto terribili altrimenti), mancanza di fuoco in porzioni ampie (non riesce a mettere a fuoco tutto quello che inquadri) e in piccoli punti ravvicinati nei paesaggi con dettagli scadenti su zone più ampie; stabilizzatore non presente sul grandangolo e quindi, in generale, poco stabile anche sulle altre lenti. Effetto vignetta, terribile, con la modalità authentic.
Schermata home e impostazioni: doppio tocco inesistente; chiusura delle applicazioni parziale (rimane sempre un'app aperta se lo fai dalla stessa); gesture per aprire le notifiche poco funzionante (per i toggle funziona); notifiche che non si aprono sempre (servono più tentativi); impossibilità di scegliere la griglia home (o troppo grande o troppo piccola).
Compatibilità delle applicazioni (bag persistenti): su tutte le app rimane lo sfondo bianco nella barra delle gesture con la modalità notte (fastidiosa); Su Instagram c'è un effetto sbagliato nella chiusura dm e soprattutto gli audio non hanno il grafico del suono; su Chrome la tastiera si bagga con la stringa di ricerca nella prima schermata.
Always on display: poco efficace con le notifiche e frequentemente baggato.
Lag: spesso in molte applicazioni, ma non sempre.
Volume; non sempre di abbassa quando lo clicco i tasti, ma ha bisogno della pressione dello stesso più volte (non sempre).
Batteria: mancata possibilità di visionare le ore di display acceso; durata molto ridotta per la capacità nominale (5/6h massimo di display). La batteria è gestita male, scalda tanto con l'uso di fotocamera o GPS e il consumo con tali applicazioni, o anche con giochi non pesanti, è esponenziale. La gestione del software per la batteria è penosa (s23 ultra con meno capacità mi faceva dopo 2 anni 2/3 ore di display in più), potrebbe fare nettamente di più. La gestione intelligente della batteria non funziona. Alcune volte la mattina, prima di staccarlo, la batteria è al 98%... Da lì la durata è anche più ridotta nel complessivo.
App di sistema: alcune piene di pubblicità (su molte disattivabili, su alcune no) e di bag.
App gestione giochi: serve a poco e non ha una applicazione fatta bene. Pubblicità non rimovibile. Musica mal gestita con la schermata di blocco (non ci sono gesture per andare avanti)
Vibrazione: zanzarosa e gestita male su molte applicazioni di terze parti.
Peso: superiore di 7/8 grammi a quello indicato, quindi circa 197/198g (con la pellicola).
Software poco personalizzabile: assomiglia ad Apple non sono nel design, ma anche nella mancanza di personalizzazione (non puoi fare quasi niente)...

Note positive: animazioni ben fatte, bellissimo display, ottime dimensioni, bel design (non tanto i colori, ma opinabile); ottima lente zoom; velocità bomba delle memorie (non sempre del dispositivo, relativamente al processore). Presenza dell'infrarossi (app di sistema compatibile con pochi dispositivi...). AI buona.

Se siete disposti ad accettare questi problemi (probabilmente solo pochi verranno risolti) fate pure. Io l'avevo preso per le dimensioni, per le fotocamere e per molte chicche che ci sono. Però il resto mi sta facendo pensare se ridarlo indietro, perché sono cose che probabilmente non cambieranno...
Prezzo: un po' altino, anche scontato
*PS assistenza non bene
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2FGKJ586PJIJ4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,M.M.,"5,0 su 5 stelle",Recensito in Italia il 2 novembre 2025,"Comprato pochi giorni fa e per ora sono più che soddisfatto. Velocissimo, più che fluido, foto bellissime. Non troppo leggero ma compatto e con ottimi materiali. Ho deciso di non usare cover per non rovinare bellezza e usabilità. Per ora nessun problema col software, solo con l'animazione dell'impronta digitale. Tolta l'animazione funziona benissimo. Pagato 650 euro in offerta. Soddisfattissimo. Consigliato.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3F2A83ETGVJSY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Giovanni Gaeta,"4,0 su 5 stelle",Recensito in Italia il 8 luglio 2026,"Un vero top di gamma compatto al giusto prezzo. Lo smartphone va una bomba, mai un lag. Secondo me l'unico problema è il software con una Hyper OS che deve piacere e che scimmiotta troppo iOS. Quello che non riesco a farmi andare giù è la tendina delle notifiche divisa. Gli aggiornamenti arrivano anche se un po' in ritardo e la batteria dura più di un giorno con utilizzo intenso. In questi giorni di caldo esterno diventa molto caldo ma penso sia normale
"
https://www.amazon.it/portal/customer-reviews/srp/-/R7KEQERYPM52Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Gabriele Boccuzzi,"5,0 su 5 stelle",Recensito in Italia il 10 maggio 2025,"5 stelle che riguardano la consegna di Amazon sempre al Top.
Xiaomi 15 è stata una piacevole scelta. Lo avevo preso come secondo telefono. Dopo una settimana ho sostituito il mio iPhone 15 pro con questo smartphone che risulta essere veloce, stabile, ottima velocità di connessione e batteria duratura.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R369QZ5IF446UE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Infotech di Bianco Lorenzo,"5,0 su 5 stelle",Recensito in Italia il 2 aprile 2025,"Uno smartphone così veloce, affidabile, non l'avevo mai avuto. Veramente consigliato.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1NTEDTCC8UTG9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,ale,"3,0 su 5 stelle",Recensito in Italia il 15 aprile 2025,"Lo smartphone è un prodotto, a mio giudizio, eccellente: compatto, velocissimo, la batteria è davvero importante (con un uso normale, mi dura due giorni). L'ho preso per sostituire un Huawei P30 Pro che dopo cinque anni era come nuovo, ma con una connettività ormai insufficiente e una lentezza causata da app sempre più pesanti e soprattutto aggiornamenti che da due anni non arrivavano più, ma con un comparto fotografico che non aveva nulla da invidiare a quello di Xiaomi 15. Trovo triste, tuttavia, che nella scatola di un telefono così costoso non venga inserito un caricabatterie. Questa cosa è segnalata nella descrizione prodotto, quindi non è stata una sorpresa, ma lo trovo triste lo stesso.
Quello che, invece, mi ha fatto davvero arrabbiare è stata la gestione della consegna da parte di Amazon. Non era possibile farlo arrivare a un locker perché considerato ""articolo di alto valore"" e quindi l'unica opzione era farlo consegnare a un indirizzo fisico. Avrebbero dovuto mandarmi una password da comunicare al corriere per la consegna, che avrebbe dovuto quindi avvenire esclusivamente in presenza.
Non è andata così. Ho dovuto organizzarmi (con evidenti disagi, essendo noi gente che lavora) perché ci fosse sempre una persona in casa, ma la password ha fatto come Godot, non è arrivata. Il corriere non ha nemmeno suonato il campanello, ha gettato il pacco oltre il cancello condominiale e si è dileguato. Un telefono da mille euro lasciato lì, alla mercé di chiunque. Per fortuna un vicino di casa (onesto!) è rientrato poco dopo e, leggendo il mio nome sull'etichetta, l'ha portato a casa mia. Una cosa vergognosa, che vanifica il lavoro prezioso di tante persone che ogni giorno, in Amazon, lavorano duro per garantire al cliente la massima soddisfazione.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RLMP28KJ28U2N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,lucio,"3,0 su 5 stelle",Recensito in Italia il 29 luglio 2025,"Mi aspettavo di meglio, la batteria mi fa circa 4 ore di schermo, avevo un Motorola Edge 50 neo che arrivava anche a 5 ore e di più, con la batteria più piccola, scalda anche parecchio mentre si ricarica , e poi lo trovo troppo ingarbugliato di opzioni, non tanto semplice ed intuitivo , non mi ha soddisfatto.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RVA037QGND7LF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Giovanni Z.,"4,0 su 5 stelle",Recensito in Italia il 29 marzo 2025,"Ottimo device. Qualche novita rispetto al mi14, ha funzioni aggiuntive, batteria maggiore. Se si è già in possesso del 14 non vale ancora la pena sostituirlo con il 15.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2SCBUAELGESIC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Oleg,"3,0 su 5 stelle",Recensito in Italia il 10 agosto 2025,"Acquistato come regalo... Mi dispiace che non funzioni bene batteria..
"
https://www.amazon.it/portal/customer-reviews/srp/-/RLWU065ZWHM6P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Ilenia,"2,0 su 5 stelle",Recensito in Italia il 20 luglio 2025,"Ho dovuto aspettare il concerto per sapere effettivamente la qualità che avesse nel comparto camere.
Abbastanza deludente come potete vedere dagli allegati.
Ci sono rimasta malissimo.
A saperlo prendevo qualcosa che costasse meno, e lo sto strapagando...
Tra l'altro sotto stress inizia a rallentare (cosa che neanche il mio vecchio redminote faceva)
"
https://www.amazon.it/portal/customer-reviews/srp/-/R322FRWMH4LRVO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Graziano,"5,0 su 5 stelle",Recensito in Italia il 10 luglio 2025,"Buono ma un po' difficile
"
