Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/RPN8CPCYVH7YR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Flavio Marzocchi,"5,0 su 5 stelle",Recensito in Italia il 12 settembre 2025,"Ottimo telefono, Display veramente bello, funzionamento molto fluido grazie anche ai suoi 8gb di Ram
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1WCD9HOQCJ191/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Gianluigi,"1,0 su 5 stelle",Recensito in Italia il 7 agosto 2025,"Acquistato il 23 luglio 2025 oggi 11 giugno 2026 si è improvvisamente spento mentre aprivo il browser Chrome e non si è più acceso neanche dopo 6 ore di carica continua...nessun segno di vita o reazione ai pulsanti.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1D38C86CC2LAM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Massimiliano,"5,0 su 5 stelle",Recensito in Italia il 29 ottobre 2025,"Ottimo
"
https://www.amazon.it/portal/customer-reviews/srp/-/RVLUZV77QM5SE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Domenico Daniele Laganà,"4,0 su 5 stelle",Recensito in Italia il 8 agosto 2024,"Ottimo prodotto, soprattutto lodi al fornitore, prodotto fornito con tutte le accortezze, confezione del prodotto, una dei migliori, sono anni che ho cellulari Samsung e non sono mai stato deluso, penso che anche in questo acquisto sarò nel tempo ricompensato di aver dato fiducia ad Amazon e al fornitore che ripeto è uno dei migliori su Amazon, che dire.....godiamoci questo viaggio....
"
https://www.amazon.it/portal/customer-reviews/srp/-/R34LE3FGKYLJDY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,NELLO FIRENZE,"5,0 su 5 stelle",Recensito in Italia il 5 ottobre 2024,"lo uso per le funzioni base, mail, WhatsApp, meteo, banca, foto. Tutto funziona benissimo e non ho bisogno di un cellulare con più funzioni e più costoso almeno per le mie esigenze.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3DWUHU446MZRQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,SEGATTINI MICHELE,"5,0 su 5 stelle",Recensito in Italia il 11 maggio 2025,"Ottimo PRODOTO e prezzo e stupendo
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3OJDG5UCRMG16/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Pietro,"1,0 su 5 stelle",Recensito in Italia il 2 settembre 2025,"Dopo qualche mese hanno smesso di andare sia la telecamera posteriore che quella anteriore, quella posteriore non si apre piu completamente e quell anteriore è piena di righe.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1254KSHV586Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Francesco Romani,"5,0 su 5 stelle",Recensito in Italia il 5 gennaio 2025,"Il telefono è arrivato con molto anticipo. L'ho accesso e sembra che funzioni tutto perfettamente. Arrivato con circa 50% di batteria (cosa tipica di tutti i telefoni). Consiglio acquisto.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3B4ULSZ9C2DHL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Juventus ‘74,"5,0 su 5 stelle",Recensito in Italia il 18 dicembre 2024,"Ottimo acquisto, ottimo venditore.
"
,mickael,"4,0 su 5 stelle",Recensito in Francia il 19 giugno 2025,"Smartphone qui chauffe très fort (bouillant très régulièrement). Cependant, il fait le job.
"
