Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/RY2YP88LFMF5V/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Sandro,"5,0 su 5 stelle",Recensito in Italia il 7 giugno 2025,"Il Samsung Galaxy S24 è la perfetta dimostrazione di come tecnologia e design possano fondersi in un prodotto compatto, potente e straordinariamente intelligente. Già al primo sguardo si nota l’eccellente qualità costruttiva: il corpo in alluminio Armor e il vetro Corning Gorilla Glass proteggono il dispositivo senza appesantirlo, conferendo un look moderno, pulito e premium. Il design è elegante, essenziale, e la sensazione in mano è quella di un prodotto solido e ben rifinito.

Sotto la scocca, il Galaxy S24 è una vera macchina da prestazioni. Grazie al nuovo processore potenziato con funzionalità AI, ogni operazione è fluida e reattiva: dall’apertura delle app più pesanti, alla navigazione multitasking, fino all’editing in tempo reale. L’integrazione dell’intelligenza artificiale migliora sensibilmente l’esperienza utente, ottimizzando le risorse e anticipando le esigenze con suggerimenti intelligenti, traduzioni in tempo reale e strumenti innovativi come Circle to Search.

Il comparto fotografico è semplicemente eccezionale. La fotocamera principale da 50 MP, supportata da algoritmi AI, cattura immagini nitide, dettagliate e ben bilanciate in qualsiasi condizione di luce. La modalità notturna è tra le migliori della categoria: foto luminose e pulite anche al buio. Il comparto zoom e grandangolo aggiunge versatilità, mentre la stabilizzazione video è sorprendentemente efficace. Ogni scatto risulta pronto per essere condiviso, con un livello di definizione che soddisfa anche gli utenti più esigenti.

In sintesi, il Samsung Galaxy S24 è uno smartphone che convince su tutta la linea: costruzione premium, velocità impressionante e fotocamera ai vertici della categoria, arricchiti da una suite AI che rende l’esperienza d’uso più potente e personale. Un vero top di gamma ad un buon prezzo, compatto e che guarda al futuro senza compromessi.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3TESQOIS6F9PH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Andrea,"5,0 su 5 stelle",Recensito in Italia il 31 ottobre 2024,"Prefazione: volevo comprare il modello precedente, il Galaxy S23, ma un’ottima offerta su Amazon ha fatto sì che il prezzo dell’S24 fosse lo stesso per il taglio da 256 GB. Essendo un modello più recente e con 7 anni di aggiornamenti, ho deciso di prendere quest’ultimo.

Ora, scelgo i miei cellulari con molta, molta cura: sono dispositivi che resteranno con me per molti anni.

Ad eccezione di due smartphone che mi sono stati rubati, tutti i miei cellulari sono sempre rimasti perfettamente funzionanti fino a quando, non ricevendo aggiornamenti di sicurezza da troppo tempo, non ero più a mio agio a utilizzarli.

Sette anni di aggiornamenti garantiti sono qualcosa di molto raro, soprattutto nel panorama Android.

Dopo aver guardato tantissime recensioni, ero TERRORIZZATO dal fatto che in Europa questo cellulare avesse un processore Exynos invece di un processore Snapdragon. La reputazione dei processori di Samsung non è stellare: storicamente hanno sempre offerto prestazioni più basse, peggior ricezione e consumi più alti rispetto alla controparte.

Il pensiero di spendere una cifra importante per poi avere problemi non mi entusiasmava, ma mi era anche chiaro che molti dei commenti che leggevo erano pregiudizi e non osservazioni fatte da possessori del dispositivo.

Ho ordinato il cellulare con l’idea che avrei fatto il reso in caso di problemi, ma per farla breve: non farò il reso e sono felicissimo del mio acquisto!

In breve, le impressioni della prima settimana:

IL BELLO

• Il cellulare è velocissimo e reattivo, al livello di un iPhone 15 Pro.
• Lo stesso vale per la qualità dello schermo.
• I microfoni sono davvero ottimi.
• La fotocamera è di alto livello; non è il top per un professionista che vuole registrare video in condizioni di bassa luminosità, ma per un uso semi-professionale o casuale offre grandi soddisfazioni.
• Il Wi-Fi è velocissimo e sono rimasto impressionato dal range: prende meglio del mio Mac, del mio iPad e del mio vecchio Xiaomi.
• Il modem sembra più che decente; anche in campagna, dove i cellulari prendono poco, ho comunque ricezione e 4G. Non posso confrontarlo con la controparte Snapdragon, che magari fa meglio, ma rispetto a iPhone o Xiaomi Redmi Note il segnale è ugualmente buono.
• Batteria: è presto per dirlo, ma per il momento arrivo a sera senza problemi. Uso molto la fotocamera e il browser, ma non gioco.

Sto imparando le funzionalità AI: carine, ma non so quante ne userò davvero nel lungo periodo.

Samsung DeX è impressionante: basta un qualsiasi schermo esterno per avere un computer in mobilità in un telefono compatto. Ci sono dei compromessi, certo, ma sono contento di avere questa funzionalità.

L’interfaccia di Samsung, devo ammettere, è molto più curata e raffinata rispetto a quella di Xiaomi o Motorola: c’è cura nei dettagli, tante piccole funzionalità in più, e continuo a scoprirne altre.

Il sistema operativo è molto stabile: mai un rallentamento o un crash.

E' un telefono compatto, comodo da tenere in mano ed in tasca.

IL BRUTTO

Non mi trovo benissimo con lo sblocco tramite impronta: la porzione di schermo che legge l’impronta è piccola, e diverse volte durante la giornata devo fare un paio di tentativi per sbloccarlo. Forse avere il lettore su un pulsante laterale sarebbe stato meglio.

Una funzionalità che usavo molto con Xiaomi era la possibilità di duplicare le applicazioni; anche qui si può fare, ma è meno immediato (devo usare “Secure Folder”).

Avrei voluto una opzione con 12 GB di RAM; al momento 8 vanno benissimo, ma tra qualche anno potrebbero essere limitanti. Un peccato, considerando che, con il supporto software di questo modello, questo è un cellulare che si può tenere per molto tempo.

Conclusione: darei un voto di 9.8/10, ma aggiornerò la recensione dopo qualche mese di utilizzo.

Al momento posso dire che, se trovate questo cellulare (256 GB di memoria, non prendete il 128 che ha memorie molto più lente) sotto i 700 euro, penso sia un ottimo affare – forse il miglior compatto Android che si possa prendere nel 2024.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2J6LRCA7HJXJI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Gabriel  ,"5,0 su 5 stelle",Recensito in Italia il 7 maggio 2024,"Il Samsung Galaxy S24 è una vera gemma di ingegneria e design, rappresentante il culmine dell'innovazione nel campo degli smartphone. Da quando ho messo le mani su questo dispositivo, sono rimasto sbalordito dalle sue caratteristiche eccezionali e dalle prestazioni straordinarie.

Il display FHD+ Dynamic AMOLED 2X da 6.2 pollici offre una qualità visiva mozzafiato, con colori vividi, contrasti profondi e neri intensi che rendono ogni contenuto visivo un'esperienza coinvolgente. La fluidità del display è senza pari, grazie al refresh rate elevato e alla risposta immediata al tocco, che rendono la navigazione e lo scrolling un piacere.

La fotocamera da 50MP è un vero gioiello, catturando dettagli incredibili e colori vividi in ogni scatto. Le funzionalità di intelligenza artificiale integrata migliorano ulteriormente la qualità delle immagini, regalandoti scatti nitidi e ben bilanciati in qualsiasi condizione di illuminazione. La capacità di registrare video in 8K è un altro punto forte, permettendoti di catturare i momenti più preziosi con una qualità cinematografica.

La potenza del Galaxy S24 è sorprendente, grazie alla combinazione di 8GB di RAM e 128GB di memoria interna. L'esperienza di utilizzo è fluida e reattiva, anche con multiple app aperte contemporaneamente. Non ho mai sperimentato rallentamenti o blocchi, nemmeno durante le attività più intense.

La batteria da 4.000 mAh assicura una durata eccezionale, consentendomi di utilizzare il telefono per l'intera giornata senza preoccuparmi di rimanere senza carica. Inoltre, il caricatore incluso supporta la ricarica rapida, riportando il telefono al 100% in un batter d'occhio.

Il design elegante e raffinato del Galaxy S24, in finitura Onyx Black, lo rende un vero e proprio gioiello da mostrare con orgoglio. La cura dei dettagli e la qualità dei materiali sono evidenti al primo sguardo, confermando la reputazione di Samsung per l'eccellenza nel design.

In conclusione, il Samsung Galaxy S24 è un vero capolavoro tecnologico che supera ogni aspettativa. Con un display eccezionale, una fotocamera incredibile, prestazioni potenti e un design elegante, è il compagno perfetto per coloro che cercano l'eccellenza in uno smartphone.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1WL5Q2BDH04KJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Romualdo M.,"5,0 su 5 stelle",Recensito in Italia il 9 giugno 2026,"Ho acquistato questo prodotto e nel complesso sono molto soddisfatto. Il dispositivo è arrivato nei tempi previsti , anzi con un giorno di anticipo, la configurazione iniziale è stata semplice e abbastanza veloce. Durante il trasferimento dati e la prima configurazione ho riscontrato un po’ di surriscaldamento, cosa comunque abbastanza normale nelle fasi iniziali di setup con backup e download di molti dati.
Dopo questa fase iniziale, il telefono si è stabilizzato e le temperature sono tornate nella norma durante l’uso quotidiano. Le prestazioni sono ottime, fluide e senza rallentamenti.
Nel complesso lo considero un ottimo acquisto, soprattutto per qualità e funzionalità, con solo questo piccolo aspetto iniziale da tenere presente.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RB2RAVFKSCWHA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Francesco,"4,0 su 5 stelle",Recensito in Italia il 7 aprile 2025,"Il Samsung Galaxy S24 è il penultimo modello della celebre serie Galaxy S, presentato all’inizio del 2024. Si colloca nella fascia alta del mercato, ma con un prezzo leggermente più accessibile rispetto ai modelli Ultra. È rivolto a chi cerca prestazioni top, un’esperienza fluida e un design raffinato, senza necessariamente volere tutte le funzionalità premium del fratello maggiore, l’S24 Ultra.

✅ Punti di Forza
1. Design e Costruzione
Materiali premium: Il Galaxy S24 è realizzato con un frame in alluminio Armor e vetro Gorilla Glass Victus 2 sul fronte e sul retro. È resistente e piacevole al tatto.

Compatto e leggero: Con uno schermo da 6.2"", il telefono è maneggevole, cosa rara nel mercato attuale dominato da telefoni grandi.

Certificazione IP68: Resistente a polvere e acqua fino a 1,5 metri per 30 minuti.

2. Display
Dynamic AMOLED 2X da 6.2"", risoluzione FHD+ (2340x1080) con refresh rate variabile fino a 120Hz.

Luminosità eccellente: Fino a 2600 nits, visibile perfettamente anche sotto il sole.

Colori vividi e contrasti profondi, ottimo per contenuti multimediali.

3. Prestazioni
Processore: Exynos 2400 (Europa) o Snapdragon 8 Gen 3 (USA e altri mercati).

Entrambe le versioni offrono prestazioni elevate, con una leggera preferenza per il modello Snapdragon in termini di efficienza energetica e grafica.

RAM e Storage: 8 GB di RAM LPDDR5X e storage UFS 4.0 da 128/256 GB.

4. Fotocamere
Tripla fotocamera posteriore:

50 MP principale con OIS

12 MP ultra-grandangolo

10 MP teleobiettivo 3x

Foto di altissimo livello, soprattutto in condizioni di luce buona e media.

Modalità notturna migliorata, con ottimo bilanciamento del rumore e dettagli.

Selfie cam da 12 MP: nitida, rapida, ottima anche per videochiamate.

5. Software e AI
One UI 6.1 con Android 14: fluido, personalizzabile, pieno di funzionalità utili.

Galaxy AI: Traduzione live, assistenza nella scrittura, modifica intelligente delle immagini. Non rivoluzionaria, ma aggiunge valore.

7 anni di aggiornamenti software garantiti, un punto fortissimo rispetto alla concorrenza.

6. Autonomia e Ricarica
Batteria da 4000 mAh: migliorie sull’efficienza rendono l’autonomia sorprendentemente buona per la capacità.

Ricarica rapida a 25W, wireless e inversa supportata.

❌ Difetti e Compromessi
1. Batteria limitata per gli utenti intensivi
Anche se l’efficienza è migliorata, 4000 mAh possono non bastare per chi usa tanto gaming, fotocamera o navigazione GPS.

2. Ricarica non al passo con la concorrenza
25W è lento rispetto ai 67W, 80W o 120W di brand come Xiaomi, OnePlus o Realme.

3. Assenza di alcune funzioni dell’Ultra
Niente fotocamera periscopica o zoom ottico 10x.

4. Niente pennino S-Pen.

5. Display più piccolo e meno definito (se confrontato con l’S24 Ultra).

6. Differenze tra versioni regionali
L’uso dell’Exynos 2400 in Europa può essere visto come un difetto, dato che molti preferiscono la versione Snapdragon (prestazioni e consumo leggermente migliori).

📊 Conclusione: Vale la pena acquistarlo?
Il Samsung Galaxy S24 è un telefono potente, elegante e ben bilanciato, ideale per chi cerca prestazioni top in un formato compatto. Offre grande qualità costruttiva, un ottimo display e funzionalità software avanzate, specialmente con Galaxy AI e il lungo supporto software.

Tuttavia, ci sono alcuni compromessi da considerare, soprattutto lato batteria e ricarica, oltre all’assenza delle funzioni ultra-premium presenti solo nell’S24 Ultra.

🔍 Voto finale: 8.8/10
+ Ottimo display, software e design compatto

+ Prestazioni di alto livello

– Batteria e ricarica solo nella media

– Prezzo alto e Exynos divisivo
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1UOGEYJRKMZL5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Daniela,"5,0 su 5 stelle",Recensito in Italia il 15 luglio 2026,"Samsung è sempre una garanzia, bei colori e bella è l'estetica, pecca un po' sulla batteria ma non mi lamento se si usa tanto ovviamente dura un giorno. È arrivato compreso solo di adattatore tutto come da descrizione
"
https://www.amazon.it/portal/customer-reviews/srp/-/R15TWK7XFBJ7C0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Frost❄️,"5,0 su 5 stelle",Recensito in Italia il 13 luglio 2024,"Il SAMSUNG Galaxy S24 è un potente smartphone dotato delle ultime tecnologie Samsung, progettato per offrire prestazioni elevate e un'esperienza utente eccezionale. La versione italiana di questo dispositivo include il caricatore e presenta specifiche tecniche di alto livello.

Caratteristiche principali:

Display: Schermo da 6.2'' FHD+ Dynamic AMOLED 2X, che offre una qualità visiva eccezionale con colori vividi e neri profondi, ideale per guardare video, giocare e navigare sul web.
Fotocamera: Fotocamera principale da 50MP, che permette di scattare foto nitide e dettagliate anche in condizioni di scarsa illuminazione. La qualità delle immagini è ulteriormente migliorata dall'intelligenza artificiale integrata.
Memoria: 8GB di RAM garantiscono una performance fluida e reattiva, mentre i 128GB di memoria interna offrono ampio spazio per applicazioni, foto, video e documenti.
Batteria: Batteria da 4.000 mAh che assicura una lunga durata, permettendo di utilizzare lo smartphone per l'intera giornata senza necessità di ricariche frequenti.
AI Integrata: Intelligenza artificiale avanzata per ottimizzare le prestazioni del dispositivo, migliorare l'efficienza energetica e offrire funzionalità avanzate come il riconoscimento facciale e vocale, oltre al ritocco foto e cerchia e cerca con google.
Connettività: Supporto per le ultime tecnologie di connettività, inclusi 5G, Wi-Fi 6 e Bluetooth 5.2, per una connessione internet veloce e stabile e un'interazione fluida con altri dispositivi.
Specifiche tecniche:

Display: 6.2'' FHD+ Dynamic AMOLED 2X
Risoluzione: 1080 x 2400 pixel
Fotocamera principale: 50MP
RAM: 8GB
Memoria interna: 128GB
Batteria: 4.000 mAh
Sistema operativo: Android 13 con interfaccia One UI
Colore: Onyx Black
Connettività: 5G, Wi-Fi 6, Bluetooth 5.2, USB Type-C
Dimensioni: 146 x 70.6 x 7.6 mm
Peso: 167 g
Accessori inclusi:

Caricatore
Cavo USB Type-C
Strumento di espulsione SIM
Manuale utente

Conclusione:
Il SAMSUNG Galaxy S24 è uno smartphone all'avanguardia, ideale per chi cerca un dispositivo potente e versatile. Con il suo display di alta qualità, la fotocamera avanzata e la robusta batteria, offre un'esperienza utente eccezionale. La versione italiana include tutti gli accessori necessari, rendendolo pronto all'uso appena fuori dalla scatola.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RAPC0UWVU6F9A/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Siux,"1,0 su 5 stelle",Recensito in Italia il 31 agosto 2026,"stavolta Amazon ha toppato, ovvero ci sono colpe del venditore non amazon in quanto il prodotto non è conforme alla descrizione sito ""usato ottime condizioni"", manca caricabatterie, manca cavo, manca leva sim, segni di usura evidenti e schermo con graffio di 5 cm; Ma sopratutto mi stupisce l'assistenza amazon: chiedo la richiamata e dopo aver selezionato 2 (assistenza) cade la linea, la chat è inutile: rimanda a risposte automatiche senza nessuna utilità, sono veramente stupito e deluso!
"
https://www.amazon.it/portal/customer-reviews/srp/-/R36VSYSNENH1I8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Lorenzo 18,"5,0 su 5 stelle",Recensito in Italia il 29 agosto 2026,"Tutto bene! Consiglio
"
https://www.amazon.it/portal/customer-reviews/srp/-/R15DECVUW1K0PQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Ivano,"5,0 su 5 stelle",Recensito in Italia il 27 agosto 2026,"Ottimo telefono,
"
