Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/R3BE2FANWAAWJN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Gigi,"5,0 su 5 stelle",Recensito in Italia il 17 gennaio 2025,"Mi è capitato di avere un paio di Huawei nell'ormai 2015 e da allora sempre e solo Xiaomi. Ho un bel ricordo di Huawei.
Quest'anno ho avuto il desiderio di cambiare e dare speranza a questa ""derivazione"" di Huawei, cioè Honor.

Oggi le confezioni sono tutte minimal, data la mancanza del caricatore, ma honor lo è di più in quanto manca anche una Cover in dotazione. È presente solo la graffetta SIM e un cavo dati usb-c/usb-c che supporta la ricarica 100W.

Lo smartphone è assolutamente premium nei materiali e nell'esperienza d'uso. Venduto come medio gamma non ha nulla da invidiare ai top di gamma. Il suo bianco perlato, con effetto alla luce è ipnotico.

La fotocamera è il suo punto forte. Gli scatti sono sempre tutti belli!
La modalità ritratto stravolge il mondo della fotografia ed elabora immagini straordinarie.
Complice della qualità anche il teleobiettivo 2.5X.

Divertente anche la capsula magica (dynamic island) che riporta in alto l'azione in corso che sia una musica, registrazione, timer...

La ricezione è miracolosa, con Xiaomi avevo spesso problemi.

Il display è molto bello, quad curvo e immersivo. La cosa che lo separa da un top è non avere un display LTPO con refresh rate variabile 1-120hz, ma ha semplicemente la doppia opzione 60hz o 120hz.

L'audio è davvero pulito e potente.

Non dimentichiamo anche la memoria di archiviazione 12/512Gb. Incredibile.

Insomma sono davvero soddisfatto. Lo consiglio, sulla fascia di prezzo 400-450 credo sia un affare non c'è di meglio
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3FDEQELLHSFTD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,DarthMoony,"5,0 su 5 stelle",Recensito in Italia il 10 gennaio 2025,"È un ottimo telefono e vale i soldi che spendi, unica pecca è stata la spedizione, la prima volta dopo 2 settimane che chiedevo all'assistenza che fine avesse fatto, e mi dicevano che c'era un ritardo, e alla fine l'avevano perso.
Mi sono dovuta far rimborsare per poter ripetere l'ordine, e sta volta finalmente è andato tutto liscio.
Tornando al telefono : ve lo consiglio, i maggiori dettagli tecnici e più importanti li ha trascritti un'altra recensione più sotto. E posso solo che dargli ragione.
Oneplus e gli Honor per me, sono i migliori rapporto qualità - prezzo che trovi sul mercato ad oggi, soprattutto gli ultimi modelli.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2J98L01Z8NH44/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Cliente Amazon,"5,0 su 5 stelle",Recensito in Italia il 4 gennaio 2025,"Smartphone di fascia media solo nel prezzo , display bellissimo con una luminosità eccellente, bello nelle finiture, comparto fotografico con tante funzioni, memoria da 512 che permette di non usare cloud, software ben fatto , molto belle le gestur stile Apple , batteria che dura, veramente un ottimo smartphone ad un prezzo accettabile. Male la consegna Amazon che da tempo non riesce più a rispettare i tempi di consegna , inaccettabile per un servizio che costa un abbonamento annuo certamente non economico.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RF9AB04EZWSZB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Sal,"5,0 su 5 stelle",Recensito in Italia il 28 aprile 2025,"Ho aspettato un po' per recensire questo telefono che trovo semplicemente un ottimo prodotto ho, display che si vede benissimo in qualunque condizione fotocamera top nessun lag e con magic os 9 tante implementazioni, ovviamente non è un top di gamma ma per il costo usato come nuovo e davvero il massimo, complimenti al venditore perché avevo acquistato il colore nero che non era disponibile in stock, mi ha annullato l ordine è ho preso quello bianco arrivato in 2 giorni, venditore beatrix20 in base alla mia esperienza consigliato
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2NA9Y9AUL445W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,FloRian,"5,0 su 5 stelle",Recensito in Italia il 16 luglio 2025,"ormai ce poco da dire, dopo 1 mese dal acquisto mi sto trovando bene lato foto, sistema operativo snello veloce, che dire un top di gamma a un prezzo ragionevole
"
https://www.amazon.it/portal/customer-reviews/srp/-/R310T35Y2G7LPQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,**LUCA**,"1,0 su 5 stelle",Recensito in Italia il 9 febbraio 2025,"Il prodotto e arrivato con la pellicola messa e senza spina del caricabatteria....inoltre la scatola del telefono senza pellicola di confezionamento e si vede che manca il sigillo della scatola...
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3N927HOX8QHPL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Regina,"5,0 su 5 stelle",Recensito in Italia il 9 maggio 2025,"Ottimo smartphone! è da circa un anno che lo volevo acquistare... e finalmente l'ho trovato ad un prezzo incredibile, un usato assolutamente come Nuovo! super soddisfatta
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3K9V14VK5GRIQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Alfredo,"1,0 su 5 stelle",Recensito in Italia il 8 aprile 2025,"Già giallo con le impronte delle dita
"
https://www.amazon.it/portal/customer-reviews/srp/-/R38IRR6XX1UBXJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,cris,"5,0 su 5 stelle",Recensito in Italia il 19 agosto 2025,"Ottimo smartphone
"
https://www.amazon.it/portal/customer-reviews/srp/-/R25R5EKNHJSYJJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Cliente Amazon,"5,0 su 5 stelle",Recensito in Italia il 23 dicembre 2024,"Aggiungi solo qualche considerazione, in quanto è stato detto tutto su Honor 200 Pro, prodotto eccellente per essere un medio gamma, Amazon d'altronde sempre precisa e con offerte prezzo fantastiche.
"
