Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/R3RL2HN0PDJE1H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Giuliano,"5,0 su 5 stelle",Recensito in Italia il 18 marzo 2026,"Come da descrizione.
Xiaomi Poco sempre più vicina ai vertici tra rapporto qualità prezzo.
Consegna prima della data prevista.
Consigliatissimo.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2OSR6D27AQOE8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Carmelo mallia milanes,"5,0 su 5 stelle",Recensito in Italia il 15 ottobre 2025,"Il telefono è perfetto ed è molto performante, nonostante abbia un software ormai obsoleto, manca ricarica wireless e la esim , oggi indispensabile. A breve credo che a malincuore lo venderò
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1H7VSAK4FVDUO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Roman,"4,0 su 5 stelle",Recensito in Italia il 15 gennaio 2026,"Ottimo cellulare
"
https://www.amazon.it/portal/customer-reviews/srp/-/R38XQFUJTL6W22/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Alessio Loretucci,"5,0 su 5 stelle",Recensito in Italia il 31 marzo 2025,"Regalo gradito, e devo dire che se non avessi già un buon cellulare lo avrei comprato anche per me stesso, ha tutto quello che si desidera da uno smartphone ed è molto veloce.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3F64P33PFGF2D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Gius,"5,0 su 5 stelle",Recensito in Italia il 8 marzo 2025,"Ottimo telefono,ben costruito,bella anche la cover inclusa. Il telefono è molto reattivo, nessun impuntamento, nessun lag,ottime foto,display molto bello, ottima visibilità al sole. Durata della batteria buona. Al momento sono molto soddisfatto.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1H0TYLB56SEFM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Giuseppe,"5,0 su 5 stelle",Recensito in Italia il 9 giugno 2025,"Veramente un best buy, ottimo in tutto. Lo consiglio vivamente.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R22XIOJE3YM1L3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Gianni,"3,0 su 5 stelle",Recensito in Italia il 3 ottobre 2024,"Telefono rudimentale ... funziona anche se con qualche lag ma si ha la sensazione che sia scadente.
I backup di un altro Xiaomi non risultano compatibili con questo modello. Aggiornamenti SW di sistema non recenti. Personalmente l'ho reso e ho preso un Samsung A55 del quale sono soddisfatto.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RCMAT2XUUOJ1H/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Roberta,"5,0 su 5 stelle",Recensito in Italia il 28 luglio 2025,"Spedizione veloce.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2UQB6P4QNEYAB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,marco,"4,0 su 5 stelle",Recensito in Italia il 4 novembre 2024,"È un ottimo smartphone con prestazioni solide, schermo brillante e buona durata della batteria. La fotocamera è decente per un uso quotidiano, anche se non eccelle in condizioni di poca luce. Nel complesso, un rapporto qualità-prezzo notevole, perfetto per chi vuole funzionalità avanzate spendendo modestamente
"
https://www.amazon.it/portal/customer-reviews/srp/-/RJ21MQ6OTG70Y/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Pierangelo,"5,0 su 5 stelle",Recensito in Italia il 14 marzo 2025,"Velocissimo super potente design eccellente
"
