Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/R3G4VO3GGN2C71/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Giuseppe,"5,0 su 5 stelle",Recensito in Italia il 1 giugno 2026,"Ho acquistato il Samsung Galaxy A55 5G nella versione 8GB RAM e 128GB di memoria e, dopo alcune settimane di utilizzo, posso dire di essere molto soddisfatto. Si tratta di uno smartphone equilibrato che offre molte caratteristiche tipiche di dispositivi di fascia superiore a un prezzo più accessibile.

Il design è uno dei primi aspetti che colpiscono: la finitura Awesome Navy è elegante e moderna, mentre la qualità costruttiva trasmette una sensazione premium grazie ai materiali ben rifiniti. Lo smartphone risulta solido in mano e piacevole da utilizzare.

Il display Super AMOLED è eccellente. I colori sono vivaci, i neri profondi e la luminosità permette una buona visibilità anche all'aperto. La fluidità generale del sistema rende l'esperienza d'uso molto piacevole sia durante la navigazione sia nell'utilizzo delle applicazioni quotidiane.

Ho apprezzato particolarmente l'autonomia della batteria, che consente di arrivare a fine giornata senza preoccupazioni anche con un utilizzo piuttosto intenso. Le prestazioni sono più che adeguate per social, streaming, navigazione web, fotografia e multitasking.

Anche il comparto fotografico si comporta bene, offrendo immagini dettagliate e colori naturali nella maggior parte delle condizioni di luce.

Punti di forza:

Display AMOLED luminoso e di ottima qualità.
Design elegante e materiali premium.
Prestazioni fluide nell'uso quotidiano.
Buona autonomia della batteria.
Fotocamere versatili e affidabili.
Supporto al 5G.
Dual SIM molto pratica.
Aggiornamenti software e sicurezza Samsung.

Se devo indicare qualche piccolo aspetto migliorabile, la ricarica potrebbe essere più veloce rispetto ad alcuni concorrenti della stessa fascia. Inoltre il caricabatterie non è incluso nella confezione, aspetto ormai comune ma che può risultare poco gradito a qualcuno.

Nel complesso il Galaxy A55 5G è uno smartphone molto riuscito, capace di offrire un'esperienza completa e affidabile sotto tutti i punti di vista. Una scelta consigliata per chi cerca qualità, autonomia e prestazioni senza spendere cifre da top di gamma.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2557OLWPMF7P8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,ReiWa,"5,0 su 5 stelle",Recensito in Italia il 5 marzo 2026,"Uso da un po’ il Samsung Galaxy A55 (ho avuto Windows phone, Huawei e Xiaomi) e devo dire che sono molto soddisfatto. È uno smartphone completo, affidabile e molto comodo nell’uso quotidiano. Tra le cose che apprezzo di più ci sono le funzioni intelligenti come la modalità alla guida e la modalità sonno, che aiutano a gestire notifiche e distrazioni in modo davvero efficace.
Molto utile anche la possibilità di espandere lo spazio di archiviazione con memoria esterna, una caratteristica che oggi non si trova su tutti gli smartphone e che fa la differenza per chi salva tante foto, video e file.
Dal punto di vista delle prestazioni, connessioni e gestione delle app, il telefono si comporta in modo eccellente: tutto è fluido, veloce e stabile anche con più app aperte. La fotocamera mi ha sorpreso positivamente, scatta foto nitide e ben bilanciate, sia di giorno che con poca luce.
In generale è un dispositivo completo, equilibrato e con un ottimo rapporto qualità-prezzo, consigliato a chi cerca un telefono affidabile per tutti gli usi.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R27LQAFHKFV6CP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,daniele,"5,0 su 5 stelle",Recensito in Italia il 23 settembre 2025,"Lo sto usando da qualche settimana e posso dire che *Samsung ha fatto centro* con questo modello.
✔️ *Design moderno e curato*, con materiali solidi e una buona ergonomia.
✔️ Lo *schermo Super AMOLED da 6.6""* è luminoso e reattivo, perfetto per video, social e gaming.
✔️ *Prestazioni fluide* con il nuovo chip Exynos: nessun rallentamento nelle app quotidiane.
✔️ *Fotocamera sorprendente* per la fascia: scatti nitidi e buoni anche con poca luce.
✔️ *Batteria affidabile*, dura tranquillamente tutta la giornata.
✔️ *Software One UI* completo e intuitivo.

📌 Unico piccolo neo: niente ricarica super-rapida come i top di gamma, ma comunque soddisfacente.

*➡️ In sintesi:*
Un telefono completo, elegante e potente per chi cerca il meglio nella fascia media.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2RYX2NFVRBRR7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Noah Valenti,"4,0 su 5 stelle",Recensito in Italia il 12 aprile 2026,"Ho acquistato questo smartphone un anno fa e nel complesso mi ritengo soddisfatto, anche se non è perfetto.
👍 Cosa mi è piaciuto
Il display è davvero uno dei punti forti: lo schermo Super AMOLED da 6,6"" è luminoso, fluido (120Hz) e perfetto per video e social.
Anche la batteria da 5000 mAh dura tranquillamente tutta la giornata, anche con uso abbastanza intenso.
Buona anche la qualità costruttiva: materiali solidi (vetro e metallo) e certificazione IP67 che dà un po’ di tranquillità contro acqua e polvere. �
Samsung
Le foto sono buone di giorno, con colori realistici e buon dettaglio, più che sufficienti per uso quotidiano e social.
👎 Cosa non mi ha convinto
Le prestazioni sono buone ma non da top di gamma: ogni tanto si nota qualche piccolo rallentamento con app pesanti o multitasking.
La fotocamera di notte è discreta ma non eccelle, soprattutto rispetto a modelli più costosi.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R10PX0YHMK62/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Massimo ,"5,0 su 5 stelle",Recensito in Italia il 28 febbraio 2025,"L'acquisto è stato fatto con piena consapevolezza, il dispositivo in questione lo avevo già visto provato e studiato in precedenza. Dal punto di vista estetico Samsung a mio parere ha realizzato veramente un bel dispositivo curato nel dettaglio, ottimi materiali utilizzati. Come peso non è certamente uno dei più leggeri 213 grammi, ma nell'utilizzo quotidiano non è assolutamente un problema. Non mi metto ad elencare tutte le sue caratteristiche tecniche perché ci sono schede e recensioni ovunque, posso solo dire che per il mio tipo di utilizzo mi ha soddisfatto a pieno. Come mi è piaciuto veramente molto la possibilità di personalizzazione veramente completa. Quattro anni di Major update e 5 anni di pace di sicurezza dati da Samsung non sono assolutamente male, ma visto la qualità costruttiva del dispositivo mi sarei aspettato un piccolo sforzo in più da parte di Samsung, visto che ha fatto di meglio anche su modelli di fascia inferiore esempio a16, e dal mio punto di vista questo dispositivo meriterebbe di essere supportato un pochino di più. Detto questo sicuramente lo riacquisterei. Venditore serio spedizione da parte di Amazon impeccabile come da programma nella data prevista consegnato con scatola di cartone perfettamente integra e da un corriere gentile e simpatico aggiungo come sempre almeno dalle mie parti.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1XT43BJK1VEOU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Simone,"5,0 su 5 stelle",Recensito in Italia il 6 agosto 2025,"Ho acquistato questo Galaxy A55 5G da un paio di settimane e ne sono davvero soddisfatto. Il design in colorazione Navy è elegante ma moderno, con una costruzione solida che dà una bella sensazione al tatto.

✅ Prestazioni fluide: con gli 8 GB di RAM e il processore aggiornato, lo smartphone è sempre reattivo anche con molte app aperte.

✅ Memoria giusta: i 128 GB sono più che sufficienti per uso quotidiano, e c’è comunque l'espansione microSD se serve spazio extra.

✅ Display AMOLED super luminoso: ottima visibilità anche sotto il sole, colori vividi e refresh a 120Hz per un'esperienza più fluida.

✅ Connettività 5G impeccabile: navigazione velocissima e chiamate sempre chiare con la doppia SIM.

✅ Fotocamera sorprendente per la fascia media: ottimi scatti, anche in condizioni di luce non ideali.

Se cerchi un mid-range affidabile, veloce e con un look premium, questo Galaxy A55 5G è una scelta azzeccata.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RIKCSJJ4T1TCM/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Marco ,"5,0 su 5 stelle",Recensito in Italia il 6 gennaio 2026,"Ho comprato questo Samsung A55 5 per mio padre e si trova benissimo! Schermo grande e nitido da 6,6 pollici, prestazioni fluide grazie a 8 GB di RAM e 128 GB di memoria interna. Fotocamera posteriore da 50 MP di buona qualità, batteria duratura da 5000 mAh e Android 14 aggiornato. Dual SIM molto comodo. Ottimo telefono per chi cerca affidabilità e semplicità d’uso
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2W6AAO8UCMERD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Andrea Scotti,"5,0 su 5 stelle",Recensito in Italia il 13 dicembre 2025,"Le aspettative del cellulare sono state esaustive, rispecchiano appieno tutte le ricerche e recensioni che ho trovato. Cellulare stupendo e dalle prestazioni eccellenti, lo consiglio veramente a tutti, oltre a fare delle foto stupende, ha audio impeccabile, la memoria espandibile è di fondamentale importanza, i nuovi modelli ne sono sprovvisti. Tutto molto bello tranne la spedizione, la consegna è avvenuta con trambusto e ritardo.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1VV04RQ7Z1HW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Luciano,"5,0 su 5 stelle",Recensito in Italia il 13 maggio 2026,Avevo comprato un S23 ultra 799 euro purtroppo un cellulare mastodontico che dopo cinque aggiornamenti stranamente perse memoria. Reso ancora in garanzia questo piccoletto(per modo di dire è mille volte piu' veloce) ha fatto i suoi aggiornamenti e merita tutto il prezzo speso. E? un sig smarphone velocissimo nelle applicazioni  io faccio medico ricevo 50 messaggi  al giorno è una roccia  almeno fino ad ora . Non spendete  cifre folli questo va mille  volte meglio di un cell. di 800 euro .Punto
https://www.amazon.it/portal/customer-reviews/srp/-/R1FJ3FXJRQMUQR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,angelo,"5,0 su 5 stelle",Recensito in Italia il 4 giugno 2026,"Bellissimo tutto bene
"
