Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
,Martin Rolander,"5,0 su 5 stelle",Recensito in Svezia il 15 febbraio 2025,"Nöjd
"
,Jozef,"1,0 su 5 stelle",Recensito in Australia il 19 dicembre 2024,"The phone itself is perfect and would get 5 stars. Beautiful design, small(ish) size, no punch hole for camera, proper sim + SD card slot, 3.5 mm jack, close to stock Android... What could possibly go wrong? Well, it doesn't connect to network. The phone is blacklisted on Optus and Telstra (likely Vodafone too) thanks to 3G shutdown. AU telco operators took the chance to block all phones they didn't sell claiming it doesn't support VoLTE or emergency call on 4G which isn't a problem of this Xperia, but it's banned anyway... Anyway, why is Amazon selling it in Australia when it's not possible to use it here? Returned.
"
,L. R.,"5,0 su 5 stelle",Recensito in Germania il 15 dicembre 2024,"yes I think we all know the specs on this phone are not particularly ""high end"", but what you get in return is insane battery life, e-sim support, 3 android updates and 4 years of security, a real headphone jack, less than gigantic size, nice screen, nicer than expected speakers, expandable memory, very little bloatware, and a decent camera. I got it during black week so the price was really outstanding for what it offers.

The UI is functional but not particularly nice, and I don't see many options for customization. I'd call it bare bones, but I don't really care much as I am using this primarily as a phone. I also use it to listen to music (memory card and headphone jack will be put to good use), navigate with offline/gps only maps (works fine so far) and occasionally read via kindle app when on the go.

The only thing that really bothers me about this device is that notifications aren't so easy to retrieve as there is no simple option for ""waking"" the lock screen (at least that I have found). Even with my prior phones that didn't have an ""always on"" screen I could lift the phone or tap the screen to show the lock screen which made it easy to quickly check for notifications. With this one you either have to unlock the phone then open the notification shade, or you can set it to show the lock screen when you press the volume button, which is what I went with. This thing is just screaming for a notification LED! Please bring that back, Sony!!!
"
,Nietypowy średniak ,"5,0 su 5 stelle",Recensito in Polonia in data 14 gennaio 2025,"W dobie takich samych telefonów, niezmiennie od lat Xperie wyróżniają się desigiem i idą swoją drogą. Bardzo doceniam połączenie małego, kompaktowego telefonu ze świetną baterią (2 dni pracy w tych czasach to naprawdę imponujący wynik), gniazdem jack 3.5 oraz wejściem na karty SD. Można? Sony udowadnia, że tak! Dodatkowo posiada również świetny ekran o wysokiej jasności, fajną aplikację do aparatu czyniącą go bezpośrednim konkurentem Samsunga A34 czy Pixela 8a. Również kodeki audio w połączeniu BT ze słuchawkami nie zawodzą. Bardzo sobie cenię plastikową konstrukcje, jest ona wbrew pozorom bardzo solidna i telefon super daje sobie radę bez etui. Dodatkowo producent oferuje 4 lata wsparcia. Minusem jest odświeżanie ekranu na poziomach 60 Hz, ale nie ma rzeczy idealnych niestety. Jestem bardzo zadowolona z zakupu, polecam, to już kolejny Sony w mojej rodzinie i nie zawiodłam się na tej marce.
"
,Bogdan Arko,"5,0 su 5 stelle",Recensito in Germania il 25 aprile 2026,"Writing a review from this phone, I have it for a year, no issues, maybe a bit too long for my pockets but nice and narrow to hold.
I love the SD-card slot, the 3,5 mm jack and the front facing stereo speakers are awesome, nice dynamic range.
"
,Mister Z,"4,0 su 5 stelle",Recensito in Germania il 16 gennaio 2025,"Einer der Hauptgründe warum ich dieses Smartphone haben wollte ist der Akku, denn der ist einfach der Wahnsinn bei diesem Handy, ich komme locker 3 Tage damit aus. Die 3,5mm Klinke war ein weiterer Grund zum Kauf, damit kann ich meine Kopfhörer weiter nutzen, ich bin kein Fan von Bluetooh Kopfhörern. Der dritte Grund war die Größe des Smartphones, es nervt mich einfach nur noch wie rieisig alle Smartphones mittlerweile sind die man kaum noch in die Hosentasche bekommt und man nicht mehr mit einer Hand bedienen kann, schrecklicher Trend. Das Gewicht könnte man noch als letzten Kaufgrund nennen, denn ich liebe leichte Smartphones, dieses hier wiegt gerade mal 164 gramm, für solch eine Größe ist das gar nicht mal so schlecht wenn man es mit anderen Smartphones vergleicht.

Jetzt zu den negativen Punkten. Für ein 400€ Smartphone ist die Kamera jetzt nicht so der Bringer, sie ist nicht schlecht aber sie auch nicht super, für mich reicht sie zwar völlig aus aber könnte mir vorstellen, dads sich einige Leute daran stören. Leider hat das Handy auch keine AoD (always on display) Funktion, wenn das Handy aus ist kann man nicht sehen ob jemand geschrieben hat oder nicht, das ältere Sony 10 IV hatte wenigstens noch eine kleine LED Leuchte neber der Kamera die immer dann aufleuchtete wenn man eine Nachricht hatte. Ich finde wenn man schon bei einem 400€ Smartphone keine AoD integriert -eine Funktion die jedes Smartphone in dieser Preisklasse hat - dann hätten sie wenigstens als Ersartz dafür eine kleine LED Leuchte anbringen können, denn Platz ist noch genug am oberen Rand des Displays. Ein weiterer Kritikpunkt ist die Ladezeit, das Smartphone braucht volle 3 Stunden um geladen zu werden, das ist ganz schön lange, hatte noch nie ein Smartphone das so lange braucht um vollständig geladen zu werden.

Im Großen und Ganzen bin ich jedoch sehr zufrieden mit dem Smartphone, ich habe es für 280€ im Angebot bekommen für den Preis finde ich es gut, aber für 400€ wäre es mir jetzt zu teuer, für den Preis gibt es viel bessere Smartphones und die Sicherheitsupdate Politik von gerade mal 3 Jahren bei Sony ist echt ein Witz. Ich werde das Smartphone solange behalten bis es kaputt geht oder bis endlich nochmal ein Hersteller ein kleines kompaktes Smartphone herausbringt das einen tollen Akku sowie eine 3,5mm Klinke hat.

EDIT: Alle 2-3 Tage hört die Kamera auf zu funktionieren, sie funktioniert dann erst wieder wenn ich das Smartphone neustarte was ziemlich nervig ist, die Taschenlampen app geht dann ebenfalls nicht mehr. Deshalb 1 Stern Abzug.
"
,Rohit Mishra,"5,0 su 5 stelle",Recensito in Germania il 8 luglio 2024,"My long wait to get a Sony phone finally got over. I wanted to get the 10 V last year, but they put a poor processor on that one. Thankfully, Sony put a decent processor in this model AND didn't change the aspect ratio. Sony doesn't sell phones in India anymore, I got this imported from Germany. Got it delivered safely, thanks to Amazon and DHL. 😌

The phone is just amazing - it's back is just beautiful to look at and hold 🤍 The front brings back memories from the past of having a notch-free display! The size too makes me feel happy as it is comfortably narrow. Of course, I adore the presence of a headphone jack! 🎶

It's a mid-range device and, by no means, a gaming phone or a hardcore multi-tasker. It does the job quite nicely. My needs are decent and it delivers on them - good battery backup, decent processor and cameras, headphone jack, and a display without a hole or a notch. And it's not a huge, heavy brick!

I'm just happy getting this. A big thank you to Sony and I wish they start selling Xperias here in India again. 🤍
"
,Dr. W.(Jahrg.54),"5,0 su 5 stelle",Recensito in Germania il 22 luglio 2025,"Angenehm leicht. Toller Akku. Überragende Sprachqualität (man kann neben einem mahlenden Kaffeeautomaten stehen, bekommt der Partner nicht mit), seit Mark IV auch ne gute (nachts) Kamera
"
,Cleaner Stmk,"5,0 su 5 stelle",Recensito in Germania il 22 dicembre 2024,"Ich habe das Sony Xperia 10 VI am black friday bei Amazon bestellen. Das Smartphone wurde rasch geliefert. Das Zubehör ist sehr spartanisch, nämlich nur Papiere 😉 die Akkulaufzeit ist ansprechend, das Sony Xperia ist angenehm kleinen und gut mit einer Hand zu bedienen. Ich hab mir noch eine 128gb Micro SD Card und eine spigen rugged amor Hülle dazu gegönnt. Die Kamera reicht für meine Zwecke, ist aber auch nichts besonderes und der Akku lädt etwas langsam. Für mich und meine Zwecke ein perfektes Smartphone noch dazu unter 300€. Darum vergebe ich auch die 5 Sterne!
"
,Christian A,"3,0 su 5 stelle",Recensito in Germania il 17 luglio 2024,"DEUTSCH (ENGLISH Version below the German one):

Wenn man ein Produkt von Sony kauft, erwartet man, dass es in bestimmten Bereichen gut ist. Kamera oder Musik vielleicht. Der Kauf des Xperia 10 VI war eine Entscheidung, die auch auf der Größe des Telefons beruhte.

Die bisherige Erfahrung ist eher enttäuschend: Ich habe erwartet, dass das Handy gut ist - wegen der Größe und der Akkulaufzeit -, aber nicht erwartet, dass es in anderen Bereichen versagt.
Hier sind die „Pros“ also Vorteile:

- Das Handy ist leicht und kompakt, passt also gut in eine Hand, lässt sich gut mit einer Hand bedienen, passt auch in jede Tasche. Das 21:9 Format ist eigentlich eine tolle Sache - und ich schaue keine Filme auf dem Handy, aber es ist einfach in vielen Fällen praktisch.
- 3,5-mm-Audiobuchse, SD-Karte, Dual-Sim...
- Die Akkupflege ist ein großes Plus. Mir gefällt, dass man das Handy über Nacht aufladen und eine maximale Kapazität von 80 oder 90% einstellen kann, um den Akku nicht zu sehr zu belasten.
Nun zu den „Nachteilen“: Einige dieser „Probleme“ sind sehr spezifisch für meinen Anwendungsfall und können von den meisten ignoriert werden, aber andere sind einfach schlechte Entscheidungen der verantwortlichen Teams bei Sony.
Zum Beispiel scheint Sony absichtlich Android-Stock-Funktionen herauszupatchen, um das kleinere Xperia-Handy zu verschlechtern:
- Kein Doppeltippen. Der Bildschirm leuchtet nicht auf, wenn man doppelt tippt (meine vorherigen Handys von Samsung, Xiaomi... konnten das)
- Kein „Ambient“-Bildschirm, d. h.: Benachrichtigungen wecken den Bildschirm nicht auf (wie oben). Warum? Bis jetzt habe ich noch keine vertrauenswürdige App gefunden, die diese Funktion zurückbringt, weil - nun ja, kein anderes Telefon braucht das, da es in Android enthalten ist, und im Grunde kann das jedes 100€ Xiaomi.
Denken Sie daran, dass Sie dieses Telefon neben der Größe vielleicht auch wegen 2 Dingen kaufen wollen: eine großartige Kamera-App und Musik (auch wegen der 3,5mm Audiobuchse)
- Nun zur Kamera: es gibt überhaupt keine „Galerie“. WTF. Sie stellen ein Handy mit einer guten Kamera-App her, aber dann gibt es keine Galerie. Man kann in der „Kamera“-App die letzten Bilder einzeln ansehen... Wenn man Galerien von Drittanbietern installiert, verliert man manchmal einige der Bearbeitungsfunktionen. Sehr seltsam. Die beste Galerie-App, die ich ohne Werbung gefunden habe, war die ältere „Album“-App, die Sony irgendwie nicht mehr anbietet, die aber online verfügbar ist. Eine Funktion, die ich bei früheren Handys sehr mochte, war die Möglichkeit, auf einer Karte zu sehen, wo ich Bilder gemacht habe, denn manchmal erinnere ich mich, dass ich ein Bild an einem bestimmten Ort gemacht habe, aber nicht an das Datum, und statt durch die Galerie zu scrollen, scrolle ich einfach auf der Karte und finde es. Nicht mit diesem Telefon/App.
- Die „Musik“-App ist nervig: Ich werde ständig gefragt, ob ich Benachrichtigungen möchte. Jedes Mal, wenn ich die App öffne oder zurückschalte, um das Lied zu wechseln, muss ich „Erlaube der App, Benachrichtigungen zu senden“ -> „Abbrechen“ antworten. Nur wenn ich akzeptiere (was ich aber nicht will), verschwindet sie. Vielleicht ist das ein Fehler. Ich habe auch einige Zeit gebraucht, um den Equalizer zu finden, aber das liegt an mir: er zeigt (manchmal) keinen brauchbaren EQ an, wenn kein Lied gespielt wird, er funktioniert nicht mit DSEE
- Fotografie. Ein Ziel war es, meine vor 12 Jahren erschienene Kompaktkamera zu ersetzen... bei hellem Tageslicht habe ich ein paar Vergleichsaufnahmen mit meiner Sony RX100 (M1, 2016 für 300 gekauft) gemacht. Die Bilder zeigen viel mehr Details auf der alten Kamera und es ist nicht nur die doppelte Anzahl von Pixeln. Außerdem gibt es viel mehr Optionen auf der Kamera (obwohl viele dieser Funktionen nur Software sind... was machst du also, Sony?), offensichtlich viel bessere Low-Light-/Nachtaufnahmen und natürlich gibt es tatsächlich einen optischen Zoom, von dem man sprechen kann. Ich schätze, ich habe mir Illusionen gemacht, als ich dachte, dass ein Handy aus dem Jahr 2024 eine über 12 Jahre alte kompakte Digitalkamera (also nicht einmal eine professionelle...) ersetzen kann. Vielleicht hat das größere Modell (Xperia 1 VI, Xperia 5) bessere Sensoren, aber für 400 und von Sony habe ich erwartet, dass dies das ist, was sie von anderen Handys in dieser Preisklasse unterscheidet. Es gibt auch keinen wirklichen Grund, dem kleineren Modell nicht die „Pro“-Funktionen des Gibber zu geben. Das könnte das Killerargument für Sonys Handys sein, aber sie werden es einfach in ein 1300€ Modell stecken.
- Zum Akku: Der STAMINA-Modus gefällt mir zwar, ist aber wie bei anderen Handys nur ein Batteriesparmodus - nur mit weniger Funktionen, wie es scheint: Wo ist die „Ultra“-Akkusparoption, mit der meine anderen Handys mehr als eine Woche ohne Aufladen durchhalten?
- Seltsame Software-Entscheidungen, z.B. bei der Verwendung von „Link to Windows“/Your Smartphone App: wenn ich auf all meinen anderen Handys eine Nachricht oder Benachrichtigung öffne/beantworte und sie somit eindeutig auf dem Windows-PC gesehen habe, zeigt das Xperia-Handy aus irgendeinem Grund die Textnachrichten, Mails, Benachrichtigungen immer noch als „neu“ an und man muss sie ein zweites Mal löschen. Oder wie erwähnt das Ausschalten der Ambient-Funktion... In manchen Fällen war es nicht möglich, Apps einen eigenen „Benachrichtigungs“-Sound zu geben, nur der Standard-System-Sound war möglich. Das ist ärgerlich, da ich z.B. für E-Mails einen anderen Sound oder ein anderes Vibrationsmuster haben wollte als für Textnachrichten.
- Es ist nicht möglich, im Dropdown-Menü zwischen „Lautlos“ und „Vibration“ zu wechseln. Dafür muss man die Lautstärketasten an der Seite benutzen.
- Wenn ich bei meinen anderen Handys die „Torch“-Taste eine Sekunde lang gedrückt halte, kann ich einstellen, wie hell sie leuchten soll, bei diesem Handy nicht.
- Spam-Anruferschutz: Wenn auf meinen anderen Handys bestimmte Nummern angerufen werden, warnt das Telefon vor „möglichen Spam-Anrufen“. Gestern, als ich einen Anruf von der gefälschten „Online-Bank“ erhielt, wurde dies nicht angezeigt.
- kein Face Unlock - falls jemand etwa Handschuhe trägt (Winter? Arbeit?) oder aber auch einfach dieses Feature angenehm enpfindet. Auch hier wieder eine künstliche Beschränkung seitens Sony, es ist schließlich ein Standard-Feature in Android, man hat es als bewusst deaktiviert. Warum auch immer man sein Telefon mit absicht schlechter macht...

- Die Bluetooth-Kopplung in der besagten Windows-App scheint nicht richtig zu funktionieren, daher kann man keine Anrufe vom PC aus annehmen und es wird ständig versucht, eine Verbindung herzustellen (ausprobiert auf 3 verschiedenen PCs, 1x Win 10, 2x Win 11, funktioniert auf meinen vorherigen Telefonen)

Ich habe schließlich einige der App-spezifischen Herausforderungen umgangen, indem ich mir die APKs der Stock-Apps der anderen Smartphones besorgt und sie auf dem Xperia installiert habe.
Schließlich wollte ich es zurückschicken und das 130€ teure „Xiaomi Redmi 12“ mit ebenfalls 8 GB RAM, 256GB Speicher (im Vergleich zu 128 im Xperia) + SD + Audio Jack + Infrarot zur Steuerung meiner Stereoanlage, Fernseher, Beamer... + auch eine gute Akkulaufzeit und Software-Features, die Sony ausgepatcht hat, verwenden. Es ist größer und die Kamera ist schlechter, aber ich werde trotzdem meine Kompaktkamera benutzen. Aber das Zurückschicken scheint jetzt ein Problem zu sein: Im Mai bestellt, kam sie schließlich Ende Juni an, etwa 10 Tage nach dem ursprünglichen Liefertermin, und sie erreichte mich, als ich im Urlaub war (also auch dafür zu spät) - als ich die Zeit hatte, sie wirklich auszuprobieren, verschwand der „Zurück“-Button

ENGLISH:
When you buy a product from Sony, you’d expect it to be good in certain areas. Camera or Music maybe. Buying the Xperia 10 VI was a decision also based on the size of the phone.
The experience so far is rather disappointing: expecting the phone to be good at – well handling because of size and battery life – but not expecting to fail in other areas.
Here are the “Pros”:
- The phone is leightweight and is compact, therefore fits great into one hand, can easily be used with one hand, it also fits in every pocket. The 21:9 format is a great thing actually – and I don’t watch movies on a phone, but its just practical in many cases.
- 3,5mm Audio Jack, SD Card, dual sim…
- Battery Care is a huge plus. I like that you can charge the phone overnight and set a maximum capacity of either 80 or 90% in order to not put too much stress on the battery
Now about the “Cons”: Some of these “problems” are very specific to my use case and can be ignored by most, but others are just bad decisions by the responsible teams at Sony.
For instance, Sony seems to deliberately patch out android stock features to downgrade the smaller Xperia phone:
- No double tap. The screen doesn’t lighten up on double tapping (my prior phones from Samsung, Xiaomi… could do that)
- No “Ambient” Screen, meaning: notifications don’t wake up the screen (same as above). Why? So far I haven’t found a trustworthy app that brings that feature back, because – well no other phone needs that since its included in Android, and basically every 100€ Xiaomi can do it.
Keep in mind, that you might want to buy this phone because of 2 things besides its size: a great camera app and music (because also of the 3,5mm audio jack)
- Well about the camera: no “Gallery” at all. WTF. You make a phone with a good camera app, but then there is no gallery. You can go to your “Camera” app and check the latest pictures one by one…If you install 3rd party galleries you sometimes lose some of the editing functions. Very weird. The best Gallery App I found without getting ads was the older “Album” app, Sony somehow decided to not provide anymore but is available online. A feature I liked in previous phones was to look on a map where I made some pictures because sometimes I remember that a made a picture at a specific place but not the date, instead of scrolling through a gallery, I just scroll in on a map and got it. Not with this phone/app.
- The “Music” app is annoying: I get constantly asked if I want notifications. Every time I open the app or switch back to change the song, I have to answer “Allow the app to send notifications” -> “cancel”. Only if I accept (but I don’t want to) it disappears. Maybe this is a bug. It also took me some time to find the equalizer, but that is on me: it (sometimes) doesn’t show you a useful EQ when there is no song playing, it doesn’t work with DSEE
- Photography. A goal was to replace my compact camera that was released 12 years ago… under broad daylight I made a few comparison shots with my Sony RX100 (M1, bought in 2016 for 300). The pictures show much more detail on the old camera and it is not just the double amount of pixel. In addition there are much more options on the camera (although a lot of those features are just software… so what are you doing Sony?), obviously much better low-light/night shots and of course there is actually an optical zoom worth speaking of. I guess I was delusional when I thought a 2024 phone can replace a 12+ year old compact digital camera (so not even a professional one..). Maybe the bigger model (Xperia 1 VI, Xperia 5) has better sensors, but for 400 and from Sony, I expected this to be the thing that sets them apart from other phones at that price range. There is also no real reason to not give the smaller model the “Pro” features from the gibber one. This could be the killer argument for Sonys phones, but they will just put it in a 1300€ phone.
- On the battery: STAMINA mode – while I like it, it’s just battery saver in other phones – but with less features it seems: where is the “Ultra” battery save option that made my other phones last for more than a week without charging?
- Weird software decisions, for instance when using with “Link to Windows”/Your Smartphone App: in all my other phones, when I open/answer a message or notification and therefore clearly have seen it on the Windows PC, for some reason the Xperia phone still shows the text messages, mails, notifications as “new” and you have to clear them a 2nd time. Or like mentioned the cutting out of the ambient feature… In some cases it wasn’t possible to give apps their own “notification” sound, just the standard system sound was possible. That is annoying as I wanted E-Mails to have a different sound or vibration pattern then Text messages for instance.
- No switching to “silent” or “vibration” from the dropdown menu. You have to use the volume buttons on the side for that.
- On my other phones, if I hold the “Torch” button for a second, I can select how bright it shines, not in this one
- There is no face unlock. In case you are using gloves or just use this feature out of convenience. It is a standard feature in android, so they activated it on purpose to make the phone ""worse"" and make you buy their 1300€ Xperia 1 or 5.
- Spam caller protection: when on my other phones and some certain numbers called, the phone warned from “possible spam call”. This didn’t show up yesterday when I got a call from the fake “online bank”
- Bluetooth pairing in said Windows App doesn’t seem to work properly, therefore you cannot take a call from PC and it constantly tries to connect (tried on 3 different PCs 1x Win 10, 2x Win 11, works on my previous phones)
I eventually circumvented some of the app-specific challenges by getting the APKs of the other smartphones stock apps and install it on the Xperia.
Eventually I wanted to sent it back and use the 130€ “Xiaomi Redmi 12” with also 8 GB RAM, 256GB memory (compared to 128 in the Xperia) + SD + Audio Jack + Infrared to control my stereo, tv, beamer… + also a good battery life and software features Sony seems to have patched out/are standard in other phones. Its bigger and the camera is worse, but I will use my compact cam anyways. But sending it back seems a problem now: Ordered in may it eventually arrived at the end of June, about 10 days after its original delivery date and it reached me when I was on holiday (so it was too late for that too) - when I got the time to really try it out, the “Return” Button disappeared
"
