Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/R31M754LQIVSL8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Carlo,"5,0 su 5 stelle",Recensito in Italia il 27 febbraio 2025,"Il cellulare è ottimo. In tutte le sue varie desinenze questi nuovi modelli della linea 14 sono tutti recensiti male, ingiustamente tra l'altro. E soprattutto senza argomentazioni che avvalorino il perché di valutazioni così basse. Io posso dire che ho valutato tantissimi telefoni anche con un prezzo poco poco più alto o poco poco più basso. Ho comprato questo fidandomi delle mie valutazioni e sono rimasto soddisfatto a pieno. Per 320 euro è un senza dubbio un ottimo acquisto. Tuttavia se si ha un forte interesse per il comparto fotografico e soprattutto video (e non parlo di dover fare qualche foto bella o qualche video ricordo, ma mi riferisco a chi vorrebbe farci videomaking o lavorazione fotografia poi da computer) io lo sconsiglio. Aggiungo e specificare che i video in 4K scattano, non solo durante la ripresa ma proprio nella clip registrata. Magari è un problema software (dovrebbe uscire un nuovo grande aggiornamento, o forse è colpa del fatto che il mio modello è l'8 GB di Ram e non il 12 GB). In ogni caso questo non mi è piaciuto. Ma io non ho quell'esigenza. E al contempo, ritornando a un senso di realtà: per circa 300 euro nel 2025 non penso si possa volere o avere un prodotto migliore. Xiaomi è una garanzia. Io personalmente ho comprato dal venditore AB SOLUTION S.R.L. spedito da Amazon. Mi sono trovato bene e il prodotto è arrivato nuovo, con i sigilli alla scatola, e una bella bustina semiopaca a incartare lo scatolo del cellulare.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1M2364NNJLNHB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Claudio V.,"5,0 su 5 stelle",Recensito in Italia il 11 luglio 2026,"Al momento dopo 2 mesi circa devo dire che è un buon prodotto,belle le foto,la batteria dura abbastanza e con la carica rapida non si aspetta tanto.È fluido e veloce nel caricamento delle pagine e comunque in generale un bel telefono
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1PK5SYVPX44VQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Paolo,"5,0 su 5 stelle",Recensito in Italia il 21 maggio 2026,"molto equilibrato, potente e soprattutto solido, ha lo schermo con bordi stondati pensavo fosse un po' delicato, ma ha già preso delle belle botte è non ne ha risentito. Un po' fastidioso applicare il vetrino di protezione sullo schermo curvo, spesso aderisce male o leggermente storto, bisogna prendere la mano
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2A6CFX5JB2W7D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Anna,"3,0 su 5 stelle",Recensito in Italia il 5 dicembre 2025,"Il Redmi Note 14 Pro+ mi ha sorpreso in positivo appena tirato fuori dalla scatola: è ben fatto, lo schermo è bello da vedere e la ricarica da 120W ,in pochi minuti hai di nuovo la batteria carica, ed è una cosa a cui ci si abitua fin troppo facilmente.
Detto questo, devo essere sincera: il sistema operativo non mi ha convinto. Nonostante l’hardware sia ottimo, il software sembra sempre un po’ indietro e finisce per rovinare l’esperienza. Mi è capitato più volte che crashassero anche app base, quelle che usi tutti i giorni senza pensarci. E quando succede, comincia davvero a diventare frustrante.
Insomma, è un telefono che ha tantissimo potenziale e dal prezzo conveniente, però non lo vedo come uno smartphone da usare quotidianamente.
Va bene se non ti dà fastidio convivere con qualche bug, altrimenti rischia di farti pentire della scelta.
Purtroppo prodotto reso.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3EWITKZ8KNQY8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Anonimo ,"4,0 su 5 stelle",Recensito in Italia il 6 gennaio 2026,"Bello, ben fatto, funziona molto bene, bella fotocamera, ma una cosa mi lascia perplesso: perché attira la polvere e i pelucchi come fosse uno swiffer? Lo metto in tasca e quando lo tiro fuori è pieno di pelucchi, con qualsiasi tipo di pantalone, mai successa una cosa del genere. Provo a toglierli e questi restano attaccati, tranne questo piccolo dettaglio fastidioso il telefono è ok
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3QINVFP41DQDY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Alessandro,"5,0 su 5 stelle",Recensito in Italia il 8 giugno 2026,Ottimo telefono molto meglio di cellulari  di Marche molto  piu blasonati..l ho regalato  per  Natale  alla mia compagna  e ne è  entusiasta sto pensando  di prenderlo anche per me.
https://www.amazon.it/portal/customer-reviews/srp/-/R9XVAP459PHH4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Vincent,"5,0 su 5 stelle",Recensito in Italia il 7 maggio 2025,"Veramente un bel telefono molto veloce e fluido ha tutte le funzioni del redmi note che a me piaceva molto he un pochino più piccolo ma si tratta di un paio di millimetri perché ha lo schermo arrotondato hai lati e quindi sembra ancora più stretto per il resto e perfetto io tengo circa 300 app e le regge benissimo anche la batteria se non si esagera nell'uso arriva benissimo fino a sera molto bello lo consiglio specie se lo comperare su Amazon costa 170 euro in meno del prezzo ufficiale che he di 450euro
"
https://www.amazon.it/portal/customer-reviews/srp/-/R939S776PTLNN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Emanuele,"5,0 su 5 stelle",Recensito in Italia il 13 ottobre 2025,"telefono fantastico fin dal primo momento ho natato che avesse qualcosa in più .. facile e intuitivo ... grafica eccezionale... qualità prezzo oltre le aspettative.. consigliato
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3HRRKVG9JYX7N/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Valerio Borrelli,"4,0 su 5 stelle",Recensito in Italia il 7 luglio 2026,"Buon prodotto
"
https://www.amazon.it/portal/customer-reviews/srp/-/R21378WYEXDRNX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,pjno,"3,0 su 5 stelle",Recensito in Italia il 3 agosto 2026,"Ho ricevuto il prodotto da molto entusiasta ma non è del tutto così, l'accensione dura quasi tre minuti, le app a volte non si aprono, il caricabatterie da 120 w non viene oramai venduto insieme e la super ricarica da 120 watt non esiste e per far sì che avvenga bisogna acquistare il caricabatterie originale della redmi se no il telefono sotto carica di un caricabatterie normale impiega oltre tre ore per arrivare al 80%.
Il telefono di per sé è bello però molte cose non funziona bene e le chiamate si sentono pochissimo il vivavoce si sente altrettanto pochissimo
Dico la verità sono molto deluso
"
