Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/RKBLLNBTPV8HU/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Gianluigi Ferrara,"5,0 su 5 stelle",Recensito in Italia il 28 agosto 2026,"Prodotto originale sigillato, arrivato in tempi rapidissimi e preso approfittando di un'ottima offerta Amazon, con un risparmio notevole rispetto al prezzo di listino. Il telefono è veloce e fluido in ogni situazione, il chip A18 gestisce tutto senza il minimo rallentamento e l'autonomia arriva tranquillamente a fine giornata anche con un uso intenso. La fotocamera fa foto eccellenti in ogni condizione di luce e il nuovo tasto per il controllo fotocamera diventa presto un'abitudine, molto comodo per scattare al volo. Lo schermo è luminosissimo, ben leggibile anche in pieno sole. I 128 GB vanno bene per un uso normale, chi scatta e filma molto valuti il taglio superiore. Nessun difetto riscontrato, tutto perfettamente funzionante fin dall'accensione. Consigliato, soprattutto se si riesce a prenderlo in promozione.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1DH1YXZ8E46X1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,DANIELE,"5,0 su 5 stelle",Recensito in Italia il 13 agosto 2025,"Un regalo azzeccato, passaggio dal vecchio iPhone 7 indolore!

L'ho preso come sorpresa per mia moglie che aveva ancora un iPhone 7 ormai vecchissimo, e posso dire che è stata contentissima del regalo 😊

Il salto generazionale è impressionante - sembra davvero di essere passati avanti di trent'anni! Ovviamente lei non sfrutterà tutte le funzionalità più avanzate (chi lo fa davvero?), ma per l'uso quotidiano si sta trovando benissimo.

La cosa che mi ha colpito di più è quanto sia stato semplice il passaggio. Pensavo che con tutti questi anni di differenza avrebbe avuto difficoltà ad abituarsi, invece niente. Quelle 2-3 cose nuove le ha imparate subito - questa è la famosa ""semplicità Apple"" di cui si parla sempre.

Anche mio figlio ci aveva consigliato di rimanere su iPhone proprio per questo motivo: zero sbattimenti, zero ""manutenzione"", funziona e basta. E aveva ragione.

Quello che non capisco sono le lamentele sul prezzo. Io l'ho pagato 719€ e sinceramente, per quello che offre in termini di design, robustezza e attenzione ai dettagli, non credo si trovi di meglio in giro.

Le foto vengono benissimo, La cosa più divertente è che ora mia moglie fa più foto in una settimana di quante ne faceva in un anno con il 7. Il rullino fotografico è esploso letteralmente! La batteria dura tutto il giorno senza problemi (anzi, ora le dura + di un giorno), e soprattutto è veloce in tutto quello che fa. Niente lag, niente attese, niente rotture di scatole.

Se state pensando di fare l'upgrade da un modello molto vecchio, fatelo. La differenza si sente eccome e l'investimento ne vale davvero la pena. Apple sa il fatto suo quando si tratta di fare telefoni che ""funzionano e basta"".
"
https://www.amazon.it/portal/customer-reviews/srp/-/R23Z3717RSLJKG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Koala,"5,0 su 5 stelle",Recensito in Italia il 11 gennaio 2026,"Uso iPhone da diversi anni e sono passato a questo iPhone 16 da 256 GB dopo qualche settimana di utilizzo quotidiano posso dire che rispecchia pienamente ciò che ci si aspetta da Apple.
La qualità costruttiva è come sempre molto alta: telefono solido, ben bilanciato in mano e con una finitura elegante. Il colore nero è sobrio e non stanca. Le dimensioni sono gestibili anche con una sola mano, pur avendo uno schermo ampio e ben leggibile.
Il display è luminoso, definito e perfetto sia per la navigazione che per video e social. Anche all’aperto si vede molto bene.
Dal punto di vista delle prestazioni, il chip A18 è estremamente fluido: nessun rallentamento, app che si aprono all’istante e ottima gestione del multitasking. Lo uso per lavoro, streaming e qualche gioco e non scalda praticamente mai.
La fotocamera è uno dei punti forti: foto molto dettagliate, colori naturali e ottimi scatti anche in condizioni di luce non ideale. I video sono stabilizzati e di qualità davvero elevata, tipica di Apple.
Capitolo batteria: finalmente un’autonomia che copre tranquillamente l’intera giornata, anche con uso intenso. Arrivo spesso a sera con ancora una buona percentuale residua, cosa non scontata sui modelli precedenti.
Lato software, iOS resta intuitivo e stabile. Tutto funziona come deve, senza bug evidenti. L’integrazione con AirPods e altri dispositivi Apple è impeccabile.
Unico neo, se proprio devo trovarlo, è il prezzo: non è un telefono economico, ma la qualità complessiva giustifica l’investimento, soprattutto per chi lo usa molto.
In conclusione, iPhone 16 è un dispositivo affidabile, potente e ben rifinito. Non rivoluziona, ma migliora dove serve. Consigliato a chi cerca uno smartphone premium che duri nel tempo.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3DYRYH8JRRJDQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Emanuele Esposito,"5,0 su 5 stelle",Recensito in Italia il 20 luglio 2026,"Lo sto usando da un po’ è molto bello come iPhone per chi viene da un 11 è veramente ottimo sappiate ed un valido acquisto non costa tantissimo e da quasi le stesse cose del iPhone 17 ma con dei colori ancora più belli stra consigliati
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3PA87LS2PR5V9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Taurus 28 ✅,"5,0 su 5 stelle",Recensito in Italia il 30 aprile 2026,"L’iPhone 16 nero è, senza troppi giri di parole, uno smartphone che colpisce subito per eleganza e praticità. Fin dal primo utilizzo si percepisce quanto sia stato curato il design: compatto, leggero e davvero piacevole da tenere in mano. Le dimensioni da 6,1 pollici rappresentano un equilibrio quasi perfetto tra comodità e usabilità quotidiana, rendendolo un vero “gioiellino” tascabile.
Dal punto di vista estetico, il colore nero gli dona un aspetto raffinato e minimalista, mentre i materiali (come l’alluminio aerospaziale e il Ceramic Shield) trasmettono una sensazione di solidità e qualità premium.
Uno dei punti forti è sicuramente il comparto fotografico: la fotocamera Fusion da 48MP permette di scattare foto ricche di dettagli, supportata da funzionalità avanzate come il controllo rapido della fotocamera e gli stili fotografici personalizzabili. Anche l’ultra-grandangolo migliorato si comporta molto bene, soprattutto negli scatti macro.
Ottime anche le prestazioni grazie al chip A18, che rende il dispositivo estremamente fluido in ogni situazione, dal multitasking al gaming. L’autonomia è più che soddisfacente e consente di coprire tranquillamente una giornata intensa di utilizzo.
Tra gli aspetti meno convincenti, va segnalata la confezione: come ormai da normativa europea, include solo il cavo di ricarica, senza alimentatore. Inoltre, la versione da 128 GB potrebbe risultare un po’ limitante per chi scatta molte foto o utilizza app pesanti.
Un altro punto soggettivo riguarda il nuovo design di iOS: la versione più recente, con elementi più “trasparenti”, potrebbe non piacere a tutti e può far rimpiangere l’interfaccia delle versioni precedenti.
In conclusione, l’iPhone 16 è uno smartphone che riesce a coniugare perfettamente estetica, prestazioni e praticità. Nonostante qualche piccolo compromesso, resta un dispositivo altamente consigliato per chi cerca qualità e affidabilità in un formato compatto. Infine una nota. Tramite l'app Passa a iOs sono riuscito a passare ad iphone partendo da un android. È tutto abbastanza in maniera fluida, qualche operazione è stata ripetuta più volte, ad esempio il codice whatsapp, ma nel complesso non è stato troppo complicato.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3ODRUJHHXV22G/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,moreno,"4,0 su 5 stelle",Recensito in Italia il 10 agosto 2025,"Ho acquistato l’iPhone 16 da 256 GB perché sono sempre stato affascinato dal mondo Apple e volevo finalmente provare l’esperienza completa. Venendo da anni di utilizzo Android, l’impatto iniziale è stato un po’ disorientante: il sistema mi è sembrato “chiuso” e mi sono sentito spaesato.

Uno dei motivi che mi ha convinto al salto è stato il passaggio di Apple alla USB-C: se avesse ancora usato i vecchi cavi Lightning, probabilmente non avrei fatto il cambio. Così posso usare lo stesso cavo di altri miei dispositivi senza complicazioni.

C’è da dire che, grazie all’app Passa a iOS, il passaggio da Android a iOS è stato sorprendentemente semplice: contatti, foto e impostazioni principali sono migrati senza problemi.

Sul lato hardware, l’iPhone 16 monta il nuovo chip A18 Bionic a 3 nm, con 6 core CPU (2 ad alte prestazioni e 4 ad alta efficienza), affiancato da 8 GB di RAM LPDDR5X. Il risultato è una reattività eccezionale in qualsiasi scenario: dal multitasking pesante ai giochi più esigenti. La capacità della batteria non è dichiarata da Apple, quindi evitiamo numeri, ma in uso reale si comporta bene, pur non raggiungendo i due giorni pieni a cui ero abituato con Android. Il retro in vetro ceramico celestiale è semplicemente bellissimo e trasmette una sensazione premium.

Dopo qualche giorno di utilizzo, ho iniziato ad apprezzare la cura dei dettagli e la qualità delle app: su iOS molte sono realizzate meglio, più fluide e ottimizzate. In particolare, l’app Salute è davvero ben fatta, anche nella parte dedicata al benessere mentale, e l’app Diario è utilissima per descrivere e monitorare il proprio stato d’animo e la giornata.

Per non parlare dell’app Libri: molto bella e ben organizzata, permette di consultare e leggere comodamente anche ebook. Un mio amico la usa tantissimo e ci si perde per ore; io non sono un grande amante della lettura, ma l’ho provata un paio di volte e l’esperienza è stata piacevole.

Il telefono è veloce e reattivo, e le fotocamere sono di un altro livello rispetto a quelle che avevo su Android: foto nitide, colori realistici e ottime prestazioni anche in condizioni di scarsa luce.

Il Face ID è uno strumento potentissimo: riconosce il volto in un istante e offre un livello di sicurezza avanzato. Dal punto di vista della sicurezza informatica, iPhone riceve aggiornamenti ogni mese, a differenza di molti dispositivi Android. Questo è possibile perché iOS non è un sistema frammentato, ma unificato su un solo hardware, il che rende la protezione più costante ed efficace.

D’altronde, nei sistemi chiusi bisogna fidarsi di quello che viene comunicato: non sempre si può verificare se le falle siano state effettivamente chiuse. Apple però pubblica un bollettino ufficiale sul suo sito per ogni aggiornamento di sicurezza, quindi consiglio di consultarlo per sapere cosa è stato corretto e valutare con consapevolezza.

A volte, però, sento che alcune funzioni mi mancano: non poter vedere informazioni avanzate sul segnale Wi-Fi, accedere a impostazioni “da smanettone” più profonde come su Android, o avere un pulsante virtuale dedicato che mi riporti subito alla schermata Home senza dover fare gesture. Per questo, quando sono a casa, continuo a usare in combinazione anche il mio smartphone Android.

Batteria: il mio iPhone è stato consegnato il 24 maggio e ad oggi ha solo 40 cicli di ricarica, grazie ad alcune accortezze come ricariche parziali e il limite all’80%. Consiglio a chi lo acquista di seguire queste pratiche per mantenere i cicli bassi e la batteria in salute più a lungo.

Pro:

Chip A18 Bionic e 8 GB di RAM LPDDR5X: velocissimo

Qualità costruttiva e materiali premium (vetro ceramico blu oltremare)

USB-C: più pratico e universale

Migrazione semplice con app Passa a iOS

Fotocamere eccellenti

Face ID e aggiornamenti mensili di sicurezza

App Salute, Diario e Libri ben realizzate

Display luminoso e di ottima qualità

Consigli utili per mantenere bassi i cicli batteria

Contro:

Autonomia inferiore rispetto ad Android

Meno personalizzabile, mancano funzioni avanzate (es. info segnale Wi-Fi, pulsante virtuale Home)

Nei sistemi chiusi è difficile verificare l’effettiva applicazione delle patch

In conclusione: l’iPhone 16 da 256 GB è un dispositivo premium, veloce e ben ottimizzato, ideale per chi vuole vivere l’esperienza completa Apple. Offre una qualità costruttiva eccellente, fotocamere di alto livello e un software curato nei minimi dettagli. Ha qualche limite in termini di autonomia e personalizzazione rispetto ad Android, ma nel complesso è una scelta sicura e appagante per chi cerca affidabilità e prestazioni di fascia alta.

⭐ Valutazione: ★★★★☆ (4,5/5)
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2WGUAL4H28V0Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Vito,"5,0 su 5 stelle",Recensito in Italia il 5 giugno 2026,"Prodotto eccellente sotto tutti i punti di vista. Prestazioni molto fluide grazie al chip A18, apertura app immediata e ottima gestione del multitasking. La fotocamera offre scatti di altissima qualità, con colori naturali e ottima resa anche in condizioni di scarsa luce. L’autonomia è migliorata rispetto alle generazioni precedenti e permette di arrivare a fine giornata senza problemi. Il design è curato e la qualità costruttiva è quella tipica di Apple. Nel complesso uno smartphone completo e molto affidabile.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RKXJVZ16MNDBS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Ylenia,"5,0 su 5 stelle",Recensito in Italia il 12 agosto 2025,"Utilizzo l’iPhone 16 da alcune settimane e posso dire che Apple ha alzato ulteriormente l’asticella in termini di prestazioni, qualità costruttiva e integrazione software-hardware.

Confezione e primo impatto
La scatola segue lo stile minimalista di Apple, con al suo interno solo il cavo USB-C a USB-C e documentazione rapida. Niente caricatore incluso, come già avviene da anni. L’iPhone 16 si percepisce subito premium in mano: scocca in alluminio aerospaziale, vetro Ceramic Shield frontale e posteriore, bordi sottilissimi e un peso ben bilanciato.

Display
Il nuovo Super Retina XDR da 6,1” offre colori vividi e un’ottima luminosità anche sotto il sole diretto. Il refresh rate fluido (ProMotion fino a 120 Hz) rende l’esperienza visiva impeccabile, sia per la navigazione che per il gaming.

Prestazioni
Il chip A18 garantisce una fluidità impressionante. App e giochi si aprono in un istante, l’intelligenza artificiale integrata gestisce in modo intelligente consumi e prestazioni, e la gestione del multitasking è impeccabile. Durante lunghe sessioni di utilizzo non ho notato surriscaldamenti.

Fotocamere
Il comparto fotografico è uno dei punti di forza:
• Fotocamera principale da 48 MP con sensore più grande per foto nitidissime anche in condizioni di scarsa luce.
• Ultra-grandangolare migliorata, utile per paesaggi e foto creative.
• Modalità Ritratto più naturale, con sfocatura dello sfondo regolabile anche dopo lo scatto.
• Video in 4K Dolby Vision, stabilizzati alla perfezione.

La modalità notturna è più veloce e precisa, e il nuovo algoritmo Smart HDR regala colori realistici senza saturazione eccessiva.

Batteria e autonomia
Con un utilizzo misto (social, foto, navigazione web, qualche ora di musica e video) arrivo tranquillamente a fine giornata con ancora il 30-35% di carica. La ricarica rapida USB-C è comodissima: in circa 30 minuti si raggiunge il 50%. Supporta anche ricarica wireless MagSafe.

Software e funzioni
iOS 18 porta con sé nuove funzioni di personalizzazione, maggiore integrazione con l’intelligenza artificiale Apple Intelligence e miglioramenti in privacy e sicurezza. Face ID è ancora più veloce e preciso.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2RG8ZMUCUDHJW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Roberta Pergolari,"5,0 su 5 stelle",Recensito in Italia il 29 agosto 2026,"Acquistato per sostituire il mio vecchio iPhone 12 oramai arrivato al capolinea. Che dire il salto si vede… e anche tanto telefono stupendo arrivato perfetto e completo in ogni sua parte.
Per la prima volta ho acquistato un iPhone su Amazon e devo dire servizio impeccabile e spedizione come sempre nei tempi. Per il momento ottimo acquisto.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3J9XJ3YXNB6TK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Simone,"5,0 su 5 stelle",Recensito in Italia il 8 settembre 2026,"RCONDIZIONATO ESATTAMENTE COME IN DESCRIZIONE. LO USO DA 1 ANNO, NESSUN PROBLEMA.
"
