Smartphone,review_url,reviewer,rating,review_date,review_text,performance,battery,camera,display,overall
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R2PMPX1JH0NSZG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Fabio Berera,"5,0 su 5 stelle",Recensito in Italia il 3 giugno 2026,"Tutto ok
",NA,NA,NA,NA,1
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R28N7OTVYDWANS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Alibe,"5,0 su 5 stelle",Recensito in Italia il 18 maggio 2026,"Un buon telefono ed un prezzo onesto per le caratteristiche , ottimo prodotto .
",NA,NA,NA,NA,2
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R2AD1ZWRCOT1SO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Sara M.,"4,0 su 5 stelle",Recensito in Italia il 19 dicembre 2024,"L'articolo è arrivato integro, la confezione e i sigilli erano intatti come pure le pellicole sul telefono. Sono passata a questo Samsung galaxy A 35 dopo 5 anni di Xiaomi redme note 8T, le dimensioni e il peso sono più o meno gli stessi, quindi non noto una gran differenza. La connessione 5g fa un po fatica ma potrebbe dipendere dalla zona e dal mio operatore. Lo schermo è fanrastico e molto fluido, l'interfaccia è piuttosto intuitiva, le fotocamere sono buone, mentre mi aspettavo qualcosa in più per il photo editing. Molte delle app Samsung si possono disinstallare tranne la fastidiosissima Samsung Pass che interferisce con l'account google nel salvataggio delle password. Qualche funzionalità/app in più l'avrei gradita... La durata della batteria non è male, ma anche qui mi aspettavo qualcosa di meglio. In generale è un buon telefono e lo consiglio sicuramente.
",NA,0,1,2,1
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/RIW34KBJRZXCO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Duilio B.,"5,0 su 5 stelle",Recensito in Italia il 10 maggio 2026,"Ottimo prodotto qualità prezzo eccezionale. vale la pena molto performante
",2,NA,NA,NA,2
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R37DZBNHHMWB1K/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Roberto Fiocca,"4,0 su 5 stelle",Recensito in Italia il 19 dicembre 2025,"Uno degli acquisti migliori. Sto ancora scoprendo le innumerevoli quantità di funzioni, cose da altra fascia e altri device.
Eccellente.
",NA,NA,NA,NA,2
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R1CJ7L7JMO34TF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,AnselmoFranz,"5,0 su 5 stelle",Recensito in Italia il 14 maggio 2026,"Consigliato!!!!!!
Tutto Perfetto.
",NA,NA,NA,NA,2
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R299E49GKPM0EA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Fede,"4,0 su 5 stelle",Recensito in Italia il 29 dicembre 2025,"Preso per mia mamma, più che sufficiente direi. Buon prodotto
",NA,NA,NA,NA,1
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/RN38QG93FB3R4/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Ana,"5,0 su 5 stelle",Recensito in Italia il 20 febbraio 2026,"Ho comprato questo telefono perché il mio si era rotto e sono sempre stata amante della line A di Samsung. E' la prima volta che compro un telefono online ma la mia esperienza è delle migliori! Consiglio a tutti, prezzo competitivo.
",NA,NA,NA,NA,2
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R2QBRMNN0T2K9Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Chris e melissa,"5,0 su 5 stelle",Recensito in Italia il 13 febbraio 2026,"Ordinato con amazon prime arrivato come indicato non presenta nessuna imperfezione l'imballaggio. Scatola del cellulare integra , sigillo apposto. Questi sotto che comentano che gli arriva tutto rotto sicuramente lo scrivono per farsi restituire l'articolo ecc... 5 stelle
",NA,NA,NA,NA,2
Galaxy A35,https://www.amazon.it/portal/customer-reviews/srp/-/R2FL18S2GKZ9ZN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Paolo V.,"3,0 su 5 stelle",Recensito in Italia il 30 gennaio 2026,"Arrivato in un giorno, telefono perfetto, ma nella descrizione il colore è nero e in realtà è arrivato blu con un'etichetta farlocca appiccicata accanto a quella originale. Magari il venditore dovrebbe fare attenzione. Va bene comunque, ma è ingannevole.
3 stelle solo per l'attenzione mancata.
",NA,NA,NA,NA,1
