Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/RWBUK6PA1JCKK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Ezio,"5,0 su 5 stelle",Recensito in Italia il 10 maggio 2026,"Per me ottimo.o prodotto
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3HM3SC0A5FT3Q/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,M.C,"1,0 su 5 stelle",Recensito in Italia il 10 luglio 2026,"Comprato come regalo per mia moglie, ma il telefono era difettoso (problemi di memoria e surriscaldamento della batteria). Portato in assistenza Samsung, si sono rifiutati di ripararlo dicendo che il telefono era già stato attivato prima del mio acquisto. Ho dovuto persino pagare 54 euro a Samsung solo per riavere il telefono indietro.Per fortuna Amazon Italia si è dimostrata fantastica: si riprende il telefono e mi rimborsa l'intera cifra. Spero di recuperare anche i 54 euro di Samsung. Una stella al prodotto e a Samsung, cinque stelle al servizio clienti Amazon. Vi terrò aggiornati.
"
,Bernd Teubner,"5,0 su 5 stelle",Recensito in Germania il 24 agosto 2026,"Gutes Handy und hat noch die Möglichkeit eine 256GB Speicherkarte einzusetzen
"
,jo,"5,0 su 5 stelle",Recensito in Belgio in data 15 luglio 2026,"Toit ok
"
,tomas,"5,0 su 5 stelle",Recensito in Spagna il 27 aprile 2026,"Va de lujo
"
,Esteban González,"5,0 su 5 stelle",Recensito in Messico il 29 maggio 2025,"Después de estar investigando diversos modelos de Samsung, encontré el M55.

Estoy muy contento con la compra!

Excelente relación calidad precio.

Pros
Es 5G

Memoria de 256 GB
Es bastante rápido.
Lá camara de selfies tiene la opción de 12 y 50M.
La bateria carga al 100% en 1 hora.

Contra

El primer día lo utilicé en un día muy caluroso, se calentó demasiado y todas las aplicaciones se cerraron (no ha vuelto a ocurrir)

Solo trae cable USB tipo C, no viene con adaptador de corriente.
"
,Usuario,"5,0 su 5 stelle",Recensito in Spagna il 25 ottobre 2025,"Va muy bien, la pantalla es increíble, llevo poco con el pero en los juegos va muy fluido
"
,momo 58,"5,0 su 5 stelle",Recensito in Germania il 26 giugno 2026,"Ich bin sehr zufrieden.  Für kleinere Bedürfnisse im Zusammenhang mit den Ansprüchen,  ich bin 68 Jahre,  vollkommen  ausreichend."
,Georg,"1,0 su 5 stelle",Recensito in Germania il 5 agosto 2026,"Samsung Galaxy M55 ist mein vierter Samsung M Serie. Mit allen bisherigen Galaxy M Modellen war ich sehr zufrieden.
Doch von dem neusten Samsung Galaxy M55 5G bin ich sehr enttäuscht. Vor allem Kamera unbrauchbar, absolute Schrott. Auch Video Aufnahmen Grotten schlecht. Da haben schon vor 20 Jahren sogar NoName Handys bessere Kameras gehabt. Sehr schlechte Klang Aufnahme und Wiedergabe. Sehr schwache Akku. Insgesamt mit Abstand schlechtester Samsung Modell.
Georg
"
,Marabel,"5,0 su 5 stelle",Recensito in Messico il 19 maggio 2025,"Si todo bien
"
,Wolfgang Birke,"2,0 su 5 stelle",Recensito in Germania il 27 ottobre 2025,"Das Handy selber ist ganz okay für den Preis, aber was fehlt ist eine deutsche Bedienungsanleitung auf dem Handy und auch bei Samsung direkt ist keine deutsche Bedienungsanleitung zu bekommen.
Schade, so einiges würde ich schon gerne nachlesen.
"
,Bernhard,"5,0 su 5 stelle",Recensito in Germania il 28 gennaio 2026,"Handy ist super. Kann mit 45W geladen werden. Keine langen Ladezeiten mehr. Kamera ist super.
"
,Silke ,"5,0 su 5 stelle",Recensito in Germania il 6 marzo 2026,"Super
"
,Wirz Alexander,"5,0 su 5 stelle",Recensito in Germania il 10 gennaio 2026,"Alles super Danke!!!
"
,Rainer E.,"1,0 su 5 stelle",Recensito in Germania il 24 marzo 2026,"Audioqualität ist unterirdisch
"
,Ernst Zloklikovits,"5,0 su 5 stelle",Recensito in Germania il 7 luglio 2025,"Pünktlich, gut verpackt geliefert.
Für mich war wichtig, dass eine Micro SD Erweiterung vorhanden ist, was bei Nachfolgemodellen nicht mehr der Fall ist.
Ich verwende das Smartphone NICHT als Spielzeug und habe manchmal riesige Datenmengen.
"
