Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/R30P71D4A2VCGK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Antonio,"5,0 su 5 stelle",Recensito in Italia il 24 febbraio 2026,"Dopo diverse settimane di utilizzo posso dirlo senza esitazioni: Pixel 9 Pro è uno smartphone straordinario. Fluido, potente e incredibilmente intelligente grazie a Gemini e all’integrazione profonda dell’AI in tutto il sistema.

Il display Super Actua da 6,3” a 120Hz è spettacolare: luminosissimo, colori perfetti e leggibilità impeccabile anche sotto il sole diretto. Compatto il giusto, premium al tatto, con finiture curate e un design elegante in Nero Ossidiana.

Il comparto fotografico è semplicemente di un altro livello. La tripla fotocamera offre scatti dettagliatissimi, colori realistici e una gestione della luce incredibile anche di sera. Zoom, ritratti e modalità notte sono impressionanti. È uno di quei telefoni che ti fa venire voglia di scattare foto.

Il Tensor G4 con 16GB di RAM rende tutto immediato: zero lag, multitasking sempre fluido e gestione intelligente delle funzioni AI. Gemini è davvero utile nella vita quotidiana, sia per produttività che per ricerca veloce di informazioni direttamente da schermo o fotocamera.

Autonomia ottima: si arriva serenamente a fine giornata, e la gestione energetica è ben ottimizzata. In più, i 7 anni di aggiornamenti sono una garanzia rara nel mondo Android.

Se vuoi uno smartphone completo, intelligente, con una fotocamera top e un ecosistema perfettamente integrato, Pixel 9 Pro è una scelta entusiasmante sotto ogni punto di vista. Promosso a pieni voti.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1OG4WHQY6PKY3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Fabio,"5,0 su 5 stelle",Recensito in Italia il 21 marzo 2025,"Pixel 9 Pro 512GB: un compagno di vita straordinario!
Sono assolutamente entusiasta del mio nuovo Pixel 9 Pro da 512GB! Fin dal primo giorno, questo smartphone ha superato ogni mia aspettativa, trasformando la mia quotidianità in un'esperienza incredibile.
La velocità è semplicemente sbalorditiva. I 16GB di RAM rendono ogni operazione fluida e reattiva, dal multitasking più intenso alle app più esigenti. Non c'è mai un momento di attesa, tutto è istantaneo!
Ma la vera magia avviene quando scatto una foto. Il comparto fotografico del Pixel 9 Pro è a dir poco eccezionale. Ogni immagine è un capolavoro, ricca di dettagli e colori vividi. Che si tratti di un paesaggio mozzafiato o di un ritratto spontaneo, il risultato è sempre sorprendente.

► L'intelligenza artificiale integrata nella fotocamera fa la differenza, ottimizzando ogni scatto in modo intelligente. Anche in condizioni di scarsa illuminazione, le foto sono nitide e luminose. Non vi sto nemmeno a raccontare tutte le mille funzioni che hanno aggiunto con integrazione del IA tipo la possibilità di fare un selfi con due foto diverse e poi aggiungere persone al suo interno o creare direttamente oggetti reali all'interno della nostro foto.

► Oltre alle prestazioni e alla fotocamera, apprezzo tantissimo il design elegante e la qualità costruttiva del Pixel 9 Pro. Si sente subito che è un dispositivo premium, realizzato con materiali di alta qualità. Io ho scelto il colore grey che è molto elegante, bello da vedere (vi invito a vedere le foto in allegato per rendervi conto di quello che dico).
L'interfaccia utente è pulita e intuitiva, e l'integrazione con i servizi Google è perfetta. Avere tutto a portata di mano, in modo così semplice e veloce, è un vero piacere. Ovviamente abbiamo la possibilità di aggiungere altri servizi diversi da google, la personalizzazione è alla base in questo cellulare.
In sintesi, il Pixel 9 Pro da 512GB è il miglior smartphone che abbia mai avuto. È un compagno di vita affidabile e performante, che mi aiuta in ogni momento della giornata. Se state cercando un dispositivo compatto, di design, top di gamma, con prestazioni eccezionali e una fotocamera straordinaria, non posso che consigliarvi il Pixel 9 Pro. Non ve ne pentirete! Senza parlare che produttore assicura fino a 7 anni di aggiornamenti software del sistema operativo.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RKXJX5T9II53U/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Simone,"5,0 su 5 stelle",Recensito in Italia il 19 agosto 2026,"Ottimo dispositivo per praticità di utilizzo e velocità.
Molto fluido nelle schermate.
Dopo anni non ravviso grandi difetti.
Qualche rallentamento nel passaggio da una schermata all'altra se particolarmente sovraccaricato dall'apertura di più app simultaneamente.
Foto di altissima qualità e zoom ad alte prestazioni.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1Y9G66DCSDEVG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Franco,"5,0 su 5 stelle",Recensito in Italia il 28 marzo 2025,"Devo dire che ero combattuto tra l'acquisto del Pixel 9 pro e dell'Iphone 16pro.
Dopo un'attenta valutazione, dettata soprattutto dall'uso personale e quotidiano, posso dire che sono pienamente soddisfatto della scelta fatta.
Partiamo dal comparto fotografico che non ha nulla da invidiare a nessun dispositivo in circolazione. Le foto sono sempre nitide, dai colori naturali e chiare anche con scarse condizioni di luce.
Stesso discorso per i video che anche se non sono al livello di un iPhone, per chi non ne fa uso professionale vanno più che bene.
Ero molto scettico sulla fluidità del processore ""tensor G4"" ma posso dire che sono rimasto più che sorpreso per come sia settato con il software e questo fa si che non ci sia mai un lag o un tentennamento anche in condizioni di stress.
Infine un ultimo ma non ultimo punto a favore di questo splendido smartphone è l' integrazione con l'AI Gemini che, a differenza di Apple,
indietro anni luce, almeno nel vecchio continente, ti dà un supporto nell' utilizzo quotidiano dello smartphone. Questo aspetto può solo migliorare dati i futuri sviluppi e gli aggiornamenti garantiti per 7 anni.
In conclusione penso che se si scelga un dispositivo Android questo sia il TOP per il giusto equilibrio che riesce a garantire sotto tutti i punti di vista.
Promosso a pieni voti!
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3TZ8JFBHVR1QB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Anto,"4,0 su 5 stelle",Recensito in Italia il 18 marzo 2025,"Il mondo Pixel mi ha sempre affascinato. Venendo da quasi 7 (!) anni con il mio fidato OnePlus 6 era arrivato oramai tempo di cambiare dispositivo. Compito non facile, il mondo Android e degli smartphone in generale ora non è lo stesso del 2018.

Alla fine la mia scelta è ricaduta su questo 9 Pro.

Cosa mi è piaciuto:

Design, form factor, ergonomia; Il dispositivo si tiene benissimo in mano e non è ostico da usare con una sola mano. I materiali sono piacevolissimi sia al tatto che alla vista. Nulla da invidiare rispetto ad altri top. Lo scalino della fotocamera non è così grande di persona e non comporta fastidio di nessun tipo quando si poggia il dispositivo, tuttavia è consigliabile prendere una cover disposta di un piccolo lasco perché a dire di molti la lente risulta facile da graffiare.

Il sensore di impronte è veloce e preciso in tutte le condizioni. Non mi manca affatto il sensore esterno del OnePlus. Non si può dire lo stesso per il caro alert slider, ahimè, per i lettori che hanno OnePlus.

Parte multimediale eccellente; audio, vibrazione, haptics, e display sono semplicemente fantastici, l'audio forse può risultare un filino metallico e freddo rispetto magari agli speaker iPhone, ma non manca assolutamente di qualità e definizione.

Diffidate da chi non trova processore e prestazioni all'altezza, andranno benissimo per il 99% degli utenti. Tutto è ottimizzato, fluido e reattivo. Così come la velocità delle memorie.

Comparto camere, quasi inutile a parlarne, si comportano benissimo in tutte le condizioni. C'è molto postprocessing dietro le quinte ed è evidente, ma le foto risultano sempre molto naturali, i video sono fluidissimi e stabili, forse i migliori nel mondo Android. Unica pecca sono forse la qualità dei dettagli; ovviamente per un uso social non fa differenza, ma mi aspettavo di meglio.

Non parlerò delle feature AI, vi toglierei tutto il gusto di scoprirle da voi. Ce ne sono molte di utili e molte sinceramente abbastanza gimmicky.

Cosa non mi è piaciuto:

Non mi piace la disposizione dei tasti volume sullo stesso lato del tasto d'accensione. Sarà una questione di abitudine ma capita spesso di premere involontariamente il tasto d'accensione quando si vuole invece alzare il volume.

Niente doppio tocco per bloccare lo schermo, tocca usare il pulsante d'accensione. Semplicemente, perché??

Tagli di memoria: ho optato per il 128 ma ho capito immediatamente perché la gente lo criticasse tanto. E io sfrutto la memoria abbastanza poco, praticamente solo foto e video. Tuttavia, la differenza di prezzo con il 256 è INACCETTABILE e ingiustificata. Non avrei mai pagato in nessun caso questo dispositivo più di 800 euro.

La confezione è molto scarna. Né blocco caricatore, né cover, neanche una plastica per proteggere il display, solo il cellulare e un cavo USB c - USB c. Male, male, tuttavia i tempi sono cambiati e molti (troppi) brand hanno optato per la via di Apple. Non farei tanto una critica a google per la mancanza del blocco se non fosse che comprato a parte sono 40 euro extra. Decisamente non ci siamo.

Gemini funziona bene ma non ha ancora tutte le funzioni di assistant quindi per assurdo le operazioni più routinarie risultano più ostiche. Ah, e ovviamente tutti i vostri dati sono usati per allenare l'AI di Google, che vi piaccia o no. Il lupo perde il pelo ma non il vizio.

Nel complesso il dispositivo è un bell'upgrade dal mio precedente smartphone, soprattutto sotto la parte multimediale. Se Google avesse più considerazione dei suoi clienti Pixel darei tranquillamente 5 stelle.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2GHIP1FWISS1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Luca,"5,0 su 5 stelle",Recensito in Italia il 22 settembre 2025,"Smartphone eccellente: velocissimo, fluido e con un display spettacolare. La fotocamera è semplicemente tra le migliori sul mercato, sia di giorno che in condizioni di scarsa luminosità. L’integrazione con l’intelligenza artificiale di Google rende l’esperienza ancora più completa e intuitiva. Batteria buona, design elegante e materiali premium. Un top di gamma che vale ogni euro.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1UC04DR3SEQDT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Pietro ,"5,0 su 5 stelle",Recensito in Italia il 19 settembre 2024,"Dopo anni di Pixel buoni ma non eccezionali, Google ha finalmente fatto centro con il Pixel 9 Pro. Questo smartphone è un vero gioiello, con un design elegante, un display mozzafiato e prestazioni al top.
Cosa mi ha colpito di più:
* La fotocamera è semplicemente incredibile. Le foto sono nitide, dettagliate e ricche di colori, anche in condizioni di scarsa illuminazione. La modalità Ritratto è la migliore che abbia mai provato, con sfocature naturali e realistiche.
* Il display Super Actua è uno spettacolo per gli occhi. I colori sono vivaci e realistici, e la luminosità è sufficiente anche sotto la luce diretta del sole. La frequenza di aggiornamento a 120 Hz rende l'esperienza utente fluida e reattiva.
E soprattutto il design e la compattezza che non mi fanno rimpiangere nessuno telefono.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3DVBEYHFEABUN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,𝘬ꪹꫀꪶ,"3,0 su 5 stelle",Recensito in Italia il 30 marzo 2025,"ASIN B0D7V15X51 - ACQUISTATO IL 26/03/2025 PER EURO 899 - 256 GB - RECENSIONE IN AGGIORNAMENTO

Provengo da un Google Pixel 7Pro che ha iniziato a disfunzionare a un mese dalla scadenza della garanzia. Equivocando il difetto con un problema software, casualmente, inaspettatamente si spegneva il display e non si riattivava. Successivamente, casualmente, si spegneva il telefono e l'impossibilità ad accendersi perdurava anche per ore.
Per non perdere l' uso del telefono mandandolo prontamente in assistenza ad Amazon o a un centro Google, alla fine del periodo di garazia mi sono ritrovato con un dispositivo da 900 euro totalmente inaffidabile oltre che fuori garanzia: fino a 500 euro l'eventuale riparazione.
---

Il formato più piccolo rispetto al precedente Pixel 7 Pro rende il Pixel 9 Pro facilmente maneggevole al prezzo di caratteri più piccoli, meno leggibili per chi ha problemi di vista.

La scocca è compatta, elegante, priva dei bordi arrotondati che qualche hanno fa erano motivo di prestigio e distinzione, rivelandosi con l'uso scomodissimi. Il frame è d'alluminio. A mio parere sporge eccessivamente e sgradevolmente dalla scocca il comparto fotografico, che può essere in parte dissimulato con la cover. (Nel mio caso ASIN B0D986WG88 - vetro ASIN B0DB5S6TX7)

E' scivoloso, ma non come il Pixel 7 Pro. Veloce. Luminosità e colori buoni ma non straripanti come Samsung o Realme, durata della batteria dopo sei mesi solo accettabile: arriva a malapena a sera a condizione di non utilizzare troppo gps o tethering. Fotocamera buona come il precedente Pixel: le foto sono di qualità, ma non paragonabili a smartphone dedicati specificatamente alla fotografia. Soffre di una mancanza costruttiva, di uno ""scalino"" nello zoom - non lineare nell'ingrandimento. Volume basso. Alcune novità - a a mio parere - inutili.

Non ha un chipset specificatamente realizzato per giocare, ma per tutto il resto è un telefono sobrio, equilibrato, privo di bloatware a parte qualche app Google di troppo non disistallabile perché installata nella memoria di sistema, costoso. Scalda molto col gps attivo, col thetering, o con l'uso intensivo. E la custodia non aiuta...
Spero almeno che duri più di ventitrè mesi.
---
"
https://www.amazon.it/portal/customer-reviews/srp/-/R31PMLNVYQAOKG/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Marco Marchetti,"4,0 su 5 stelle",Recensito in Italia il 25 ottobre 2024,"Ho comprato il Google Pixel 9 Pro 9 dopo aver usato il Pixel 7 Pro per qualche anno e devo dire che mi trovo veramente bene.
Il costo è veramente alto ma è l' ""experience"" che conta (almeno è quello che mi dico io dopo aver speso 1k per un telefono..)
Il senso di avere un top di gamma può essere solo quello di avere un telefono che fa bene anche le cose semplici, anzi le fa meglio del resto dei telefoni. Devo dire che per ora è così. Di seguito un breve elenco delle caratteristiche positive e negative:

Pro:
Design e qualità costruttiva:
- Elegante come un Iphone: design minimale con 4 colorazioni
- Displey OLED da 6.3 pollici fino a 120 Hz: il refresh rate è adattivo in modo da risparmia la batteria e la risoluzione si può abbassare in base alle necessità (da QHD+ ad HD)
- Ottima luminosità e LTPO OLED: neri profondi e un buon contrasto

Prestazioni e Software:
- Memoria da 256 (consigliata, non di meno)
- 16 GB di RAM (è il minimo ed è rapido)
- 7 anni di aggiornamenti del sistema operativo, della sicurezza e di Pixel Drop

Batteria:
- 4700 mAh (basta per una giornata e mezza con un medio utilizzo)
- Ricarica rapida a 45 W (in 30 minuti ricarica più del 55%, ma ormai è comune anche in prodotti di fascia medio-bassa)
- Ricarica Wirless (ottima)
Mi dura quindi tutto il giorno ed oltre. Nulla da ridire.

Altro:
- Ottimo audio stereo: si sente bene anche nelle chiamate in vivavoce
- Divertenti le funzionalità software delle fotocamere che con l'AI ti aggiungono nelle foto se non c'eri.

Contro:
- Comparto fotografico come modelli precedenti: buono ma non eccezionale (tranne per i video stabilizzati).
- Costo elevato
- Blocco schermo con pellicola in vetro non troppo efficiente
- Gemini Advanced: Inutile

In conclusione è un buon telefono ma a quel prezzo passerei ad Iphone per la prima volta in vita mia.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2YLMLQMELPYVY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,giuseppe_milella_fotografia,"4,0 su 5 stelle",Recensito in Italia il 16 maggio 2025,"Premetto che ho scelto questo telefono specificatamente per il comparto foto e video e da questo punto di vista ne sono molto soddisfatto.
Le foto infatti sono molto nitide e ben definite e con la modalità raw si riesce anche a lavorarle piuttosto bene con lightroom. Da questo punto di vista consiglio però di eliminare come primo passaggio del vostro editing il profilo interno di google in quanto questo va a rendere la foto troppo soffice eliminando molti dettagli (per farlo ci vogliono un click e lo slider da mettere a 0).
Per il resto le ottiche fanno un buon lavoro anche in condizioni di luce scarsa (ovviamente non possiamo pretendere miracoli essendo sempre un telefono e non una macchina fotografica ma con qualche piccolo accorgimento e qualche furbizia si riesce ad ottenere comunque un buon risultato).
Anche l'audio nei video è buono in quanto l'IA lavora abbastanza bene nel correggerlo e migliorarlo.

Non ho trovato particolari problemi con il processore (ma non faccio chissà che utilizzo specifico per cui stressarlo più di tanto).
Ottime anche le dimensioni del dispositivo in quanto mi serviva un telefono compatto e non un padellone.

Unico contro la batteria non mi sembra super performante, ma vabbè fai un po' di attenzione a ricaricarlo e fine.

Infine consiglio di prendere la versione con 512GB di memoria. Io ho la 256GB e tornando indietro me lo prenderei con più memoria in quanto foto e video sono ben definite e tutto, ma anche abbastanza pesanti
"
