Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/RBLB0UB2ZST9W/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,dottoressagio,"5,0 su 5 stelle",Recensito in Italia il 26 luglio 2026,"Smartphone fantastico sotto ogni punto di vista! Reattività incredibile grazie ai 12GB di RAM e spazio d'archiviazione virtualmente infinito con 512GB. Il comparto fotografico scatta foto nitidissime ed eguaglia modelli molto più blasonati. Batteria che copre tranquillamente la giornata. Promosso a pieni voti!""
"
https://www.amazon.it/portal/customer-reviews/srp/-/RE5NT5D34KVB5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,corti,"5,0 su 5 stelle",Recensito in Italia il 24 gennaio 2025,"Telefono preso in offerta a un prezzo ottimo (430 euro), arrivato nei tempi previsti e che davvero mi piace molto. Vengo da un Motorola Neo 40 (che invece mi aveva deluso tantissimo) e devo dire che c'è una differenza abissale. Questo Honor è praticamente notevole in tutto: software (molto fluido), connettività (es. Android Auto WiFi funziona molto bene), batteria (che dura molto e arriva a sera ancora con abbastanza carica), foto (molto belle) e sopratutto segnale (che sia in 5g che in 4g è sempre ben presente, anche in casa mia, che è quasi un bunker). Quest'ultimo (il segnale) è forse la differenza maggiore con il precedente Motorola (che invece non prendeva mai e le telefonate erano sempre un'odissea). Tra l'altro questo Honor offre la possibilità di fare chiamate WiFi, opzione davvero molto comoda e che funziona benissimo. Ho avuto piccolo problema con il Volte e internet che si staccava durante chiamate che iniziavano in 5g e poi migravano su 4g (o altra rete), che ora sembrano risolti. Ad ogni modo, al momento sono pienamente soddisfatto: ritengo questo cellulare uno dei migliori acquisti che ho fatto e lo consiglio fortemente.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RFEJPRYW6N9LQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Mister,"5,0 su 5 stelle",Recensito in Italia il 24 maggio 2026,"Ottimo telefono senza pretendere eccessivamente... Per intenderci le foto sono buone ma ovviamente c'è di meglio ma anche a prezzi decisamente superiori
"
https://www.amazon.it/portal/customer-reviews/srp/-/RJ6G7SW7P8F58/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Salvatore,"4,0 su 5 stelle",Recensito in Italia il 16 gennaio 2025,"Il telefono l'ho regalato a mia figlia con grande paura in quanto molto esigente da un punto di vista fotografico. L'esame è stato pienamente superato in quanto lo smartphone si comporta molto bene con le foto sia in diurna che in notturna o con poca luce.
L'altra cosa che mi preoccupava è lo schermo curvo (abbiamo avuto sempre telefoni a schermo piatto) ma devo dire che la curvatura non è eccessiva e il display si vede molto bene. Tanta memoria, le prestazioni sono ottime. Do 4 stelle (invece di 5) per via di qualche piccolo bug software (ad es. l'app della galleria di Honor ci impiega tanto a rendere disponibile una foto dopo averla scattata - per fortuna se si usa quella di Google questo ritardo non è presente. Probabilmente risolveranno con qualche aggiornamento di sistema). Inoltre manca una cover (che ho dovuto comprare a parte) che, secondo me, dovrebbe essere inclusa a prescindere in quanto il telefono, senza cover, mi sembra piuttosto scivoloso.
Dunque consigliato a chi vuole fare ottime foto e ha bisogno di tanta memoria (qui ci sono 512Gb) oltre a prestazioni veloci e un'ottima batteria (a proposito, per caricarlo velocemente occorre comprare il caricatore da 100W non incluso)
"
https://www.amazon.it/portal/customer-reviews/srp/-/R252INETQ72VDL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Jonathan,"5,0 su 5 stelle",Recensito in Italia il 4 gennaio 2026,"Mi sono informato tanto su vari modelli sotto i 500€, e questo è il migliore, chip top, schermo top, batteria duratura, fotocamera da paura (il sensore centrale, quello grandangolare nella media) le foto e i video di botte top. Super consigliato
"
https://www.amazon.it/portal/customer-reviews/srp/-/RNQ6MBWOUCVX6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Montaser M.,"3,0 su 5 stelle",Recensito in Italia il 21 dicembre 2024,"The phone is great completely fast stable and really nice pictures but the battery completely sucks , it drains alone even after I closed all background apps and I reduced a lot of stuff and still drains quickly which it's not acceptable maximum for the battery is 3 hours I only used the camera, I compared the battery with my old phone and my old phone far more better than the Honor battery like one percent of the old phone remains around 50 minutes but the honor every 8 minutes dropped , just make sure to get the right health phone guys
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3KBXGGEOFV85F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Emanuela,"5,0 su 5 stelle",Recensito in Italia il 8 novembre 2025,"Avevo già provato Honor e mi sono trovata bene, quindi ho deciso di provare anche questo modello e devo dire che è perfetto, oltre alle prestazioni c'è da dire che sono telefoni che non si rompono manco se li butti giù dal 6 piano
"
https://www.amazon.it/portal/customer-reviews/srp/-/R4O03FZ1VM0OF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Flavio Biscaro,"5,0 su 5 stelle",Recensito in Italia il 15 dicembre 2025,"Ottimo acquisto funziona molto bene
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2QKJVP6HNOE7E/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Utente medio,"4,0 su 5 stelle",Recensito in Italia il 15 gennaio 2025,"premessa: se non siete smanettoni e fate caso poco a certe esigenze, è 5 stelle legittime.
Molto potente e molto bello anche esteticamente. Navigazione, utilizzo di apps pesanti, batteria, ricezione, qualità delle chiamate, versione di Android (14) tutto davvero molto bene, reattivo e impeccabile. Ottimo schermo, belle le foto. Insomma un quasi top di gamma ad un prezzo contenuto. 512gb di memoria e ben 12gb di RAM lo rendono davvero carrozzatissimo, per non parlare del processore davvero top. Ci sono alcune cose migliorabili, che si spera arrivino nel corso degli aggiornamenti, relativi direttamente al MagicOS forse non troppo intuitivo, vecchio nell'impaginazione e nella gestione della home, e con qualche pecca anche nella gestione immediata del pannello di controllo (troppo grande, poco o quasi per niente personalizzabile). Per chi lo usa per lavoro come me con obblighi anche di sicurezza esecutiva, può essere un po' fastidioso, nulla però di trascendentale. Nel complesso gran bello smartphone con una dotazione hardware da paura a questi prezzi.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1B4U71CCJ569L/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,PIERLUIGI,"4,0 su 5 stelle",Recensito in Italia il 4 novembre 2025,"Ottimo smartphone
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1Q61VDY2PBU16/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Ivan,"4,0 su 5 stelle",Recensito in Italia il 30 luglio 2025,"Lo sto usando da qualche mese e devo dire che non delude sotto ogni aspetto. Buona la fotocamera e la velocità del processore abbinato a tanta memoria. Per non parlare dello strage interno...
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3DVQBFXO8LBEI/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Salvatore,"3,0 su 5 stelle",Recensito in Italia il 12 novembre 2025,"Dettaglio Critico: Video in Scarsa Luce
Se da un lato la fotografia standard e i ritratti (soprattutto con il teleobiettivo) sono di altissimo livello grazie all'ottimo hardware e all'elaborazione software, lo stesso non si può dire per la registrazione video, in particolare di sera o in condizioni di scarsa illuminazione.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R24K8KYUFO8LHF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Doina Mihai,"5,0 su 5 stelle",Recensito in Italia il 5 marzo 2026,"Grazie
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2C03A2JAX96P0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Ciprian Agachi,"5,0 su 5 stelle",Recensito in Italia il 15 novembre 2025,"Ormai e più di un anno che lo sto usando ed è perfetto. Nessun calo della batteria e ne delle prestazioni. Honor non si smentisce!
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2O0J7H773UW78/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Giovanna,"3,0 su 5 stelle",Recensito in Italia il 11 febbraio 2025,"Lo smartphone è reattivo, veloce, con ottimo rapporto qualità/prezzo, ma... Schermo che sfarfalla con alcune app (contattata assistenza Honor non appena rilevato il problema, dopo due soli giorni) eliminato launcher installato, che funziona con ogni altro dispositivo Samsung, ma il problema persiste, nonostante riavvii e vari opzioni di ripristino
. Inoltre, a volte lo schermo non risponde al tocco. Se non appena installate le app e testato lo smartphone presenta questi problemi, ho deciso di non chiedere la sostituzione ma effettuare il reso.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RVSHRF6HX6T33/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Soncinm,"5,0 su 5 stelle",Recensito in Italia il 4 dicembre 2025,"Ottimo ad un prezzo ragionevole
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1FVF3P9RDQXXZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Maurizio,"2,0 su 5 stelle",Recensito in Italia il 20 gennaio 2025,"E' stato un regalo ricercato per le sue caratteristiche di doppia Sim, batteria qualità dello schermo etc.. Purtoppo chi ha ricevuto il regalo non ha riscontrato quanto detto poichè ha riscontrato numerosi difetti che ne impediscono l'uso in alcune situazioni. La vibrazione non funziona per entrambe le schede, il collegamento al Bluetooth della macchina funziona solo per una scheda sim e non rispetta la scelta, la batteria non dura molto. Chiamata l'asssistenza mi conferma che ci sono queste problematiche al mio cellulare e che sono state riscontrate anche per altri utenti. Dopo numerose mail e telefonate dovrò restituirlo
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2RMSDDN0NAOJE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Santo,"3,0 su 5 stelle",Recensito in Italia il 1 gennaio 2025,"Batteria nella media, la carica non dura assolutamente 24 ore ma non più di 12 ore, confezione scarna manca pure il carica batteria, nessuna cover, per il resto debbo ancora valutare.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1VWNNZJK7BP1U/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Alcor,"5,0 su 5 stelle",Recensito in Italia il 4 maggio 2025,"Non costa molto e ha prestazioni da top di gamma. Dopo vari mesi di utilizzo non mi ha mai dato problemi.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2CXGHFH37B6V3/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Marco,"5,0 su 5 stelle",Recensito in Italia il 21 dicembre 2024,"Nulla da invidiare a marche più famose, anzi lo ritengo superiore. Comparto fotografico eccezionale, così come la durata della batteria e lo schermo. Pienamente soddisfatto.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2L3TAKSRIBI1O/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,elena.carsillo,"3,0 su 5 stelle",Recensito in Italia il 26 dicembre 2024,"Il prezzo eccessivo in base alle reali prestazioni
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2NA07WR9FW2OL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Antonio,"5,0 su 5 stelle",Recensito in Italia il 6 dicembre 2024,"Consiglio l'acquisto di questo smartphone a chi cerca un prodotto equiparabile ai top di gamma.
Molto veloce, ottima ricezione, ottime fotocamere.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2EDFIFEVUJXXS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Vincenzo,"5,0 su 5 stelle",Recensito in Italia il 3 giugno 2025,"Ottimo telefono bellissima fotocamera specialmente
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1MCHT4K77F4X2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Valerio,"5,0 su 5 stelle",Recensito in Italia il 27 dicembre 2024,"Durata della batteria impressionante. Design in linea con i tempi e ottima fotocamera, sia interna che esterna.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1SB2G85IGXEAZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,gianluca,"2,0 su 5 stelle",Recensito in Italia il 25 gennaio 2025,"Mi riservo di testarlo un paio di giorni altri sperando che si assesti ma lato batteria faccia appena 5ore di schermo vedrò ....prodotto reso perché oltre al problema della durata della batteria anche il sensore di prossimità 9 volte su dieci non va
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2XOS03EKVRND6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Milli Burini Mirco,"5,0 su 5 stelle",Recensito in Italia il 24 febbraio 2025,"Uno dei migliori telefoni che abbia mai avuto.
Promosso in tutto.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RM7R2J2K0G23P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Giampiero A.,"5,0 su 5 stelle",Recensito in Italia il 13 dicembre 2024,"Va alla grande e avendo avuto Huawei mi ci trovo benissimo ottimo comparto fotografico
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2HPBZYNZOE2X2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Claudio,"1,0 su 5 stelle",Recensito in Italia il 18 gennaio 2025,"Ho voluto testare questo smartphone tanto decantato e toccare con mano. Fotocamere top e su questo siamo d'accordo. Batteria drena come una spugna, software per carità, instabile, quando voglio chiudere tutte le attività alcune rimangono sempre aperte, giochi come pubg 1 volta su 3 in fase di caricamento si blocca. Ancora non si aggiorna a Android 15, non ha sensore di prossimità fisico, arriva senza caricabatterie e cover. Ne avrei da dire dalla delusione (reso dopo pochi giorni) ma preferisco godermi il mio Motorola Edge 50 pro col quale l'ho messo a confronto e vi assicuro nonostante soc inferiore, di non notare alcuna differenza.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3LQWCMM2E6QTJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Cliente Amazon,"5,0 su 5 stelle",Recensito in Italia il 11 marzo 2025,"Articolo corrispondente a quanto offerto
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1BBWBQ2983L5H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Carmelo,"5,0 su 5 stelle",Recensito in Italia il 8 gennaio 2025,"Ottimo prodotto
"
https://www.amazon.it/portal/customer-reviews/srp/-/R15VFCH66OGRZX/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,lety,"1,0 su 5 stelle",Recensito in Italia il 6 giugno 2025,"Neanche due mesi di utilizzo dello smartphone lo schermo presenta difetti di visualizzazione molto fastidiosi alla vista
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2ZXZNAJMYI0P6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Baronz,"5,0 su 5 stelle",Recensito in Italia il 11 ottobre 2024,"Premesso che si può trovare a molto, molto meno del prezzo di listino, ottime foto, rapido e con una batteria davvero ottima che dura tutto il giorno anche usandolo tanto.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RV4O9K6462EKJ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Mocott,"3,0 su 5 stelle",Recensito in Italia il 13 dicembre 2024,"Ho acquistato il terminale tramite sito HONOR e non Amazon, lascio questa recensione sperando serva a fare una scelta consapevole.
Chiaramente tutti gli appunti sono orientati al mio modo di interpretare lo smartphone, ovvero multitasking compulsivo, personalizzazione e comparto fotografico; sono interessato a giochi di realtà aumentata senza entrare nella diatriba sui frames al secondo.

Premetto che provengo da OnePlus 8T e non ho scelto nuovamente OnePlus perché volevo finalmente avere uno smartphone con un comparto fotografico decente senza superare la soglia dei 500 euro e, da questo punto di vista, ci ho preso... le foto sono stupende.

Le prestazioni della batteria, basandomi su un utilizzo misto ma compulsivo di giochi e multitasking (inteso come 2 app aperte e attive contemporaneamente) strappano la sufficienza; rinunciando ai 120Hz dello schermo, diminuendo le pretese dei giochi e limitandomi giusto un peletto, ho raggiunto un compromesso adatto alle mie esigenze. Tenete comunque presente che con un uso moderato la durata della batteria può coprire l'intera giornata (e oltre) anche con i 120hz attivi.

Nella confezione mancano caricatore e cover (quindi se vuoi la ricarica a 100W sono altri soldini -che portano circa a 480 euro quanto ho pagato per il pacchetto completo-) ma c'è il cavo del caricatore.

La Magic UI necessiterebbe di essere svecchiata e ottimizzata; vengono installate le solite app clone di quelle di Google: telefono, contatti , health, market, che ti affretti a cestinare... ma niente di imposto.
È un telefono apparentemente orientato alle funzioni di intelligenza artificiale , che però sembrano ancora acerbe e fini a se stesse... però non essendo un chattatore compulsivo potrei non essere il target giusto per le funzioni di IA.
A chi utilizza un launcher alternativo (nello specifico Nova) vengono cassate alcune delle funzioni multitasking, tra le quali la killer feature che cito in fondo alla recensione.

Come (ex) utilizzatore di Nova Launcher , concedetemi di lamentarmi dell'interfaccia grafica stock, che mi fa piangere l'anima...
- previsti solo due layouts, costringendo a diluire icone e widget su più pagine
- l'apertura delle cartelle è solo a tutto schermo (awrgh!); il layout grafico della cartella è uno solo (cartella con max 9 piccole miniature del contenuto) e, anche se c'è la possibilità di ingrandire la dimensione della cartella a schermo, tra un elemento e un altro c'è un sacco di spazio inutilizzabile, poca compattezza.
- se scegli di avvalerti del cassetto applicazioni, c'è solo il triste guazzabuglio in ordine alfabetico
- lo spegnimento schermo è legato al tap di un'icona e non a un generico doppio tap di una parte libera dello schermo
- il gestore temi , che sembra far personalizzare tutto, in realtà non permette l'applicazione di icon packs del play store Google se non tramite ulteriori operazioni fatte con app di terze parti (ho usato Peafowl nel mio caso).

Queste invece le poche limitazioni della Magic UI (che ci sarebbero anche con un launcher di terze parti):
- notifiche e pannello di controllo sono esclusivamente separati
- il menu a comparsa laterale per il multitasking ha una sola colonna a scorrimento (solo 7 app visibili senza scorrere, su OnePlus c'erano ben 2 colonne)
Comunque, chi è già abituato a launcher stock gli svantaggi appena citati sono la normalità , per cui potrebbe non esserci la mia stessa ""sensibilità"" sull'argomento.

Dulcis in fundo, la killer feature, cioè la funzione che per me vale il ""prezzo del biglietto"": ebbene, è una semplice gesture legata al multitasking (e non so nemmeno se sia esclusiva di questo smartphone) che permette, trascinando qualsiasi app in primo piano dal basso verso uno dei due angoli superiori dello schermo, di dividere lo schermo o (in alternativa, ed è la cosa dirompente) di ridurla a miniatura lasciandola in esecuzione, liberando contemporaneamente 11/12 dello schermo.
É come avere a disposizione con un gesto la miniatura picture in picture di YouTube (senza però il video a tutto schermo, va detto ) e, in generale, di tutte le app che non la prevedono... quindi l'app miniaturizzata può efficacemente fare (almeno) da sottofondo audio all'app principale limitando pochissimo l'ingombro.

Questo power-up del multitasking, non mi fa rimpiangere né l'aver abbandonato Nova Launcher né il mio caro vecchio Oneplus.

A voi la scelta!
"
https://www.amazon.it/portal/customer-reviews/srp/-/R54BEF9TXP6TM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Paolo,"2,0 su 5 stelle",Recensito in Italia il 30 luglio 2025,"cliente huawei da decenni, sempre soddistaffo, il mio ultimo modello, il nova 5. perfetto, prendo questo gioiello, la batteria mi dura uguale, si ottime foto e prestazione, fluido e veloce, ma scalda e si blocca e si riavvia una volta alla settimana di media, con il nova mai sucesso in 4 anni
"
,Diego,"5,0 su 5 stelle",Recensito nel Regno Unito il 1 novembre 2025,"Excellent phone, fast, reliable
"
,Alberto Modelo Martínez ,"5,0 su 5 stelle",Recensito in Spagna il 29 gennaio 2025,"Hasta ahora un gran móvil que no tiene nada que envidiar a teléfonos de gama alta. Las fotos son buenísimas, muy rápido y con una carga inalámbrica estupenda y potente lo cual es un plus con respecto a otros del mismo rango de precios que no la tienen
"
,Amazon Kunde,"5,0 su 5 stelle",Recensito in Germania il 15 agosto 2025,"Honor als ehemalige Tochtergesellschaft von Huawei hat die gleichen Features wie Huawei nur hat auch Google bzw. ist Android Handy. Sowohl Huawei als auch Honor sind die besten Handys (ich habe lange auch Apple und auch Samsung verwendet). Die Kamera ist perfekt, AI-Aufnahmen, Dual-Videoaufnahmen mit vordere und hintere Kamera gleichzeitig... Einfach unschlagbar, vor allem mit dem Kaufpreis für das alles!
"
,Illya Baranyuk,"5,0 su 5 stelle",Recensito in Spagna il 22 gennaio 2025,"This is the best choice for its price.  Convenient, fast, with an excellent camera.  With active use while traveling, charging lasted a little more than 10 hours. Absolutely love it."
,ioh,"5,0 su 5 stelle",Recensito in Germania il 29 maggio 2025,"Bin super zufrieden, macht wahnsinns Fotos, toller Portrait Modus, macht Spaß mit dem Handy Fotos zu machen. Lass gerne meine Kamera zu Hause, seitdem.
"
,lukasz,"5,0 su 5 stelle",Recensito nel Regno Unito il 29 agosto 2024,"The Honor 200 Pro is an excellent smartphone! It offers a sleek design, impressive camera quality, and a smooth user experience. The battery life is fantastic, lasting all day even with heavy use. The display is vibrant and clear, making it great for watching videos and browsing. Overall, a great choice for anyone looking for a high-performance phone at a reasonable price.
"
,Mohamed Chafi,"4,0 su 5 stelle",Recensito in Spagna il 7 febbraio 2025,"Llevo una semana con este móvil y puedo decir q va muy bien fotos, audio, las video llamadas super claras  la carga me dura bastante,  lo recomiendo estoy muy contenta lo malo es q no trae cargador por lo demás bien"
,omar.alkassar,"5,0 su 5 stelle",Recensito in Germania il 18 giugno 2025,"Ausgezeichnete und höhere Qualität
"
