Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/R25SJKT69KEVQO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,stefano,"5,0 su 5 stelle",Recensito in Italia il 23 agosto 2026,"Ottimo telefono, con molte chicche presenti solo sui motorola, come l'azionamento torcia o fotocamera con uno semplice scuotimento!
"
https://www.amazon.it/portal/customer-reviews/srp/-/R34JPRUK6A0RP4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Janeeyre,"5,0 su 5 stelle",Recensito in Italia il 17 novembre 2025,"Esteticamente bello. Bel colore . Custodia comoda in tinta compresa. Non c'è il caricabatterie. Molto fluido, veloce. Foto buone. Batteria discreta.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R47C7N4XYXDI6/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Savio ,"5,0 su 5 stelle",Recensito in Italia il 25 agosto 2026,"Questo telefono è incredibile, la batteria dura anche in condizioni estreme (sotto al sole cocente) , mi è caduto a terra parecchie volte seppur com la cover ma anche senza pellicola e tutto apposto, ormai da più di un anno
Tanta roba
"
https://www.amazon.it/portal/customer-reviews/srp/-/R190WYOVDNRP23/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,LinTi,"4,0 su 5 stelle",Recensito in Italia il 9 marzo 2026,"Partiamo subito col dire che IL CARICABATTERIE NON È INCLUSO nella confezione e questo è l unico motivo per cui ho messo 4 stelle, comunque poco male visto che ho un altro device Motorola e sono pieno di qualsivoglia caricatore e powerbank di precedenti device. A parte questo particolare il telefono per il prezzo pagato è davvero un best buy soprattutto per il suo rapporto qualità prezzo. È molto reattivo, l audio si sente benissimo sia in capsula che in viva voce, unico appunto riguarda i bassi non troppo profondi ma suono davvero cristallino. Foto buone, non è un cameraphone ma le foto di giorno vengono bene. La vibrazione sul tastierino è un po molle ma a me non dispiace. La custodia è appena sufficiente e plasticosa e va a coprire la parte gommata ben piu gripposa della scocca, consiglio di non usare la sua cover ma di acquistare una in silicone aftermarket oppure tpu a portafoglio. Video bellissimi e display con colori vivaci e luminosita buona. I caricamenti social sono rapidi e senza impuntamenti, in 4G dipende un po dal segnale che tuttavia é buono in ogni area della casa. La sua confezione è profumatissima e contiene, oltre al telefono, i manuali, il pin di estrazione sim e un cavetto usb c/c. Consegna in 1 giorno e prezzo pagato 169,00 € per me un best buy seppur di 2 generazioni precedenti.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R5OJOS7V8NELY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Cliente Amazon,"5,0 su 5 stelle",Recensito in Italia il 29 ottobre 2025,"Inizialmente ho preso un colpo,non dava segni di vita,collegato al caricabatterie e nulla..ho contattato il centro assistenza Amazon e mi hanno detto di pazientare lasciando in carica almeno mezz'ora.Ha funzionato,in circa 40 Min poi si è caricato.Strano, è il primo dispositivo che trovo con batteria a 0.Comunque, è un signor Smartphone!Un processore di tutto rispetto che ci permette versatilità sotto ogni aspetto,comparto fotografico,molto buono all'esterno,un po' meno in ambienti molto bui o fatte in casa con poca luminosità.L'archiviazione è più che sufficiente,8 GB RAM oltretutto espandibili a 16, ma non lo trovo necessario; è un fulmine già così.Schermo bellissimo OLED curvo a 144 hrz non si impunta mai,colori brillanti,immagini perfette.Vetro gorilla glass 5 e in più ip68 puoi immergerlo in acqua fino a qualche metro x circa mezz'ora ( magari si vuole fare un video al mare)Bellissima backcover un effetto gommato, similpelle con ottimo grip.A sto prezzo?? Un Ultra buy!
"
https://www.amazon.it/portal/customer-reviews/srp/-/R16YRPQF6QDVZT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Cliente Amazon,"1,0 su 5 stelle",Recensito in Italia il 7 ottobre 2025,"Caricabatterie mancante, anche se elencato nella descrizione prodotto. Il venditore mi ha risposto con un messaggio di repertorio dicendo che non c'è a causa di una normativa europea del 2024... Ma ancora ad ottobre 2025 il prodotto viene pubblicizzato con incluso il caricabatterie e l'assistenza Amazon ha detto che avrebbe fatto una segnalazione, invece ad oggi è ancora in descrizione.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2PMF3X7RV1H20/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Marina,"3,0 su 5 stelle",Recensito in Italia il 26 ottobre 2024,"Ho acquistato il telefono quasi due mesi fa, spinta dal prezzo accessibile e dalle ottime recensioni viste in giro per il web, ma purtroppo devo dire che mi aspettavo di meglio.

Il telefono in sè è molto bello, leggero e maneggevole, ed è ciò che inizialmente mi ha spinto a non effettuarne il reso, ma un po' ora me ne pento.

I problemi riscontrati finora sono i seguenti:
- qualità del microfono molto bassa. All'inizio non me ne rendevo conto perché riascoltando le note vocali che inviavo io le sentivo molto bene, ma immagino fosse perché gli altoparlanti del Motorola sono potenti. Se ascoltavo le stesse note da un telefono diverso (anche di fascia superiore) si sentivano pianissimo, a volte ciò che dicevo risultava quasi incomprensibile. Ed effettivamente, guardando il grafico delle note audio, anche visivamente si vedeva che barrette erano davvero molto basse. Ho anche fatto delle prove registrando un audio contemporaneamente da due telefoni diversi, messi l'uno accanto all'altro, e la differenza è incredibile. Cercando online ho visto che un problema comune. Anche togliendo la rimozione dei rumori di sottofondo come suggerito online, la situazione non è particolarmente migliorata. Per poter inviare delle note chiare, devo tenere il telefono vicinissimo alla bocca. Idem per le chiamate.

- il telefono non sembra recepire le impostazioni che setto: ad esempio, ho tolto la carica rapida ma quando lo metto in carica risulta sempre essere la turbo ed in 40 minuti il telefono è già al 100%. Limito il background di alcune app, ma poi mi ritrovo lo stesso consumi in background per oltre 16 ore. Sarà un difetto del mio?

- spesso non carica le app al primo avvio (quando provo ad aprirle, la pagina rimane bianca con visibile sono l'intestazione della stessa ma il resto del contenuto è bianco). Se chiudo e riapro le riapre correttamente.

Considerato che non cambiavo telefono da ben 7 anni e viste le recensioni online, mi aspettavo un telefono di qualità migliore.
Non so se sono stata sfortunata io e ho trovato un modello difettoso, ma allo stato attuale devo dire di preferire ancora il mio precedente telefono (un Sony XZ premium) - nonostante l'età e l'assenza di aggiornamenti - sia per le prestazioni generali che per la qualità delle foto e dei video.

Lato positivo: la batteria del Motorola dura quasi due giorni (a volte è arrivata a 7/8h di schermo).
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1VDPM0S2VZZVN/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Francesca Ciolino,"5,0 su 5 stelle",Recensito in Italia il 21 luglio 2026,"Uno dei migliori telefoni mai acquistati on-line
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3IGUVGC9UJ193/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,vincenzo,"4,0 su 5 stelle",Recensito in Italia il 10 luglio 2026,"Ottimo telefono a un prezzo conveniente, per le caratteristiche che offre. Sono rimasto molto soddisfatto della qualità della fotocamera. Nella confezione non ho trovato il caricabatterie ma solo il cavetto type-c. Lo consiglio comunque.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3I7IK1ZN9ZDWC/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Barbara G.,"4,0 su 5 stelle",Recensito in Italia il 29 settembre 2025,"Dopo tre settimane con il mio Moto Edge 50 fusion posso dire che è stato un acquisto azzeccato (dopo la delusione di un altro telefono con processore MediaTek Dimensity).

Se cerchi un telefono fluido, dal design curato e con un'esperienza Android quasi da flagship, questo è il miglior compromesso tra costo e performance.

Processore:
Il processore Snapdragon 7s Gen 2 fa davvero la differenza. L'apertura delle app è immediata, il multi-tasking non lo rallenta e la gestione generale del sistema è sorprendentemente reattiva.

Display e design:
Lo schermo pOLED curvo è spettacolare: colori vividi, ottima leggibilità, niente fluttering con HDR. Il design è davvero premium. Arrivato con custodia abbinata e caricatore di 68W (mercato italiano). Pronto all'uso.

Batteria e ricarica:
L'autonomia è ottima. Mi porta a sera anche con uso intenso. Apprezzo la funzione ""battery protection"" che limita la carica all'80% per preservare la salute della batteria nel tempo.

Unico vero difetto: l'audio
Nonostante il supporto Dolby Atmos e il suono stereo, la qualità di audio non è il punto forte. A volumi alti tende a distorcere (come dentro un barattolo), e se ci sono più app in contemporanea che producono suoni il problema peggiora. Non è un dramma, ma chi cerca un'esperienza audio impeccabile potrebbe rimanere deluso.

Conclusione:
Un ottimo smartphone di fascia media, con prestazioni che sfiorano quelle di modelli molto più costosi. Perfetto per chi cerca reattività, bel design, e display top di gamma. Se solo avessero curato un po' di più l'audio, sarebbe stato un 5 stelle pieno.
"
