Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/ROLLLO087GUT5/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Hector,"5,0 su 5 stelle",Recensito in Italia il 18 agosto 2025,"Essendo lavoratore del settore IT, esperto in informatica, posso garantire con gli occhi chiusi che il dispositivo è veramente un lusso nelle mani.

Non è casuale che nel complesso (in termini di rapporto qualità-prezzo) sia stato scelto da molti specialisti come il best buy 2024, principalmente perché non c’è nessun altro smartphone Android di questa fascia che abbia la maneggevolezza e peso equiparabili al Edge 50 Neo, per fare una concorrenza potremmo parlare del S24 o anche il Xiomi 14 e nei confronti il Neo non rimanerebbe indietro affatto, questo lo dico avendo testano e configurato in mano il S24 nella azienda per cui lavoro.

Devo dire che è un dispositivo fascia media-alta, dato che alcune cose che porta sono proprie di un cellulare di fascia alta, ad esempio lo schermo Super HD di 1.5k (2670 x 1220px) di 460 ppi, cioè a livello multimedia offre una nitidezza incredibile e soprattutto fluida, sinceramente è un enorme piacere l'esperienza con la riproduzione di video sia streaming, Youtube, ecc.

Non vorrei essere rindondate oppure entrare nei dettagli su molte cose già commentate su questo straordinario cellulare, come il suo SoC MediaTek Dimensity 7300 che è fantastico (è molto alla pari con gli Snapdragon del suo settore), 12MB RAM, autonomia energetica eccellente (Il telefono ha resistito senza problemi un giorno di utilizzo), altoparlante stereo chiaro e nitido, softtware e hardware molto ben ottimizzati, ottime fotocamere per la fascia media, custodia rigida inclusa nella confezione, ottimizzazione top hardware e software, infine.

Voglio solo entrare nel dettaglio per quanto riguarda la durata della BATTERIA, che infatti è stata messa in discussione parecchio.
Devo dire con assoluta onestà che la batteria da 4310 mAh si è comportata molto bene, all'inizio pensavo che con meno di 5.000 mAh avremmo avuto un problema, ma sono felice di vedere che questa riduzione di capacità non ha avuto gravi effetti per l'utente grazie all'ottimizzazione che il produttore Motorola ha fatto.
Quindi quei mAh che già non ci sono più non mancano affatto. L'unità energetica e il software sono stati ottimizzati molto bene.

E qui c'è un'altra cosa da riconoscere, non vedere il bicchiere mezzo pieno, cioè il fatto di aver tolto i mAh ma invece di pensare che hanno compensato questo includendo la modalità di caricamento veloce grazie al TurboPower™ de 68 W, in questioni di 15min con il telefono quasi scaricato avremo già autonomia per tutto il giorno.
Da 0% al 100% ci vogliono 45 min circa, in solo 15 min avendo il telefono con 1% di batteria (cioè quasi scaricato) avremo riuscito a caricare 55% di batteria, circa.

Per concludere, ho comprato il cellulare con spedizione e vendita di Amazon, non è arrivato brandizzato, Amazon è stato un lusso per me in ogni modo, ma soprattutto a livello garanzia degli acquisti fatti.

Saluti.
Héctor.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RPUDNBTGE2ZET/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,CallmEmllaC,"5,0 su 5 stelle",Recensito in Italia il 11 maggio 2026,"Batteria ottima, buono il comparto fotografico, qualità prezzo! Lo consiglio davvero! ✅✅✅

🔴 la cover compresa offre poca protezione

🟢 ottima autonomia, bel display, Ui pulita mah completa, fotocamera buona per la fascia di prezzo, ricarica veloce

Da anni non guardavo più a Motorola con interesse, da dopo l’acquisizione Lenovo, mah mi sbagliavo!
L’edge 50 neo è un buon medio gamma, dal prezzo competitivo, sopratutto per il taglio da 512 gb, prestazioni solide e dalla fluidità piacevole.
On è un mostro di prestazioni, se si va sul gaming almeno, mah gestisce TUTTE le classiche operazioni senza lag o rallentamenti.
Tik tok, Instagram whatsapp e YouTube girano benissimo, senza rallentamenti di sorta e con un ottimo multitasking.
L’esperienza è quella Android, non proprio stock, facile da utilizzare e semplice anche per chi con il telefono non vuole “smanettarci” troppo.
Gli scatti sono molto buoni di giorno, buoni anche in interno o con luci artificiali….di notte non sono eccezionali mah si difendono PIÙ CHE BENE considerando il prezzo!
La batteria è un altro punto a favore, premetto che è il telefono che usa mia madre, riuscendo a fare anche un giorno e mezzo usando molto YouTube.
È un telefono che consiglio davvero per le mamme o i papà,e per tutte quelle persone che non hanno bisogno di un top di gamma….viato che oggi i medio gamma sono più che validi!
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3HXGN9RUFMB44/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Zio Dente,"5,0 su 5 stelle",Recensito in Italia il 20 luglio 2025,"Ho scelto il Motorola Edge 50 Neo 12 GB / 512 GB perché cercavo uno smartphone abbastanza compatto senza compromessi, e questo modello non ha deluso le mie aspettative.

🎨 Design & Display
Schermo pOLED LTPO Super HD da 6,36"" con risoluzione circa 2670×1220 px, refresh rate fino a 120 Hz e picco di luminosità 3.000 nits, per colori vividi, neri profondi e fluidità in ogni scroll.
Linee pulite e forma sottile (8,1 mm) in soli 171 g, con retro in eco leather certificato PANTONE in diverse finiture classiche.
Certificazione IP68 e MIL‑STD‑810H: resistente a polvere e schizzi per un uso quotidiano in tranquillità.

⚙️ Prestazioni & Memoria
Processore Mediatek Dimensity 7300 (4 nm) con 12 GB LPDDR4X RAM: gestione multitasking fluida, gaming leggero e app senza rallentamenti. 512 GB di memoria interna UFS non espandibile ma molto capiente per app, foto, video e media.
Software pulito con Android 14 e aggiornamenti garantiti fino al 2029: 5 major update + patch di sicurezza

📸 Fotocamere
Tripla fotocamera posteriore: sensore principale Sony LYTIA 700C da 50 MP con stabilizzazione ottica (OIS), grandangolare da 13 MP e teleobiettivo da 10 MP con zoom ottico 3x e OIS. Perfetta per ritratti, paesaggi e foto ravvicinate.
Fotocamera frontale da 32 MP (Quad‑Pixel): selfie dettagliati, ottima luminosità anche in condizioni difficili.
Registrazione video fino a 4K@30fps sul posteriore e selfie in 4K, slow‑motion fino a 240fps a 1080p con stabilizzazione gyro‑EIS.

🔋 Batteria & Ricarica
Batteria da 4310 mAh con autonomia tutto il giorno: grazie alla ricarica veloce TurboPower™ 68 W basta pochi minuti per riprendere l’uso.
Supporto anche a ricarica wireless da 15 W, ideale per un filo in meno sulla scrivania.

🌐 Connettività e audio
Connettività moderna: 5G Sub‑6, Wi‑Fi 6E, Bluetooth 5.3, NFC, Dual SIM (nano + eSIM)
Audio stereo con supporto Dolby Atmos, 2 microfoni per chiamate nitide e vivavoce chiaro

✅ In sintesi
Il Motorola Edge 50 Neo 12/512 GB è una scelta eccellente se cerchi uno smartphone dal design raffinato, display di alto livello, ottime performance, fotocamere versatili, ricarica velocissima, piena connettività e sicurezza negli aggiornamenti a lungo termine.
Perfetto sia per chi vuole un compagno di lavoro affidabile, per chi ama scattare foto e video, o per semplici power‑user: un top di gamma senza spendere il prezzo di un flagship.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1W9I5QN0QD4D2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Alexamazon,"4,0 su 5 stelle",Recensito in Italia il 8 giugno 2026,"Dopo quasi un'anno recensisco questo prodotto.
1. Display: pOLED da 120 Hz è uno dei punti di forza, con buona luminosità, colori piacevoli e fluidità generale.
2. Fotocamera: discreta ma non eccelle. In condizioni di buona illuminazione le immagini sono dettagliate e con una resa cromatica piacevole, mentre negli scatti notturni il livello di rumore aumenta sensibilmente e l'elaborazione software tende a perdere dettagli fini. Anche la modalità ritratto non sempre gestisce correttamente i contorni dei soggetti. La messa a fuoco è un po' lenta e a volte non ne vuole proprio sapere.
Processore: qui emergono un po' i limiti del MediaTek Dimensity 7300 che mostra prestazioni inferiori rispetto ad uno Snapdragon. In multitasking pesante e durante il passaggio rapido tra applicazioni si possono notare micro-lag e tempi di caricamento non sempre immediati.
Autonomia: nella media, con un'utilizzo discreto si può arrivare a fine giornata. Il caricatore originale da 68w (non in dotazione) permette di caricare da 10 a 100 in circa 30 minuti.
Connettività: il bluetooth aveva qualche problema di associazione ma è stato risolto con Android 16.
Software: l'interfaccia Motorola è vicina ad Android stock e generalmente piacevole. Il rollout degli aggiornamenti non è rapidissimo ma fino a questo momento Motorola ha mantenuto la promessa fatta e di recente ha anche ricevuto Android 16. Considerando che è uno smartphone lanciato nel 2024 con Android 14 significa che ha comunque ricevuto 2 Major update. Anche gli aggiornamenti di sicurezza più o meno sono abbastanza frequenti.
Nel complesso è uno Smartphone di fascia media che mi sento di consigliare. Unico neo è il comparto fotografico per il quale ho messo 4 stelle e non 5 ma comunque per tutto il resto si comporta molto bene.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R217TWY5V3S99/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Gianni Salimbeni,"5,0 su 5 stelle",Recensito in Italia il 16 dicembre 2025,"Posseggo questo dispositivo da luglio 2025 e posso ritenermi pienamente soddisfatto.
La mia scelta è stata determinata principalmente dalla dimensione e qualità del display perché non volevo qualcosa sopra i 6,3”, venivo infatti da un experia xz1 con un pannello ancora più piccolo e sono abituato a gestire il telefono con una sola mano.
Approfittando poi di una promozione a tempo di Amazon sono riuscito a portare a casa la versione 12/512 ad un prezzo conveniente quindi ho tutta la memoria che mi serve e passare da una finestra all’altra è molto fluido, solo sporadicamente noto qualche incertezza in questo senso e credo dipenda dal processore Mediatek come letto in molte recensioni; in compenso nonostante la batteria da 4310 mAh possa sembrare piccola, la sua durata è ben oltre la giornata e con la ricarica rapida (di cui viene fornito solo il cavo C/C) si ricarica in mezz’ora ma anche meno se vi accontentate di una ricarica parziale.
Avrei gradito il jack audio classico che non mette più nessuno ma si risolve facilmente con un adattatore
Il reparto foto è, secondo me sopra la media, lo zoom ottico 2x o 3x è molto utile ed insieme al software permette di scattare primi piani e macro, degni di nota anche se non a livello di una fotocamera ovviamente
Esteticamente mi piace la texture della scocca, ho scelto il colore rosso che non ho nascosto acquistando una cover trasparente ed abbastanza sottile da non compromettere la maneggevolezza del telefono.
Da non sottovalutare la certificazione IP68 che per me è molto utile, le gesture Motorola molto utili tipo l’accensione rapida della torcia o lo screenshot con tre dita; ho letto che alcuni hanno notato qualche defaillance nella lettura dell’impronta, cosa che a me per adesso non è capitata, il riconoscimento facciale invece non sempre avviene, dipende molto dalle condizioni di luce.
La ricezione telefonica la trovo buona, meglio del telefono precedente e non manca compatibilità esim e ricarica wireless
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2OJQJOP9H9WPF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Tecno-Andrea,"5,0 su 5 stelle",Recensito in Italia il 16 agosto 2025,"Medio di gamma tra i più compatti in circolazione! Comodo da tenere in mano ma ci stà anche in tasca. Bordi leggermente squadrati che migliorano la presa. Custodia rigida ma ok. Funziona bene, si sente bene, vivavoce e audio stereo nitido e forte.
😀 NFC, ricarica superfast e anche wireless. Sensori varii presenti. Non gli manca nulla.
😃 Schermo eccezionale per luminosità, colori e dettagli.
😁 Dimensione di RAM e memoria interna quasi da top di gamma. Tutto gira super fluido.
Niente rallentamenti sulle normali e comuni app. 😆 Sistema Android pulito che si aggiorna subito alla versione 15 e poi avrete altri 4-5 anni di aggiornamenti garantiti. E se fate attenzione durante la prima configurazione le app inutili saranno veramente poche.
Sensore fotografico principale Sony Lithia 700 con stabilizzazione ottica vi permette di fare belle foto anche con poca luce. Solo lo zoom è così così. In condizioni sfavorevoli le foto sono nettamente migliori ai concorrenti che vantano 100 megapixel.
Per un normale utente la differenza con un top di gamma si stà assottigliando sempre di più!
😄 Spedizione Amazon eccezionale. Arrivato un giorno prima del previsto e per il ritiro del pacco serve un codice segreto che vi inviano. Malintenzionati ciao.
Grazie all'Unione Europea le uniche mancanze sono solo il caricabatteria e il jack per le cuffie.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3UR9HFWD37DWL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Giulio,"1,0 su 5 stelle",Recensito in Italia il 5 settembre 2024,"Aggiornamento dopo 10 giorni di utilizzo:
- Anche dopo 10 giorni confermo la mia recensione negativa, con qualche info in piu, il modulo ricezione wifi é meno potente del moto edge 30 , casa mia non é cambiata e le porte e abituidini sono le medesime, ma dove prima avevo qualità segnale buona ora é qualità bassa e mi costringe a spegnere il wi fi e utilizzare i dati per avere una velocità di navigazione costante, rimane il problema della tastiera troppo piccola non trovando una tastiera senza pubblicità su playstore che non sia piena di pulsanti inutili spero in un aggiornamento che rimetta la possibilità di alzare di qualche millimetro e avere i tasti piu grandi , per quanto riguarda i lag continui e la scarsa fluidità di lavoro ho provato ad escludere l ottimizzazione del inteligenza artificiale, mettendo l aggiornamento dello schermo al massimo quindi 120hz e il ram boost a 8+8 , ma anche cosi la miglioria é abbastanza impercettibile ,al contrario la batteria scende molto velocemente aumentando le prestazioni. In conclusione rimane ancora un telefono da 200€ e non 400€, rimpiango il mio vecchio moto edge 30.

Vengo da una lunga vita di acquisti motorola, e l ultimo era un moto edge 30 ,dopo 3 anni ancora super fluido ecc niente da dire.
Solo che si é fulminato senza motivi e nessun tecnico é riuscito a ripararlo cosi mi butto di fretta e furia nella ricerca di un nuovo motorola.
A livello di prestazioni ecc avrei preso gli altri della serie edge 50....ma son tutti con il display curvo da nausea.Cosi l edge neo sembrava un buon acquisto e un buon sostituto del mio vecchio edge 30 .
Esteticamente é bello ,senza cover ha piu grip con la cover scivola molto di piu ( dovrebbe essere il contrario) , attenderò che esca una in silicone , in piú questa in dotazione ogni qualvolta si cerca di abbassare la tendina ci si va sempre a sbattare e la tendina non la prendi.
Una volta impostato il tutto, si notano tantissimo un sacco di lag , che é una cosa che proprio non sopporto, anche perche il mio edge 30 anche a distanza di 3 anni di utilizzo era decisamente piu fluido , questo da l impressione di aver acquistato quei telefoni di poco conto , un comportamento cosi me lo sarei aspettato da un telefono di 2/3 anni pieno di schifezze,non da uno libero.
Reparto fotocamere nulla di nuovo ,tale e quali al edge 30 con l aggiunta del AI che ti aiuta a sistemare un po le foto ,ma la qualità é sempre quella, la camera zoom non so nemmeno perche l han messa ( é abbastanza imbarazzante ), la grandangolare uguale ,forse migliorato leggermente le foto in ambienti interni, ma dettagli niente di eclatante.
Va be funzioni vitali sembrano funzionare bene, chiamate ,audio e tutto cio che serve per un telefono.
Altra pecca ,la tastiera sembra non si possa piu modificare la dimensione ,io avendo le dita un po grandi continuo a inciampare in tasti errati.
Sensore impronte funziona si, ma cé una differenza che qui hanno tolto lo schermo interattivo, cioé prima bastava un minimo movimento e si attivava la schermata di blocco, ora per attivarlo devi proprio prenderlo tra le mani e far capire al telefono che lo vuoi utilizzare, quindi il sensore impronte non é sempre pronto .
In conclusione a mio parere é un telefono mascherato , tecnicamente si comporta come uno da 200€ ma in realtà costa il doppio.
E visto che tutti sono impazziti per il telefono profumato.....hanno semplicemente spruzzato 4 litri di profumo, tanté che nella confezione troverete pure l alone che rilascia , quindi niente di duraturo .
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3IN0VSDD1YHCR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,lxrx,"5,0 su 5 stelle",Recensito in Italia il 15 aprile 2025,"Telefono dall'ottimo rapporto qualità prezzo e molto bello esteticamente. Si è aggiornato subito ad Android 15. Dimensioni giuste, né piccolo né ""padellone"". Schermo dai colori vividi e molto luminoso. Qualità foto buona considerando la fascia di prezzo. Forse la batteria poteva essere un pò più grande (i concorrenti offrono di meglio) ma a fine giornata ci si arriva comunque e anche di più. Non ho notato rallentamenti, esperienza sempre fluida e piacevole nell'utilizzo normale di navigazione, visualizzazione video, social, ecc. Ho apprezzato il fatto che Motorola non inzeppi il telefono con troppe app inutili. Anche se non lo utilizzo per gaming o altri usi ""gravosi"", ho preso la versione da 12gb di RAM nella speranza che possa rimanere in servizio il più a lungo possibile, come il mio vecchio Huawei P9 Plus che ancora andava bene ma non era più sicuro causa mancanza aggiornamenti. Nella confezione piacevolmente profumata troverete oltre al cavo USB C/USB C una cover in plastica del colore abbinato al telefono. Niente caricatore come avviene per le altre marche (per legge Europea), se ne volete uno nuovo ormai va acquistato a parte. Ho acquistato il telefono direttamente da Amazon e l'ho ricevuto il giorno dopo: potevo trovarlo a prezzo inferiore di qualche decina di euro da altri venditori ma volevo evitare di ricevere versioni brandizzate da operatori telefonici e sbloccate.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RX7JWO3YQMES3/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Mr. Gray,"4,0 su 5 stelle",Recensito in Italia il 6 febbraio 2026,"Aggiorno la recensione perché il 12 febbraio mi è arrivato altro aggiornamento con patch sicurezza al 1° gennaio.

Di seguito la recensione originale.

Acquistato i primi di dicembre per sostiure il g84 (preso nel novembre 23) dato che a causa di una caduta mi si era rotto il vetro del display, non so se tornassi indietro farei la stessa scelta o proverei il g86 per risparmiare qualcosa)

Del g84 ne ero rimasto molto soddisfatto a parte per la batteria che mi aspettavo durasse un po' di più (ma comunque parliamo fino a 3gg com uso blando).

Nel tempo ho cambiato svariati smartphone ed ho capito che per quanto io ne faccia un uso non spinto, gli entry level (ovvero sotto i 200-250€, a meno di offerte) non vanno acquistati per la longevità troppo breve (a causa degli aggiornamenti).

Questo l'ho preso a circa 218€ (208€ per il g84 12/256) e l'ho scelto principalmente perché sono garantiti 5 anni di aggiornamenti (fino al 2029), lo schermo piatto (a differenza degli altri edge), 12/512 Gb di ram e la ricarica wireless.

Onestamente rispetto al g84 mi aspettavo molto di più, invece, più o meno hanno prestazioni simili.
Anche se per le foto mi piacevano un po' di più quelle del g84 ed anche come display (a livello di visibilità touch e riconoscimento impronte) mi trovavo meglio con il g84. Anche a livello acustico il g84 mi sembra abbia volumi superiori.
La batteria, complici anche i minori mAh, dura un po' meno e se lo uso abbastanza devo ricaricarlo ogni giorno e comunque a differenza fel g84 non sono mai arrivato a 3 giorni.

Evidenzio che lo schermo un po' più piccolo si percepisce decisamente durante l'uso (quindi valutatelo bene a meno che non cerchiate un compatto) e come detto non è precisissimo con il touch e il riconoscimento dell'impronta (ma comunque di comporta bene)

Ho avuto anche Huawei, Oppo e Samsung e rispetto a questi l'interfaccia Motorola è poco personalizzata, mancano in stock alcune app utili (tipo galleria) ma basta andare sullo store per scaricarsi quel che si vuole. Mentre purtroppo ce ne sono sempre di più non volute ed a mio avviso inutili ma che per fortuna si possono eliminare.

Il mio,nonostante non fosse indicato nell'annuncio, è brandizzato tim (l'ho scoperto andando in impostazioni>informazioni sul telefono>dettagli dispositivo) ma ho deciso comunque di tenerlo perché non ha app invasive o specifiche del gestore e dovrebbe avere gli stessi aggiornamenti dei non brandizzati.

A livello di aggiornamenti, come vedete dalle foto, ne ha ricevuti diversi con cadenza bimestrale (come per g84). L'ultimo ha le patch di sicurezza al 1° novembre ed a breve dovrebbe ricevere l'aggiornamento ad android 16.

Per concludere, che dire? Per me che vengo da un g84 non so quanto ne valga la pena ma per gli altri e sopratutto per chi viene da prodotti di fascia bassa, è comunque un buon smartphone.

Ciao!
"
https://www.amazon.it/portal/customer-reviews/srp/-/R32LW7V4J8GQCY/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,claudio s.,"4,0 su 5 stelle",Recensito in Italia il 16 agosto 2026,"Non un capolavoro ma dopo tre anni fa ancora onestamente il suo lavoro, per un prezzo davvero esiguo.
"
