Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/R30FKW5DQI5C51/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Damian Wayne,"5,0 su 5 stelle",Recensito in Italia il 27 marzo 2024,"Nothing è un marchio di nicchia, chi lo acquista sa cosa compra e lo sceglie per diversi aspetti.
Questo è il mio primo Nothing..sono rimasto colpito dal design, così minimal, curato e particolare che si distingue da tutti...e soprattutto dal software. Gli aspetti che spiccano veramente fin da subito sono in primis le fotocamere...tirano fuori degli scatti davvero fantastici, colori molto fedeli alla realtà, ricchi di dettagli e soprattutto supportano il nuovissimo standard ultra HDR su Google foto che replica il vero effetto HDR che fin'ora si era visto solo su iPhone...
Per quanto riguarda i ritratti e i selfie posso dire tranquillamente che si avvicinano a quelli degli ultimi iPhone..anche in condizioni di luce non ottimali, infine i Video.. ottimi e sempre fluidi anche in 4k 30fps. Poi il display..1300 nits di picco forse non è un valore altissimo ma è assolutamente perfetto per tutte le situazioni..si vede bene anche sotto il sole riproduce benissimo i colori, non vira mai verso altre tonalità e ovviamente è a 120hz
Conclusione: per poco più di 300€ vi portate a casa uno smartphone con fotocamere ottime un display validissimo, un ottima autonomia anche con uso stress, audio stereo con un volume bello alto e corposo e un software snello, personalizzabile al massimo e senza app blotware nascoste chissà dove...insomma non riesco a trovargli un vero difetto se non nelle prestazioni che nonostante nell' uso quotidiano vadano benissimo sporadicamente mostrano qualche microlag...ma stiamo parlando sempre di un medio gamma...
Per me promosso a pieni voti. Lo consiglio a chiunque cerchi uno smartphone concreto che nell' uso di tutti i giorni va benissimo, che fa foto e video una spanna sopra a tutti gli altri brand cinesi, con una batteria che dura tutto il giorno e che soprattutto si distingue alla stragrande dalla massa.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R22Q9KFL4WSK9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Emanuele TOP,"5,0 su 5 stelle",Recensito in Italia il 15 luglio 2025,"Un grande smartphone, sotto tutti i punti di vista. Il design è unico e futuristico, leggero ma solido, con una personalità che si distingue subito.

Le prestazioni sono da top di gamma: fluido, veloce, con un'interfaccia pulita e curata. La batteria regge benissimo e il sistema Nothing OS è davvero ben ottimizzato.
Per non parlare del rapporto qualità-prezzo: davvero imbattibile nella sua fascia.

✅ Funzionale, bello da vedere e piacevole da usare ogni giorno.
Un prodotto ben fatto, ""come il cacio sui maccheroni"", direbbe qualcuno…
Brava Nothing! Voto: diesci. 😄
"
https://www.amazon.it/portal/customer-reviews/srp/-/RTU76V5A63K6I/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Andrea grossi,"5,0 su 5 stelle",Recensito in Italia il 28 marzo 2024,"Sono rimasto piacevolmente sorpreso dal Nothing Phone A2. Questo dispositivo offre uno schermo OLED di alta risoluzione che è paragonabile alla qualità del mio iPhone 13. Non ho notato molte differenze tra i due.

L’interfaccia grafica del Nothing Phone A2 è esteticamente gradevole. Tuttavia, se si mantiene l’interfaccia predefinita, può essere un po’ difficile individuare le diverse applicazioni poiché tutte sembrano uguali. Questo è un piccolo inconveniente che può essere facilmente superato personalizzando l’interfaccia.

In termini di velocità, il Nothing Phone A2 è impressionante. Ho messo il dispositivo a confronto con il mio iPhone 13 avviando le stesse applicazioni contemporaneamente e non ho notato differenze significative.

L’unico aspetto che mi ha lasciato un po’ deluso è la fotocamera. Rispetto all’iPhone 13, i colori sembrano un po’ sbiaditi e l’autofocus è un po’ lento. Tuttavia, per il prezzo, la fotocamera è ancora abbastanza decente.

Nel complesso, il Nothing Phone A2 è un ottimo dispositivo con un rapporto qualità-prezzo eccellente. Lo consiglierei a chiunque cerchi un telefono di alta qualità senza spendere una fortuna
"
https://www.amazon.it/portal/customer-reviews/srp/-/R35D8T9O2G0OMQ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Federico Castellini,"4,0 su 5 stelle",Recensito in Italia il 11 novembre 2025,"Ho acquistato il Nothing Phone (2a) e, nel complesso, sono molto soddisfatto. Il design è elegante e distintivo, il display AMOLED da 6,7"" con refresh rate a 120 Hz è super fluido e la batteria da 5.000 mAh copre tranquillamente un’intera giornata di utilizzo. Le prestazioni sono solide grazie al processore MediaTek Dimensity 7200 Pro e agli 8 GB di RAM: le app si aprono velocemente e l’interfaccia Nothing OS 2.5 è pulita, intuitiva e senza app inutili preinstallate.

Detto questo, ci sono alcuni compromessi: la fotocamera è buona ma non eccelsa in condizioni di scarsa luce, non c’è la ricarica wireless e la resistenza all’acqua è limitata rispetto ai modelli top di gamma. Anche il supporto software è nella media: aggiornamenti principali per circa 3 anni e patch di sicurezza per 4.

In sintesi, è uno smartphone elegante, affidabile e piacevole da usare, soprattutto considerando il prezzo. Lo consiglio a chi cerca un device fluido, con buon display e autonomia solida, ma con la consapevolezza dei piccoli limiti elencati.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RSVIOB6WSPKEW/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Cliente Amazon,"5,0 su 5 stelle",Recensito in Italia il 16 ottobre 2024,"Dopo qualche mese di utilizzo posso dire di essere estremamente soddisfatta del mio Nothing Phone (2a)! La prima cosa che colpisce è il design minimalista e moderno, soprattutto nella versione Bianco Latte che è semplicemente bellissima. La qualità costruttiva è eccellente, con un tocco premium che lo rende unico rispetto ad altri smartphone sul mercato.

Le prestazioni non mi hanno delusa, garantisce fluidità anche con le app più pesanti. Per un utente medio che usa molto i social, applicazioni di messaggistica e anche giochi di un certo livello, questo telefono fa il suo, e lo fa bene!
Il sistema operativo Nothing OS è una ventata di freschezza: semplice, pulito, senza applicazioni preinstallate che risultano inutili e fastidiose, con un'interfaccia innovativa e facile da usare. Mi piace molto il fatto che sia un software ottimizzato e ben integrato con l'hardware.

La durata della batteria mi ha sorpreso in positivo, arriva tranquillamente a fine giornata anche con un uso intenso. Le fotocamere in relazione al prezzo sono molto buone e stanno migliorando sempre di più con gli aggiornamenti, scattano foto nitide e dettagliate in qualsiasi condizione di luce. Il comparto video mi ha sorpreso molto, ha una stabilizzazione e una fluidità che a mio avviso è comparabile a smartphone di fascia ben superiore. Inoltre, il display è luminoso e offre colori vividi e naturali.

Nel complesso, il Nothing Phone (2a) non è solo bello esteticamente, ma anche un campione in termini di prestazioni e usabilità. Se state cercando un telefono diverso dal solito, che combini design innovativo e alta qualità, questo è il prodotto che fa per voi!
"
https://www.amazon.it/portal/customer-reviews/srp/-/R29Q9FLA9BRMTP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Lupia,"5,0 su 5 stelle",Recensito in Italia il 12 giugno 2024,"Dopo quasi due mesi di utilizzo il mio Nothing Phone 2a si è rivelato un telefono solido e affidabile. Non ho sperimentato nessun problema di fluidità, nessun fastidio in nessuna delle operazioni quotidiane e nemmeno in quelle più rare. Lo schermo è un 6.7 pollici AMOLED, con una frequenza di aggiornamento di 120Hz e una luminosità di picco di 1.300 nits, la risoluzione a 2K è okay: insomma si vede bene. Inoltre il rigore estetico e le varie scelte estetizzanti, in generale virate verso un elegante minimalismo, hanno anche una funzione semplificante nell'approccio che mi piace ancora più di prima.
La batteria dura parecchio, anche se sottoposta a usi particolarmente drenanti come guardare video come uno scemo per ignorare l'inevitabile fine di tutte le cose che ci attende tutti come una bocca spalancata ricolma di oblio.
Ottimismo a parte, un telefono che adoro e che adesso costa anche un po' di meno.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R31R0N5YFUTZAZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Adriana,"5,0 su 5 stelle",Recensito in Italia il 13 maggio 2026,"Ho comprato il telefono usato, pagato solamente 178€, molto meno di nuovo, ma è arrivato nella scatola originale. La scocca e il vetro non presentano graffi o nessun segno di utilizzo, telefono regalato per 178€, super fluido e minimal, super personalizzabile, pieno di impostazioni utili, in led sono molto carini e utili, veramente consigliato per chi vuole avere un telefono con buone telecamere, (4k a 30 FPS) e super veloce, ottimo per lavoro e social. Se si potesse dare 6 stelle le darei senza dubbio
"
https://www.amazon.it/portal/customer-reviews/srp/-/RFNWP54F0A505/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Cliente Amazon,"1,0 su 5 stelle",Recensito in Italia il 27 luglio 2024,"Telefono pressoche perfetto,software curato, ottima batteria, veloce, se non per un grave problema alla fotocamera posteriore. La fotocamera è inutilizzabile, lagga continuamente, mi rende costretto ad effettuare il reso.
Update : L'ho sostituito con un altro nothing phone 2a assumendo fosse un difetto dell esemplare in questione. Ad un anno dall acquisto confermo le impressioni iniziale e aggiungo che la fotocamera posteriore funziona egregiamente (considerando soprattutto il prezzo di acquisto)
"
https://www.amazon.it/portal/customer-reviews/srp/-/R9GJL8KGM9VDP/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Giacomo,"4,0 su 5 stelle",Recensito in Italia il 5 agosto 2026,"Ottimo, dopo 2 anni la batteria dura molto e co sono pochi bug
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2JJ6AFK6O4RP2/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Pietro,"4,0 su 5 stelle",Recensito in Italia il 5 dicembre 2024,"Da possessore di un ex top di gamma Huawei devo dire che ho avuto una ottima impressione di questo smartphone, tuttavia mi sono preso dei giorni prima di fare questa recensione ed elencare qualche piccolo difettuccio tenendo sempre in considerazione la fascia di prezzo ormai medio-bassa in cui si colloca
Pregi: Design molto particolare, mi dà la sensazione di possedere un mini robot anche per le glyphs presenti posteriormente, bordi simmetrici e non invasivi, hardware che gira bene lo trovo molto scorrevole anche venendo da un top di gamma seppur vecchio, fotocamera si comporta bene sia con luce che senza, buona la connettività e la ricezione telefonica, bene anche l'audio stereo, non ho più bisogno della piccola cassa in alcune situazioni il software bello, pulito, una ventata di freschezza per le nuove icone di questo Nothing oltre ai suoni robotici che emette in caso di notifiche o chiamate, ip 54.
Difetti: il difetto più grande che ho notato (sempre da possessore di ex top di gamma) è la risoluzione dello schermo, nella stessa fascia i Samsung fanno meglio, i selfie non all'altezza della fotocamera posteriore (ma ci può stare), dimensioni del display avrei preferito massimo un 6.5 (parere soggettivo, si tiene comunque bene in mano), il software di Google un po' troppo striminzito rispetto agli altri.
Do 4 stelle solo per il display, ripeto è un buon display ma qualcuno nella stessa fascia fa di meglio. Ottimo telefono comunque
"
