Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/R25L6KNSGJ5WAK/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Cliente Amazon,"5,0 su 5 stelle",Recensito in Italia il 6 agosto 2026,"Il ROG Phone 9 Pro è davvero un top di gamma quando si parla di gaming! Oltre ai profili per i vari giochi che vengono continuamente aggiornati per le migliori performance, include anche dei trigger ""touch"" sul lato destro e una seconda porta USB-C sul lato sinistro per quando il telefono viene utilizzato in modalità verticale, risolvendo quindi il problema che si ha con molti altri telefoni dove il cavo di ricarica non ti permette di avere una presa salda. Nonostante lo schermo supporta i 185hz, nelle impostazioni puoi selezionare un massimo di 165hz, poichè la modalità 185hz è disponibile solo in alcuni giochi specifici (visualizzabili nell'app integrata di Asus Armoury Crate).

Ho testato diversi giochi e le performance sono ovviamente ottime e stabili, l'unico gioco che ha dato problemi è Fortnite dove il gioco continuava a ""freezare"" ogni 5-6 secondi nonostante il framerate rimaneva stabile tra i 90-110 fps (è molto probabile che il problema fosse nell'ottimizzazione del gioco e non avendolo più provato può essere che adesso il problema sia risolto).

Ecco alcuni dei giochi che ho testato:
- Dead Cells: supporta i 185hz nell'app Armoury Crate e li mantiene per tutto il gameplay
- Subnautica: supporta un framerate fino a 165hz e con le impostazioni grafiche pompate al massimo raggiunge circa i 70-100 fps
- Alien Isolation: nonostante sia bloccato a 30 fps in modalità grafica e 60 fps in modalità prestazioni, modificando manualmente il file delle impostazioni sono riuscito ad avere un framerate di circa 120-160 fps in modalità qualità
- Call of Duty: al momento della prova con le impostazioni grafiche massime manteneva un framerate stabile di 90 fps (non so se è stato aggiunto in un secondo momento il supporto ai 120 fps)

Ho testato il telefono anche con GameNative (per chi non lo conoscesse è un'app che permette l'esecuzione di giochi Steam, Epic, GOG e Amazon Games tramite wine e proton) e nonostante ovviamente i giochi graficamente pesanti non siano giocabili o funzionanti, sono riuscito comunque ad avviare e giocare a titoli come The Binding of Isaac (1080p 60fps), Borderlands The Pre Sequel (720p 60fps) e Kingdom Hearts 3 (720p 30fps).
"
https://www.amazon.it/portal/customer-reviews/srp/-/RYZYE2HBPIWWA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Francesco,"5,0 su 5 stelle",Recensito in Italia il 6 settembre 2026,"Ottimo ciò che cercavo
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1Z5KF752H9YBT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Cliente Amazon,"5,0 su 5 stelle",Recensito in Italia il 29 novembre 2025,"È un piccolo computer portatile ottimo per il game ma anche per altre attività in quanto il processore che monta è velocissimo e permette di svolgere diverse attività senza rallentamenti.
Lo schermo ha una risoluzione grafica incredibile con dei contrasti da far paura.
Ottimo anche i materiali che lo compongono, si vede che sono di qualità.
Se vi serve un cellulare veloce e potete adatto per il gaming prendetelo ad occhi chiusi.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R9Z6GV8JK7U19/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Gissela,"5,0 su 5 stelle",Recensito in Italia il 12 marzo 2026,"Ottimo cellulare per i giochi, mio figlio è soddisfatto.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RJ3ELNDXY0INJ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Claudio,"5,0 su 5 stelle",Recensito in Italia il 28 agosto 2026,"Ce l'ho ormai da gennaio, è una bomba che volete di più da un cellulare per il gaming top di gamma?
Schermo da 165hz
1ms di tempo di risposta
Colori assurdi
Camera a 60fps
Foto in fhd 2k e 4k
Velocità nelle app e nei giochi pazzesca che altro volete?
"
https://www.amazon.it/portal/customer-reviews/srp/-/REIBD6JBFPCD4/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Marco,"5,0 su 5 stelle",Recensito in Italia il 4 luglio 2026,"Bellissimo e potente
"
https://www.amazon.it/portal/customer-reviews/srp/-/RCIHQ5HPHOKGT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Francesca,"5,0 su 5 stelle",Recensito in Italia il 21 luglio 2025,"In poche parole, è un “PC” tascabile! Prestazioni eccellenti, versatilità al top. Un regalo a dir poco eccezionale: unisce potenza e praticità in un unico dispositivo. Perfetto per chi vuole avere tutto a portata di mano, ovunque si trovi.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3CSPWGIOUZC76/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Mariano,"5,0 su 5 stelle",Recensito in Italia il 13 febbraio 2025,"Sono passato da Red magic 10 pro a questo, ed e tutto un altro Mondo.
Telefono stabile, autonomia eccelsa, gaming alla massima performance e un software veloce e senza bug.
Speriamo solo che Asus aumenti gli anni dì aggiornamenti software a 3-4 (di sicurezza ne a 5 e va bene così),e diventa perfetto👍
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1P5VDP4WCQIXV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,HJM,"4,0 su 5 stelle",Recensito in Italia il 6 gennaio 2026,"Ottimo cellulare gaming, buona durata della batteria anche giocando, non scalda , ricezione SIM e WiFi sempre ad alti livelli. Schermo con ottima definizione, colori brillanti e neri profondi, varie possibilità di regolazione. Dietro ci sono circa 500 piccoli led bianchi e rossi che possono essere configurati a piacere per notifiche, imagini ed anche giocare. Sono disattivabili se non piacciono. Per chi gioca molto all'interno della scatola c'è un dispositivo che collegandolo al telefono, tramite una ventola aumenta la capacità di raffreddamento. Purtroppo non supporta le esim.
Ha la ricarica rapida via cavo e wireless, non ha la carica inversa. Fotocamere poco più che sufficienti. Consigliato solo se usate il Cell per gaming, altrimenti a questo prezzo è sprecato.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R37TAZKYALP43D/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Donnarumma Giuseppe,"5,0 su 5 stelle",Recensito in Italia il 15 novembre 2025,"Super
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3CF6G8RZD6DE2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Kevin Leonardi,"5,0 su 5 stelle",Recensito in Italia il 11 ottobre 2025,"Excelente telefono
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1DFOB0MZ7ALCV/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Chiara Postiglione,"5,0 su 5 stelle",Recensito in Italia il 2 marzo 2025,"Prodotto consegnato nei tempi stabiliti, in ottime condizioni di imballaggio.
Il telefono è veramente un top di gamma , ve lo consiglio
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1D6W0GC19D0JF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Stradus d.o.o.,"5,0 su 5 stelle",Recensito in Italia il 24 aprile 2025,"Odličen telefon
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1WN4IZXML78LE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Cliente Amaz,"5,0 su 5 stelle",Recensito in Italia il 20 febbraio 2025,"Ottimo telefono consiglio per l'acquisto
"
https://www.amazon.it/portal/customer-reviews/srp/-/RUTEYE8F3RE60/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Ghiorghi Ecaterina,"5,0 su 5 stelle",Recensito in Italia il 20 febbraio 2025,"Ottimo
"
https://www.amazon.it/portal/customer-reviews/srp/-/R4YA87MMTAHAT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Marco T.,"5,0 su 5 stelle",Recensito in Italia il 3 marzo 2026,"Smartphone eccezionale
Hardware assolutamente al top, nessun lag nessun rallentamento, ogni azione ed applicazione risponde sempre in modo fulmineo.
Display OLED a livello degli altri top assoluti (leggasi iPhone, pixel e per l'appunto Samsung), di quasi 6,8 pollici costruito da Samsung ma raffreddato e gestito da Asus, ltpo come gli altri MA fino a 185 htz! Come nessun altro.
Audio stereo di ottimo livello, inferiore al sé stesso di sesta generazione ma migliore di altri pari prezzo (in questo senso trovo però meglio iPhone 16/17 pro max ed s25 ultra).
Software eccelso, semplice snello e con diverse personalizzazioni ed implementazioni di livello altissimo...direi quasi alla pari di Pixel.
Raffreddamento inarrivabile per chiunque altro e software da gaming proprietario pensato ed orientato a chi gioca davvero.
Gruppo fotografico da Ottimo medio gamma, non di certo un top camera phone, ma video a mio avviso di qualità superiore.
Ricezione al top, wifi e bluetooth stabili e fulminei, ma la vera motivazione per la quale vorreste prendere un ROG phone è per l'utilizzo quotidiano sempre alla velocità della luce, per il multitasking sempre ben gestito e per la quantità e qualità di operazioni che potrete gestire senza stress e rallentamenti...
Materiali di ottima fattura ed una scocca ""normale"" con all'interno jack da 3.5 per le vostre cuffie preferite cablate, una usb c sotto ed una USB c laterale che fa' anche solo da carica senza accumulo, per non scaldare durante le sessioni di gaming, 2 tasti a sfioramento ed un display a matrice posteriore per informazioni, notifiche e giochini supplementari...che altro dire...beh...a proposito fa' anche delle ottime telefonate 😅😅
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2QIFMN349290Q/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,M&M,"5,0 su 5 stelle",Recensito in Italia il 31 marzo 2025,"Non serve neanche recensire un prodotto che è un top su tutto
"
https://www.amazon.it/portal/customer-reviews/srp/-/RCHL4Q2TIIM5R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Mattia,"1,0 su 5 stelle",Recensito in Italia il 30 gennaio 2025,"Per chi non lo sapesse questo telefono ha un sensore di movimento che si illumina costantemente sul display ogni qualvolta muovete il telefono di un solo millimetro.
Dalla casa madre mi hanno risposto che è costruito così il telefono e non si può fare nulla.
Personalmente appena esce un altro telefono top di gamma, io vendo subito questo rog phone 9 pro.
Asus ci fa una figuraccia. Purtroppo non vale la pena spendere tutti questi soldi e poi avere il fastidio sul display.
"
,Kenza,"5,0 su 5 stelle",Recensito in Francia il 22 maggio 2025,"Je ne regrette pas cet achat, très fluide, bonne qualité, et super bien pour les jeux
"
,Arturo ,"5,0 su 5 stelle",Recensito in Spagna il 14 marzo 2025,"Hola, en mi caso pase del 8 pro al 9 pro, realmente es muy poca la diferencia, pero estoy contento, son de una velocidad genial. Creo que no lo cambiare hasta que pase varios años. Lo recomiendo.
"
,Konrad,"5,0 su 5 stelle",Recensito in Polonia in data 19 agosto 2026,"Polecam najlpeszy telefon
"
