Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/RCTX9SXYOCYCI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Francesca,"5,0 su 5 stelle",Recensito in Italia il 12 gennaio 2026,"La fotocamera è una meraviglia, riesco a fare foto alla luna senza nessun obiettivo specifico e si vedono anche i crateri. Magnifica. Come telefono è ben fatto, veloce, ha parecchio spazio.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R263UPO5XY8NHH/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Cliente Amazon,"5,0 su 5 stelle",Recensito in Italia il 6 febbraio 2025,"Mi ha colpito la bellezza di questo smartphone, grande ma non esagerato ben rifinito con funzionamento eccellente non s'impunta e le pagine e programmi vari rispondono in maniera veloce e sicura
Pienamente soddisfatto.
La configurazione ed il passaggio dati dal mio vecchio realme 8 i è stato veloce e sicuro tutto funziona a meraviglia.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3NCCLU01XEMQV/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Mirco,"4,0 su 5 stelle",Recensito in Italia il 23 luglio 2025,"L'ho comprato per mia madre e dopo 1 anno non ha mai avuto problemi. L'unica pecca è forse quella di non includere un caricatore ma solo il cavo. Bisogna comprare un caricatore compatibile SUPERVOOC e non sono proprio economici.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RXJURBH3MQG6F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Simone,"5,0 su 5 stelle",Recensito in Italia il 21 aprile 2025,"Telefono molto valido al prezzo giusto, funziona molto bene e il processore per essere un medio di gamma è veloce e non ha impuntamenti, la fotocamera è la parte più debole dello smartphone ma per il prezzo ci sta, le foto alla fine non sono male
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3GWB9XG4QOF7Z/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Liliana,"5,0 su 5 stelle",Recensito in Italia il 21 novembre 2024,"Smartphone, eccellente sotto tutti gli aspetti , velocità , connessione , batteria luminosità , RAM ...soddisfatta dell' acquisto che consiglio assolutamente a chi cerca un ottimo compromesso tra qualità e prezzo
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1QQMLEXHNUPYA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Davide Francica,"5,0 su 5 stelle",Recensito in Italia il 18 gennaio 2025,"Non ho trovato nessun difetto dopo circa tre mesi di utilizzo. Vale tutti i soldi spesi. Molto soddisfatto dell'acquisto, nonostante la diffidenza iniziale.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R120LYG8LUNIUR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Nicolò,"4,0 su 5 stelle",Recensito in Italia il 9 ottobre 2024,"Ottimo telefono che fa tutto quello che promette. Il display è molto luminoso e tramite delle funzioni che utilizzano la fotocamera anteriore, il display si adatta alle condizioni di luce ambientale e rileva se chi lo sta guardando é stanco modificando temperatura e luminosità. Altre funzioni intelligenti sono presenti e migliorano l' esperienza di utilizzo generale. Android auto va fluido e senza problemi, a differenza del mio vecchio poco. Peccato solo per il telaio plastico un po' cheap...
"
https://www.amazon.it/portal/customer-reviews/srp/-/R20EB6LB41WSBL/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Isabelle Paola,"5,0 su 5 stelle",Recensito in Italia il 12 gennaio 2025,"Luminoso, elegante, semplice trasferire tutti i dati dal vecchio telefono a questo nuovo con istruzioni allegate chiare. Carica veloce. Fa delle belle foto. lo consiglio.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R8FO01OZHBHBD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,gianluca,"4,0 su 5 stelle",Recensito in Italia il 14 dicembre 2024,"Delusino,
Per questa fascia di prezzo mi aspettavo un dispositivo più serio,
Lo uso come navigatore e d'estate soffre abbastanza il caldo più di noi esseri umani, se mentre navigo effettuo una chiamata taaacc siamo offline o cmq la banda dati si riduce da schifo, uso Google calendar e se da un numero in agenda decido di salvare occorrono 20mila passaggi veramente poco intuitivi, ma come?Andiamo sulla luna e i telefoni fanno fatica a salvare un numero in rubrica?
Qualche bug qua è la anche con gli aggiornamenti
Uso il telefono per lavoro quindi foto targhe, navigatore, Calendar e messaggistica email. Infine penso che siano ottimizzati per fare giocare i ragazzini ma a noi adulti serve roba tosta!
"
https://www.amazon.it/portal/customer-reviews/srp/-/RSNI7MGTRZTGT/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Cliente Amazon,"4,0 su 5 stelle",Recensito in Italia il 21 luglio 2025,"Ottimo prestazione e qualità buone
"
https://www.amazon.it/portal/customer-reviews/srp/-/RQC0XSWC8XVOT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Max70,"4,0 su 5 stelle",Recensito in Italia il 16 marzo 2025,"Provengo da un realme gt2 da 128 GB + 8 GB
Batteria superlativa in proporzione alla luminosità del display
Foto e video nella media
Da due anni lo uso caduto spesso ma resistente
Ottimo compromesso qualità prezzo
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1TSDXLABZSIZQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Marco B.,"4,0 su 5 stelle",Recensito in Italia il 13 settembre 2024,"Ottime prestazioni, discreta durata della batteria, anche con solo il 60% per chi usa il telefono dal 20 al 80.
Il telefono fa anche delle belle foto, unica cosa è che non lo direi che è uno smartphone con intelligenza artificiale, ha poco e niente, le uniche cose sono presso ché ottenibili anche senza.
"
https://www.amazon.it/portal/customer-reviews/srp/-/RNPCO8UXBUDKO/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,bartolomeo,"4,0 su 5 stelle",Recensito in Italia il 13 ottobre 2024,"Buon telefono di fascia media... La cosa più' simpatica e' quello che si può fare grazie all intelligenza articiale con le fotografie... Devo dire che prima di questo avevo in telefono di fascia alta di tre anni fa e davvero non percepisco nessuna differenza.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3W39KCTLF5EQL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Underdoggy,"5,0 su 5 stelle",Recensito in Italia il 13 novembre 2025,"Comprato usato come nuovo sul marketplace, a 240 euro circa. È un ottimo medio gamma con alcune eccellenze
"
https://www.amazon.it/portal/customer-reviews/srp/-/RU3V6190M39P1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Marco,"4,0 su 5 stelle",Recensito in Italia il 6 ottobre 2024,"Medio gamma quasi imbattibile per ora usato per gaming e Internet applicazioni funzionano perfettamente qualche pecca? per ora nessuna per il prezzo ottimo.do 4 stelle perché preso da poco speriamo duri .
"
https://www.amazon.it/portal/customer-reviews/srp/-/R3EPSKX1M2VNEP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,APDiok,"4,0 su 5 stelle",Recensito in Italia il 16 marzo 2025,"Ottimo telefono. Qualche crash ogni tanto ma in generale va molto bene
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1L7PDK00USXZA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,stefano pasini,"5,0 su 5 stelle",Recensito in Italia il 26 maggio 2025,"Preso per un regalo di compleanno devo dire che mi ha stupito per il rapporto qualità prezzo.
Ricarica velocissima, qualità fotografica vicina ai top di gamma di marche blasonate, sistema operativo fluido, qualche problema di ricezione sparito completamente sostituendo la Sim con un una nuova
"
https://www.amazon.it/portal/customer-reviews/srp/-/R17NFCWZXKJ9B5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8,Annamaria Celentano,"5,0 su 5 stelle",Recensito in Italia il 6 agosto 2024,"Smartphone pagato € 363,80 e li vali tutti.
Lo smartphone arriva con la pellicola già preapplicate Batteria che dura quasi 2 giorni in utilizzo
normale (email, chat, social) e che porta a sera sempre con il 40%-30% in giornate stress. Il display si vede molto bene sotto la luce del sole. Prestazioni al top grazie al procecesore zero impuntamento e lag. Unica pecca non avere il caricabatterie in confezione ma questo è colpa di una norma dell'UE.
"
