Link_Titolo,Nome,aiconalt,Visualizzazione,Visualizzazione1
https://www.amazon.it/portal/customer-reviews/srp/-/R2GH2WVG0EK193/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,A,"5,0 su 5 stelle",Recensito in Italia il 4 marzo 2026,"Ho preso questo telefono perché il mio precedente era uno Xiaomi Redmi Note 7, che è stato uno dei più longevi che ho avuto, e avrebbe ancora tirato avanti qualche anno se solo negli ultimi tempi non lo avessi maltrattato una volta di troppo.
Lo sto usando da un paio di settimane, ma finora ha rispettato le aspettative in tutto.
Pro:
Leggero e maneggevole, buona fotocamera per chi non ha grosse pretese, con ultrawide e macro, durata della batteria una giornata, buona reattività e buone prestazioni per l'utilizzo di tutti i giorni, ricarica rapida, ottima luminosità dello schermo e riproduzione audio. Mantiene il jack audio, cosa ormai non più scontata nei nuovi smartphone.
Contro:
L'impronta non viene letta il 100% delle volte, ma è abbastanza rapido.
L'unica cosa che trovo fastidiosa sono le pubblicità, che però sono meno invadenti rispetto il modello che avevo precedentemente, e con qualche accorgimento si possono ancora ridurre. Se si è un po' smanettoni si riesce a rimuoverle del tutto.
Degli Xiaomi trovo un po' scomoda la riproduzione video con Mi Video e la gestione delle foto nella galleria, ma anche questa è una cosa che si può personalizzare utilizzando altre app.
Ho trovato anche il navigatore non proprio preciso, cosa che ritengo importante.
Nel complesso è comunque un ottimo telefono considerando il prezzo e (si auspica) la longevità.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R21XGETZIHMREE/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Miky,"5,0 su 5 stelle",Recensito in Italia il 29 agosto 2026,"Conoscendo il brand, ho effettuato l'acquisto di questo smertphone e ne sono rimasto soddisfatto. Le prestazioni sono soddisfacenti per il rapporto qualità prezzo. Nella descrizione del prodotto vengono omessi alcuni dettagli: 1) ha l'hardware IR, quindi è possibile usarlo come telecomando usando l'app in dotazione MI Remote o installandone altre; 2) ha la presa per la cuffia/auricolari, è quindi possibile usare le tradizionali cuffie con filo o collegarlo ad un impianto audio con una connessione cablata che è stabile e prima di interferenze.
Soddisfatto!!!
"
https://www.amazon.it/portal/customer-reviews/srp/-/R14ZPWP0ZAD7F/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Giancarlo,"4,0 su 5 stelle",Recensito in Italia il 12 febbraio 2026,"Ho acquistato questo smartphone per mia madre, perché con la tecnologia che avanza, era necessario qualcosa di più aggiornato, purtroppo la caratteristica che cercavo non è presente, e cioè quando si tiene premuto un tasto numerico viene effettuata una chiamata, ma è comunque possibile creare una lista preferiti per le persone che si chiamano più frequentemente.

Per quanto riguarda lo smartphone sono comunque soddisfatto, anche se all'inizio ero perplesso perché il sistema operativo non è Android 14, come descritto, ma Hyper Os, che è basato su Android 14, ma questo non influisce sulla compatibilità delle app, lo smartphone è molto reattivo, ricco di funzioni, tipo anche per chi ha problemi di udito o vista o daltonismo, qualcuno lamentava che per spegnere lo smartphone, tenendo premuto il tasto di spegnimento, apparisse prima l'assistente digitale, cosa che comunque può essere disabilitata nel menu Impostazioni aggiuntive/Funzioni gestuali.

Una cosa che mi ha colpito positivamente è la cover in dotazione, non è una semplice copertura in silicone trasparente che col tempo ingiallisce, ma qualcosa di più resistente che protegge in maniera efficace la scocca, lo scermo e la fotocamera, mentre quest'ultima sporge significativamente dalla scocca e questo potrebbe essere un problema per qualcuno, mentre per la ricarica viene fornito, come al solito, un cavo usb, il caricabatteria lo si acquista separatamente.

In conclusione si tratta di un buon smartphone per chi non ha esigenze particolari, ricco di funzioni, e adatto per la maggior parte di persone.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1ZYUK9MXTKOEX/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Luca,"5,0 su 5 stelle",Recensito in Italia il 25 giugno 2026,"Ottimo telefono. Buon rapporto qualità prezzo. Telefono molto veloce, discrete foto, migliori con molta luce e meno nitide di sera. Ad oggi consigliato +++
"
https://www.amazon.it/portal/customer-reviews/srp/-/R370DFMBJYECOO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Pieroriano Rosati,"5,0 su 5 stelle",Recensito in Italia il 4 agosto 2026,"Mi piace molto, è leggerissimo una bella linea, funziona alla grande in tutto, dato che io ho scaricato tantissime applicazioni ancora la durata della batteria è dalla mattina fino alla mattina dopo, credo non si possa pretendere di più, ma una giornata intera usandolo molto dovrebbe farlo senza problemi.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R35FYBURNIN0L9/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Ester Pedde,"5,0 su 5 stelle",Recensito in Italia il 17 agosto 2026,"Per ora nulla da obiettare. Ottimo telefono grazie al venditore che ha spedito subito. Io ho aspettato di usarlo prima di lasciare una recensione che per ora è positiva! grazie mille
"
https://www.amazon.it/portal/customer-reviews/srp/-/R1CPTFWDXFC4Z0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Leonardo,"1,0 su 5 stelle",Recensito in Italia il 22 agosto 2026,"Ho avuto una brutta esperienza durante l’utilizzo. Il telefono si blocca frequentemente, la batteria si scarica in fretta e la ricezione del segnale è scarsa. Non corrisponde alla descrizione. Sconsiglio l’acquisto.
"
https://www.amazon.it/portal/customer-reviews/srp/-/R4NWN8PXRKCJO/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Puolikuu,"5,0 su 5 stelle",Recensito in Italia il 27 maggio 2026,"Sarà una settimana che lo uso. Avevo il Redmi Note 9 che ho tenuto per cinque anni. Funzionava ancora piuttosto bene, ma ho deciso di darci un cambio e tenerlo come secondo telefono, e ho ripreso questo marchio perché mi sono trovata benissimo. Infatti tutto bene, la fotocamera è di molto migliore, e l esperienza d'uso molto fluida. Unica pecca rispetto a quello vecchio è che qui c'è il cassetto ""ibrido"", quindi bisogna scegliere se avere la seconda SIM o la Memory card. Questa cosa la trovo una cret***ta, perché se cerco un telefono per avere la doppia SIM ovviamente voglio anche il cassetto per la Memory card. Quello vecchio lo aveva tutti e tre (SIM 1, SIM 2 e Memory card). Comunque la sim2 la uso poso quindi la terrò sul telefono vecchio, ma tenete presente questo problema se davvero volete un telefono per due SIM. Spedizione tutto bene.t
"
https://www.amazon.it/portal/customer-reviews/srp/-/RP97RNAUIURW7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,enzo,"4,0 su 5 stelle",Recensito in Italia il 16 agosto 2026,"fa il suo dovere
"
https://www.amazon.it/portal/customer-reviews/srp/-/R2ELPPOEUVC3NF/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8,Emanuel,"5,0 su 5 stelle",Recensito in Italia il 2 luglio 2025,"Recensione dopo 2 settimane :

Stanco di spendere €800 ogni volta per uno smartphone ho deciso dopo svariato tempo di passare a un fascia media/bassa di Android quindi ho deciso di sostituire il mio iPhone 12

All'inizio mi ero quasi pentito della scelta in quanto il sistema operativo è completamente diverso perché erano otto anni che usavo iOS
Con l'utilizzo quotidiano mi sono davvero dovuto ricredere in quanto un telefono da €200 come questo riesce a fare davvero Grandi cose ,ha una fluidità pazzesca riesce a gestire molte app insieme e l'effetto scattoso è davvero limitato
Ciò che cercavo in un telefono era appunto la fluidità soprattutto della tastiera perché dopo otto anni di iOS ricordo che Android le tastiere erano sempre lente e invece questa devo dire è una scheggia
La batteria ha un'ottima autonomia specialmente per il mio utilizzo che è perennemente acceso e anche la ricarica rapida funziona davvero bene l'unica cosa bisogna comprarsi un caricatore da almeno 20w altrimenti la ricarica è fin troppo lenta
Lo schermo bellissimo , io lo uso come navigatore da moto e mi ha sorpreso tant è che prima nei miei giri dopo 30 minuti giá dovevo metterlo sotto carica , con questo redmi note 14 5 g ho fatto 6 ore a schermo acceso sotto al sole e avevo ancora il 20/30%
Estetica davvero bella , moderno e sottile
Nella confezione è inclusa una cover, una pellicola giá applicata , cavo usbC e un anello da incollare per creare uno stand del telefono
Ricordo ai tempi fare il passaggio android/iOS era davvero complicato e rischiavi al 70% di perdere tutto invece ora NO , con un cavo iPhone e un cavo usbC sono riuscito in 30 minuti a trasferire TUTTO chat whats app comprese ad eccezione delle PASSWORD che ho scritto a mano e ricopiate sul nuovo dispositivo quindi davvero se volete passare ad Android non ci sono piú scuse
Non è un telefono da gaming
All' inizio era scattoso , mi è bastato mettere un tema neutro e sembra un altro telefono

Punto debole .. l' app fotocamera, Sará perchè e nuovo .. fa delle bellissime foto ma l' app gestisce male l' opzione videocamera e tende ad andare in ritardo rispetto a dove punto , quindi ho scaricato OPEN CAMERA e ho risolto il problema ( sperando in una patch)

Non aspettatevi la stessa identica fluiditá di un iPhone ( ma non sei neanche tanto lontano) , considerate che ne comprate 6 di questi , ma da ormai ex utente Apple , questo smartphone davvero costa meno rispetto a quello che vale !! Se poi seguite la teoria che un iPhone dura anni e questo non si sa , ripeto , su 800€ spesi vi sentite quasi in obbligo a tenerlo anni , questo se fai due anni e hai intenzione di cambiarlo ci hai guadagnato comunque e poi hai anche lo sfizio di avere un altro telefono che se si rompe qualcosa non ""pesa"" economicamente rispetto ad un fascia alta , fatto sta che bisogna sfatare il mito che l' iPhone rimane il migliore perché se questo con 200€ fa grandi cose , non oso immaginare qualche smartphone da 300/400€
Penso proprio che userò questo telefono per affacciarmi ai fascia medio/alta di android ora che mi sono ""rodato""
Mi sa che con iPhone ho chiuso
Consiglio vivamente , con l' interazione Google è tutto molto piú facile , su iOS molte app Google mi davano sempre rogne come se non li digerisse
"
